最终用户,商机项目名称,合同编号生成日期,物料描述,大型号,数量,销售单价
万华化学集团物资有限公司,万华化学集团物资有限公司增补项目-2021-11-842,44565,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接起动网线1M常闭",PMC-550A,3,1509
万华化学集团物资有限公司,万华化学集团物资有限公司增补项目-2021-11-842,44742,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接起动网线1M常闭",PMC-550A,10,1509
万华化学（福建）有限公司,万华化学（福建）有限公司增补项目-2022,44785,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接起动网线1M常闭",PMC-550A,3,1509
万华化学（福建）有限公司,万华化学（福建）有限公司增补项目-2022,44785,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频起动网线1M常闭",PMC-550A,2,1509
万华化学集团物资有限公司,万华化学集团物资有限公司增补项目-2021-11-842,44883,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接起动网线1M常闭",PMC-550A,10,1509
万华化学集团物资有限公司,万华化学集团物资有限公司增补项目-2021-11-842,44883,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频起动网线1M常闭",PMC-550A,10,1509
万华化学（福建）有限公司,万华化学（福建）有限公司增补项目-2022,44900,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接起动网线1M常闭",PMC-550A,52,1509
万华化学（福建）有限公司,万华化学（福建）有限公司增补项目-2022,44900,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频起动网线1M常闭",PMC-550A,18,1509
宁夏宝丰能源集团股份有限公司,（宝丰水处理厂三期）污泥深度脱水设备买卖合同-2022-02-129,44608,"成品,PMC-550A-CXW6B5EBA,V5",PMC-550A,2,1400
蚌埠能源集团有限公司,蚌埠热电背压#1汽轮机控制柜项目-2022-01-117,44572,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,4,1215
万华化学集团物资有限公司,万华化学集团物资有限公司增补项目-2021-11-842,44645,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接起动网线1M常闭",PMC-550A,112,1509
