三月销售汇总表-店铺,三月销售汇总表-分类,三月销售汇总表-货品名称,三月销售汇总表-发货总量,三月销售汇总表-退货总量,三月销售汇总表-实际销售量,三月销售汇总表-发货总金额,三月销售汇总表-货品总成本,三月销售汇总表-货品总利润,三月销售汇总表-退货总金额,三月销售汇总表-退货总成本,三月销售汇总表-实际销售额,三月销售汇总表-实际总成本,三月销售汇总表-实际总利润,三月销售汇总表-赠品数量,快递费总金额
巧渔夫户外旗舰店,线下鱼竿,魁战悍9H ㈨330,1,0,1,581,180,401,0,0,581,180,401,0.0,
巧渔夫户外旗舰店,线下鱼竿,魁战悍12H №⒓【3.6m】,1,0,1,799,200,599,0,0,799,200,599,0.0,
巧渔夫户外旗舰店,无,运费1元,216,0,216,215,0,215,0,0,215,0,215,0.0,
巧渔夫户外旗舰店,无,运费15元,4,0,4,60,0,60,0,0,60,0,60,0.0,
巧渔夫户外旗舰店,无,配节型号备注,1,0,1,167,0,167,0,0,167,0,167,0.0,
巧渔夫户外旗舰店,无,前堵型号备注,7,0,7,118,1,118,0,0,118,1,118,1.0,
巧渔夫户外旗舰店,无,前堵和尾丝型号备注,2,0,2,31,0,31,0,0,31,0,31,0.0,
巧渔夫户外旗舰店,无,尾丝型号备注,5,0,5,100,0,100,0,0,100,0,100,0.0,
巧渔夫户外旗舰店,线下鱼竿,【帝】帝战悍8H5.4米,1,0,1,167,280,(113),0,0,167,280,(113),0.0,
巧渔夫户外旗舰店,线下鱼竿,魁战悍15H2.7,1,0,1,647,155,492,0,0,647,155,492,0.0,
巧渔夫户外旗舰店,线下鱼竿,龙战江湖X  3.57.2,1,0,1,1030,297,733,0,0,1030,297,733,0.0,
巧渔夫户外旗舰店,线下鱼竿,魁战羽·轻量·尊享版/叁代叁代480,1,1,0,724,230,494,724,230,0,0,0,0.0,
巧渔夫户外旗舰店,线下鱼竿,魁战尊享 Ⓢ版360,1,0,1,625,160,465,0,0,625,160,465,0.0,
巧渔夫户外旗舰店,线下鱼竿,魁战羽·铂金叁代（轻量）540,1,0,1,1078,255,823,0,0,1078,255,823,0.0,
巧渔夫户外旗舰店,线下鱼竿,魁战羽·铂金叁代（轻量）720,1,0,1,1328,391,938,0,0,1328,391,938,0.0,
巧渔夫户外旗舰店,线上鱼竿,新轻硬峰【4.5m】,1,0,1,520,190,330,0,0,520,190,330,0.0,
巧渔夫户外旗舰店,线上鱼竿,新轻硬峰【4.8m】,1,0,1,639,207,432,0,0,639,207,432,0.0,
巧渔夫户外旗舰店,线上鱼竿,新轻硬峰【5.4m】,1,0,1,639,235,404,0,0,639,235,404,0.0,
巧渔夫户外旗舰店,线上鱼竿,新轻硬峰【5.7m】,2,0,2,1487,511,976,0,0,1487,511,976,0.0,
巧渔夫户外旗舰店,线上鱼竿,新轻硬峰【6.3m】,1,0,1,729,275,454,0,0,729,275,454,0.0,
巧渔夫户外旗舰店,线上鱼竿,龙战江湖【典藏】360,1,1,0,263,130,133,263,130,0,0,0,0.0,
巧渔夫户外旗舰店,线上鱼竿,龙战江湖【典藏】450,2,1,1,645,310,335,317,155,328,155,173,0.0,
巧渔夫户外旗舰店,线上鱼竿,龙战江湖（尊享版）4.5,2,0,2,651,320,331,0,0,651,320,331,0.0,
巧渔夫户外旗舰店,线上鱼竿,龙战江湖（尊享版）4.8,1,0,1,348,171,177,0,0,348,171,177,0.0,
巧渔夫户外旗舰店,线上鱼竿,龙战江湖（尊享版）5.4,2,0,2,752,380,372,0,0,752,380,372,0.0,
巧渔夫户外旗舰店,线上鱼竿,龙战江湖（尊享版）7.2,1,0,1,95,255,(160),0,0,95,255,(160),0.0,
巧渔夫户外旗舰店,线上鱼竿,龙战江湖 大物版360,2,1,1,586,230,356,308,115,278,115,163,0.0,
巧渔夫户外旗舰店,线上鱼竿,龙战江湖 大物版540,2,0,2,816,331,485,0,0,816,331,485,0.0,
巧渔夫户外旗舰店,线上鱼竿,龙战江湖 大物版570,1,0,1,427,178,249,0,0,427,178,249,0.0,
巧渔夫户外旗舰店,线上鱼竿,龙战江湖 大物版720,1,1,0,488,210,278,488,210,0,0,0,0.0,
巧渔夫户外旗舰店,线上鱼竿,龙战江湖 大物版810,1,0,1,508,240,268,0,0,508,240,268,0.0,
巧渔夫户外旗舰店,线上鱼竿,巧渔鲫珍珠白3.9米,1,0,1,513,158,355,0,0,513,158,355,0.0,
巧渔夫户外旗舰店,线上鱼竿,巧渔鲫珍珠白4.8米,2,0,2,1438,376,1062,0,0,1438,376,1062,0.0,
