2022年06月东莞市商品住宅网上签约销售情况-镇街-镇街-镇街,2022年06月东莞市商品住宅网上签约销售情况-镇街-镇街-镇街.1,2022年06月东莞市商品住宅网上签约销售情况-新建商品住宅-地面建筑层数超过4层-套数（套）,2022年06月东莞市商品住宅网上签约销售情况-新建商品住宅-地面建筑层数超过4层-面积（万平方米）,2022年06月东莞市商品住宅网上签约销售情况-新建商品住宅-地面建筑层数超过4层-均价（元/平方米）,2022年06月东莞市商品住宅网上签约销售情况-新建商品住宅-地面建筑层数4层以下-套数（套）,2022年06月东莞市商品住宅网上签约销售情况-新建商品住宅-地面建筑层数4层以下-面积（万平方米）,2022年06月东莞市商品住宅网上签约销售情况-新建商品住宅-地面建筑层数4层以下-均价（元/平方米）,2022年06月东莞市商品住宅网上签约销售情况-二手住宅-二手住宅-套数（套）,2022年06月东莞市商品住宅网上签约销售情况-二手住宅-二手住宅-面积（万平方米）,2022年06月东莞市商品住宅网上签约销售情况-二手住宅-二手住宅-均价（元/平方米）
东莞市,东莞市 ,2199,25,29296,94,3,36350,1592,19,19607
城  区  片  区,莞城街道,4,0,32175,0,0,0,77,1,13442
城  区  片  区,东城街道,14,0,38398,4,0,59741,121,2,22936
城  区  片  区,万江街道,119,1,31464,0,0,0,65,1,20829
城  区  片  区,南城街道,15,0,40592,3,0,39942,195,2,30189
城  区  片  区,高埗镇,17,0,24487,1,0,27629,3,0,22358
城  区  片  区,石碣镇,173,2,25283,1,0,13428,36,0,14355
松   山   湖  片  区,松山湖,121,2,50651,6,1,35537,56,1,34661
松   山   湖  片  区,茶山镇,124,1,24519,8,0,27337,10,0,17028
松   山   湖  片  区,石龙镇,36,0,19252,0,0,0,37,0,10079
松   山   湖  片  区,石排镇,11,0,17150,0,0,0,21,0,13993
松   山   湖  片  区,寮步镇,226,2,26696,4,0,26998,88,1,21560
松   山   湖  片  区,大岭山镇,55,1,30856,8,0,44888,38,1,22582
松   山   湖  片  区,大朗镇,37,0,33362,0,0,0,46,1,19334
滨   海   片   区,虎门镇,275,3,33105,1,0,27561,99,1,20463
滨   海   片   区,长安镇,130,1,38967,3,0,51398,23,0,29896
滨   海   片   区,沙田镇,50,1,21944,6,0,31022,31,0,20617
滨   海   片   区,厚街镇,123,2,29104,3,0,27803,59,1,23276
水   乡  新   城  片  区,中堂镇,35,0,19709,0,0,0,20,1,2927
水   乡  新   城  片  区,望牛墩镇,14,0,19219,0,0,0,4,0,17579
水   乡  新   城  片  区,麻涌镇,63,1,20784,6,0,27142,27,0,15997
水   乡  新   城  片  区,道滘镇,51,1,27270,1,0,7967,25,0,21488
水   乡  新   城  片  区,洪梅镇,15,0,21031,0,0,0,7,0,16691
东   南   临   深  片  区,清溪镇,39,0,21509,8,0,26116,31,0,18337
东   南   临   深  片  区,樟木头镇,16,0,18766,0,0,0,83,1,13514
东   南   临   深  片  区,凤岗镇,52,1,29963,0,0,0,48,1,22894
东   南   临   深  片  区,塘厦镇,54,1,32170,29,1,42133,60,1,20747
东  部  产  业  园  片  区,黄江镇,27,0,18654,1,0,19951,49,1,19410
东  部  产  业  园  片  区,谢岗镇,69,1,16439,0,0,0,2,0,13088
东  部  产  业  园  片  区,常平镇,62,1,21486,0,0,0,141,1,13068
东  部  产  业  园  片  区,桥头镇,21,0,18736,0,0,0,15,0,13511
东  部  产  业  园  片  区,横沥镇,115,1,20549,1,0,30467,51,0,13656
东  部  产  业  园  片  区,东坑镇,18,0,21605,0,0,0,17,0,17139
东  部  产  业  园  片  区,企石镇,18,0,17410,0,0,0,7,0,14668
