2-5-18各地区民族乡镇按从业时间分的农业生产经营单位从业人员情况-地区,年末农业从业人员数(人),从业6个月以上人员数(人),Unnamed: 3,其他从业人员从业时间,Unnamed: 5
,,,女工,从业总时间（天）,从业折算时间(人.年)
,,,,,
全国总计,248058.0,223607.0,67681,6392198,21307
北   京,910.0,812.0,372,5820,19
天   津,165.0,138.0,64,12970,43
河   北,1819.0,1585.0,312,29943,100
山   西,,,,,
内 蒙 古,16174.0,15232.0,3858,235303,784
辽   宁,15217.0,13758.0,3261,1042502,3475
吉   林,11976.0,11368.0,3242,200647,669
黑 龙 江,10360.0,9290.0,2730,84581,282
上   海,,,,,
江   苏,395.0,372.0,105,8060,27
浙   江,645.0,558.0,98,17807,59
安   徽,766.0,541.0,105,22590,75
福   建,5197.0,4472.0,717,92379,308
江   西,2275.0,2140.0,477,85308,284
山   东,342.0,273.0,87,3816,13
河   南,5069.0,4765.0,1322,61262,204
湖   北,5894.0,5572.0,1725,37063,124
湖   南,7974.0,7147.0,1924,267070,890
广   东,5765.0,4856.0,1473,145833,486
广   西,19484.0,18110.0,5235,258565,862
海   南,31527.0,29721.0,12569,1500386,5001
重   庆,2032.0,1942.0,592,87595,292
四   川,6268.0,5661.0,1730,178465,595
贵   州,14207.0,12262.0,2816,452451,1508
云   南,18644.0,17641.0,5914,274835,916
西   藏,3701.0,3110.0,930,338149,1127
陕   西,643.0,545.0,172,10655,36
甘   肃,2282.0,2113.0,516,28635,95
青   海,826.0,728.0,129,38191,127
宁   夏,4805.0,4376.0,983,44700,149
新   疆,52696.0,44519.0,14268,826617,2755
东部地区,46765.0,42787.0,15797,1817014,6057
中部地区,21978.0,20165.0,5553,473293,1578
西部地区,141762.0,126239.0,37143,2774161,9247
东北地区,37553.0,34416.0,9233,1327730,4426
