1-1-12全国乡镇职业技术学校情况-名称,学校总数(个),教师总数(人),在校学生总数(人),其中：女生(人)
,,,,
合      计,5596.0,315257.0,4978038.0,2315721.0
一、按乡镇类型分,,,,
乡,698.0,24412.0,402528.0,189225.0
镇,4898.0,290845.0,4575510.0,2126496.0
二、按是否县政府驻地的乡镇分,,,,
是,2187.0,132249.0,1982240.0,910993.0
否,3409.0,183008.0,2995798.0,1404728.0
三、按地势分,,,,
平原,2600.0,148872.0,2323556.0,1084859.0
丘陵,2047.0,121946.0,2008705.0,929442.0
山区,949.0,44439.0,645777.0,301420.0
四、按是否民族乡镇分,,,,
是,213.0,8249.0,111051.0,50821.0
否,5383.0,307008.0,4866987.0,2264900.0
五、按是否边区乡镇分,,,,
是,180.0,6166.0,121008.0,59693.0
否,5416.0,309091.0,4857030.0,2256028.0
六、按是否老区乡镇分,,,,
是,1101.0,58718.0,991093.0,451517.0
否,4495.0,256539.0,3986945.0,1864204.0
