1-3-21全国按到医院、卫生院的距离分的村个数-名称,单位：个-合计,0公里(在村内),1-3公里,4-5公里,6-10公里,11-20公里,20公里以上
,,,,,,,
合      计,636207.0,45561.0,273793.0,133676.0,122878.0,47438.0,12861.0
一、按社区类型分,,,,,,,
村委会,623889.0,41689.0,266919.0,132646.0,122467.0,47341.0,12827.0
居委会,12318.0,3872.0,6874.0,1030.0,411.0,97.0,34.0
二、按地势分,,,,,,,
平原,242213.0,18070.0,133651.0,52218.0,32384.0,5041.0,849.0
丘陵,197359.0,13603.0,87815.0,45823.0,38656.0,9762.0,1700.0
山区,196635.0,13888.0,52327.0,35635.0,51838.0,32635.0,10312.0
三、按贫困村类型分,,,,,,,
贫困村,125762.0,6732.0,36467.0,25240.0,32724.0,18931.0,5668.0
省定贫困村,84324.0,4645.0,24519.0,17066.0,21713.0,12491.0,3890.0
省以下定贫困村,41433.0,2087.0,11947.0,8171.0,11011.0,6440.0,1777.0
非贫困村,510445.0,38829.0,237326.0,108436.0,90154.0,28507.0,7193.0
四、按是否少数民族聚居村分,,,,,,,
是,73474.0,5688.0,19448.0,11363.0,17160.0,12852.0,6963.0
否,562733.0,39873.0,254345.0,122313.0,105718.0,34586.0,5898.0
五、按所在乡镇类型分,,,,,,,
乡,203162.0,14504.0,77206.0,42547.0,42434.0,19599.0,6872.0
镇,398630.0,28016.0,175832.0,84833.0,77051.0,27096.0,5802.0
街道,31647.0,2791.0,19388.0,5879.0,3011.0,530.0,48.0
农场,2668.0,232.0,1318.0,397.0,374.0,208.0,139.0
未填写,100.0,18.0,49.0,20.0,8.0,5.0,
六、按所在乡镇是否县政府驻地分,,,,,,,
是,47134.0,4426.0,23833.0,8295.0,6875.0,2830.0,875.0
否,588973.0,41117.0,249911.0,125361.0,115995.0,44603.0,11986.0
未填写,100.0,18.0,49.0,20.0,8.0,5.0,
七、按所在乡镇是否民族乡镇分,,,,,,,
是,33005.0,2640.0,9340.0,5390.0,7694.0,5156.0,2785.0
否,603102.0,42903.0,264404.0,128266.0,115176.0,42277.0,10076.0
未填写,100.0,18.0,49.0,20.0,8.0,5.0,
八、按所在乡镇是否老区分,,,,,,,
是,165822.0,10448.0,65831.0,36074.0,36266.0,14457.0,2746.0
否,470285.0,35095.0,207913.0,97582.0,86604.0,32976.0,10115.0
未填写,100.0,18.0,49.0,20.0,8.0,5.0,
九、按所在乡镇是否边区分,,,,,,,
是,25014.0,1713.0,7414.0,4398.0,6118.0,3658.0,1713.0
否,611093.0,43830.0,266330.0,129258.0,116752.0,43775.0,11148.0
未填写,100.0,18.0,49.0,20.0,8.0,5.0,
十、无对应乡表的分组,100.0,18.0,49.0,20.0,8.0,5.0,
