5-4-32各地区农村按住户主要收入来源分的家庭户户籍人口数量-地区,单位：人-合计,经营收入为主的人数,农业,非农业,工资收入为主的人数,农业.1,非农业.1
,,,,,,,
全国合计,819226693.0,544378944.0,466964023.0,77414915.0,258235670.0,6996804.0,251238866.0
北    京,3335882.0,1093536.0,585736.0,507800.0,1933057.0,67952.0,1865105.0
天    津,3684431.0,1830408.0,1059040.0,771368.0,1702652.0,23550.0,1679102.0
河    北,51178851.0,35364833.0,28382866.0,6981967.0,15116123.0,240349.0,14875774.0
山    西,20939484.0,12899407.0,9723014.0,3176393.0,7649958.0,72444.0,7577514.0
内 蒙 古,11392246.0,10285394.0,9858426.0,426962.0,892393.0,48061.0,844332.0
辽    宁,19661189.0,14335942.0,12804037.0,1531905.0,4986618.0,190734.0,4795884.0
吉    林,12172424.0,11085558.0,10700829.0,384729.0,918532.0,51057.0,867475.0
黑 龙 江,14077611.0,12536143.0,12065366.0,470777.0,1295985.0,68310.0,1227675.0
上    海,2710696.0,370344.0,185763.0,184581.0,2046622.0,16456.0,2030166.0
江    苏,46607555.0,19073822.0,12656445.0,6417377.0,26665550.0,1403191.0,25262359.0
浙    江,27347684.0,12548043.0,5042662.0,7505381.0,13686562.0,302232.0,13384330.0
安    徽,45905275.0,27113200.0,21531962.0,5581238.0,18180798.0,249869.0,17930929.0
福    建,21319841.0,11640245.0,7746449.0,3893796.0,8793032.0,343621.0,8449411.0
江    西,28348244.0,17095871.0,14848233.0,2247638.0,10059540.0,351392.0,9708148.0
山    东,67915414.0,47681644.0,41069288.0,6612356.0,18710075.0,429758.0,18280317.0
河    南,75552256.0,53257017.0,46764491.0,6492526.0,21366018.0,503441.0,20862577.0
湖    北,34234740.0,21190796.0,18499904.0,2690892.0,12355985.0,300372.0,12055613.0
湖    南,44763479.0,28903590.0,25504435.0,3399155.0,15308680.0,381018.0,14927662.0
广    东,46885119.0,25773752.0,20297657.0,5476095.0,19693618.0,572513.0,19121105.0
广    西,35913656.0,26153805.0,24518275.0,1635530.0,8733978.0,290391.0,8443587.0
海    南,4250242.0,3820945.0,3542105.0,278840.0,307941.0,70373.0,237568.0
重    庆,19410186.0,11666612.0,10975441.0,691171.0,7510432.0,72662.0,7437770.0
四    川,56417809.0,39021498.0,36613857.0,2407641.0,16894470.0,270469.0,16624001.0
贵    州,28343570.0,21513187.0,20288906.0,1224281.0,6182490.0,122933.0,6059557.0
云    南,33019221.0,28540732.0,26712441.0,1828291.0,4091558.0,138712.0,3952846.0
西    藏,2212683.0,2118085.0,2050076.0,68009.0,47496.0,4397.0,43099.0
陕    西,25681993.0,17289010.0,14810750.0,2478260.0,7881306.0,170804.0,7710502.0
甘    肃,19451257.0,16097944.0,15058853.0,1039091.0,3095110.0,123389.0,2971721.0
青    海,3309741.0,2386823.0,2147314.0,239509.0,846143.0,19252.0,826891.0
宁    夏,3613760.0,2831124.0,2525593.0,305531.0,737410.0,13601.0,723809.0
新    疆,9570154.0,8859634.0,8393809.0,465825.0,545538.0,83501.0,462037.0
东部地区,275235715.0,159197572.0,120568011.0,38629561.0,108655232.0,3469995.0,105185237.0
中部地区,249743478.0,160459881.0,136872039.0,23587842.0,84920979.0,1858536.0,83062443.0
西部地区,248336276.0,186763848.0,173953741.0,12810101.0,57458324.0,1358172.0,56100152.0
东北地区,45911224.0,37957643.0,35570232.0,2387411.0,7201135.0,310101.0,6891034.0
