7-1-42全国农村按住户人口特征分的常住户耐用品拥有量-分组,7-1-42全国农村按住户人口特征分的常住户耐用品拥有量-彩电(台),7-1-42全国农村按住户人口特征分的常住户耐用品拥有量-汽车(辆),7-1-42全国农村按住户人口特征分的常住户耐用品拥有量-摩托车(辆),7-1-42全国农村按住户人口特征分的常住户耐用品拥有量-固定电话(部),7-1-42全国农村按住户人口特征分的常住户耐用品拥有量-手机(部),7-1-42全国农村按住户人口特征分的常住户耐用品拥有量-电脑(台),7-1-42全国农村按住户人口特征分的常住户耐用品拥有量-其中：用本户电脑上网的户数(户)
分    组,"彩电
(台)","汽车
(辆)","摩托车
(辆)","固定电话
(部)",,,
,,,,,,,
合    计,192893147,7518878,84475641,114766491,154412868.0,4902448.0,3599080.0
一、按住户居住时间分,192893147,7518878,84475641,114766491,154412868.0,4902448.0,3599080.0
1-5年,3241420,196657,1028766,1112004,3662362.0,173321.0,126748.0
5年以上,189651727,7322221,83446875,113654487,150750506.0,4729127.0,3472332.0
二、按登记人数分,192893147,7518878,84475641,114766491,154412868.0,4902448.0,3599080.0
1人户,5075701,91430,867842,2105601,2135445.0,75774.0,51144.0
2人户,20291138,422515,4573721,11185072,9949272.0,369642.0,259885.0
3人户,44590683,1804379,19814590,26782073,36900719.0,1482758.0,1127818.0
4人户,55589923,2224613,25517430,33513917,46422621.0,1345639.0,986888.0
5人户,38138763,1613882,18518978,23401576,32542815.0,981280.0,723547.0
6人及以上,29206939,1362059,15183080,17778252,26461996.0,647355.0,449798.0
三、按住户户籍所在地分,192893147,7518878,84475641,114766491,154412868.0,4902448.0,3599080.0
本村户,187384072,7134702,82655535,112223459,148467347.0,4512551.0,3296519.0
村外乡内户,2177503,170043,892130,1380854,2199629.0,217749.0,176232.0
乡外县内户,1121582,85895,432957,606060,1169434.0,82920.0,65513.0
县外(地)市内户,551914,39717,140911,223791,584376.0,35314.0,26887.0
市外省内户,511867,24098,138174,129964,553463.0,13878.0,9403.0
外省,1134566,63622,212008,196683,1430004.0,39381.0,24037.0
其他,11643,801,3926,5680,8615.0,655.0,489.0
四、按住户户籍性质分,192893147,7518878,84475641,114766491,154412868.0,4902448.0,3599080.0
农业户籍户,173284253,6209974,76027392,101671430,135159527.0,3120631.0,2206038.0
混合户,12162491,760390,5376730,8235566,11689546.0,914577.0,702671.0
非农户籍户,7425810,547386,3063503,4849539,7546656.0,866680.0,689985.0
户籍待定户,20593,1128,8016,9956,17139.0,560.0,386.0
五、按户主受教育程度分,192892073,7518862,84475557,114765854,154412046.0,4902443.0,3599077.0
文盲,8576453,195739,2419012,4064975,4579831.0,114216.0,76196.0
小学,67354662,1814495,24829340,37756347,46978745.0,1182203.0,850790.0
初中,100629031,4455359,48646382,61762992,86085966.0,2436165.0,1773654.0
高中,14889718,948887,7838354,10233017,15074201.0,919010.0,699021.0
大学及以上,1442209,104382,742469,948523,1693303.0,250849.0,199416.0
