7-1-47全国农村按乡村类型分的常住户订阅报纸的户数和比重-分组,订阅户数(户),订阅比重(%),按订阅数量分的户数(%)-1种,2种,3种及以上
,,,,,
合    计,43230352.0,20.0,67.0,23.0,11.0
一、按社区类型分,,,,,
村委会,41254290.0,19.0,67.0,23.0,10.0
居委会,1976062.0,29.0,64.0,24.0,12.0
二、按地势分,,,,,
平原,24200778.0,25.0,66.0,23.0,11.0
丘陵,12834271.0,18.0,67.0,22.0,11.0
山区,6189379.0,12.0,68.0,23.0,10.0
三、按贫困村类型分,,,,,
贫困村,5519885.0,15.0,69.0,22.0,9.0
省定贫困村,3403898.0,14.0,70.0,22.0,9.0
省以下定贫困村,2115987.0,16.0,67.0,23.0,10.0
非贫困村,37704543.0,21.0,66.0,23.0,11.0
四、按是否少数民族聚居村分,,,,,
是,2111004.0,10.0,68.0,22.0,10.0
否,41113424.0,21.0,67.0,23.0,11.0
五、按所在乡镇类型分,,,,,
乡,9405002.0,16.0,70.0,21.0,9.0
镇,29691981.0,20.0,65.0,23.0,11.0
街道,3799445.0,29.0,68.0,21.0,11.0
农场,328570.0,34.0,63.0,24.0,14.0
六、按所在乡镇是否县政府驻地分,,,,,
是,3662428.0,21.0,65.0,23.0,12.0
否,39562570.0,19.0,67.0,23.0,10.0
七、按所在乡镇是否民族乡镇分,,,,,
是,1010798.0,11.0,67.0,22.0,11.0
否,42214200.0,20.0,67.0,23.0,11.0
八、按所在乡镇是否老区分,,,,,
是,10352756.0,20.0,66.0,23.0,11.0
否,32872242.0,19.0,67.0,23.0,10.0
九、按所在乡镇是否边区分,,,,,
是,949015.0,13.0,73.0,19.0,7.0
否,42275983.0,20.0,67.0,23.0,11.0
