表2-1全市人口普查主要数据-MAINDATAOFTHEPREVIOUSCENSUS-指　标-指　标,表2-1全市人口普查主要数据-MAINDATAOFTHEPREVIOUSCENSUS-Item-Item,表2-1全市人口普查主要数据-MAINDATAOFTHEPREVIOUSCENSUS-1982年“三普”TheThirdCensusin1982-1982年“三普”TheThirdCensusin1982,表2-1全市人口普查主要数据-MAINDATAOFTHEPREVIOUSCENSUS-1990年“四普”TheFourthCensusin1990-1990年“四普”TheFourthCensusin1990,表2-1全市人口普查主要数据-MAINDATAOFTHEPREVIOUSCENSUS-2000年“五普”TheFifthCensusin2000-2000年“五普”TheFifthCensusin2000,表2-1全市人口普查主要数据-MAINDATAOFTHEPREVIOUSCENSUS-2010年“六普”TheSixthCensusin2010-2010年“六普”TheSixthCensusin2010,表2-1全市人口普查主要数据-MAINDATAOFTHEPREVIOUSCENSUS-2020年“七普”TheSeventhCensusin2020-2020年“七普”TheSeventhCensusin2020
常住人口               (万人),Resident Population                                                        (10 000 persons),528.0,564.0,679.0,1046.0,1275.0
男,Male,265.0,283.0,336.0,533.0,666.0
女,Female,263.0,282.0,343.0,513.0,609.0
性别比(女性为100),Sex Ratio  (Female = 100),101.0,100.0,98.0,104.0,109.0
家庭户规模              (人/户),Family Size                                                                  (person/household),4.0,4.0,3.0,3.0,3.0
各年龄组人口             (万人),Population by Age Group                                               (10 000 persons),,,,,
0-14岁,Aged 0—14,126.0,105.0,98.0,96.0,173.0
15-64岁,Aged 15—64,367.0,414.0,516.0,861.0,944.0
65岁及以上,Aged 65 and Over,34.0,46.0,65.0,89.0,159.0
各种受教育程度的人口   (万人),Population with Various Education Attainments          (10 000 persons),343.0,412.0,596.0,975.0,1169.0
小  学,Primary School,192.0,199.0,220.0,227.0,250.0
初  中,Junior Secondary School,109.0,149.0,250.0,402.0,418.0
高中、中专,Senior Secondary School and Technical Secondary School,38.0,53.0,94.0,200.0,214.0
大专及以上,Junior College and Above,4.0,11.0,32.0,146.0,287.0
#大学专科,Junior College,,,20.0,88.0,150.0
大学本科,Undergraduate College,,,11.0,53.0,123.0
研究生,Graduate College,,,1.0,5.0,14.0
城乡人口,Population by Residence,,,,,
城镇人口,Urban Population,108.0,146.0,388.0,733.0,1042.0
乡村人口,Rural Population,419.0,418.0,291.0,313.0,233.0
