5-3全国分年龄、性别、受教育程度、婚姻状况的人口-受教育程度-年龄,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-15岁及以上人口-合计,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-15岁及以上人口-男,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-15岁及以上人口-女,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-未婚-小计,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-未婚-男,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-未婚-女,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-有配偶-小计,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-有配偶-男,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-有配偶-女,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-离婚-小计,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-离婚-男,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-离婚-女,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-丧偶-小计,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-丧偶-男,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-丧偶-女
,,,,,,,,,,,,,,,
总  计,114261590.0,57861957.0,56399633.0,21947434.0,13067496.0,8879938.0,83036998.0,41585937.0,41451061.0,2716772.0,1464446.0,1252326.0,6560386.0,1744078.0,4816308.0
,,,,,,,,,,,,,,,
15-19岁,7788415.0,4137501.0,3650914.0,7735682.0,4125594.0,3610088.0,52162.0,11734.0,40428.0,528.0,164.0,364.0,43.0,9.0,34.0
15,1586477.0,844965.0,741512.0,1585666.0,844803.0,740863.0,806.0,160.0,646.0,4.0,1.0,3.0,1.0,1.0,0.0
16,1752971.0,934140.0,818831.0,1750276.0,933657.0,816619.0,2668.0,478.0,2190.0,23.0,3.0,20.0,4.0,2.0,2.0
17,1548149.0,826223.0,721926.0,1541571.0,824821.0,716750.0,6508.0,1382.0,5126.0,64.0,19.0,45.0,6.0,1.0,5.0
18,1413390.0,756051.0,657339.0,1399112.0,752915.0,646197.0,14118.0,3098.0,11020.0,148.0,37.0,111.0,12.0,1.0,11.0
19,1487428.0,776122.0,711306.0,1459057.0,769398.0,689659.0,28062.0,6616.0,21446.0,289.0,104.0,185.0,20.0,4.0,16.0
,,,,,,,,,,,,,,,
