分类,同学,成功愿望,权力动机,竞争性,说服的,决断的,活力,创新的,求知欲,洞察的,批判的,前瞻性,理性的,乐观的,自我肯定的,寻求变化的,情绪稳定性,抗压性,适应性,乐群性,同理心,支持性,信任的,开放性,谦虚的,责任感,审慎的,条理性,规范的,独立性,意志力
研发,1号,6,2,4,3,6,3,4,5,5,8,7,10,4,4,2,10,5,5,4,4,3,5,5,7,6,8,9,9,8,6
研发,2号,9,5,5,3,10,4,3,2,2,3,2,7,5,3,4,10,6,4,7,4,6,5,5,7,8,5,8,9,9,3
研发,3号,6,7,6,4,6,9,5,6,6,5,10,6,6,8,4,7,8,5,4,6,4,4,4,2,5,5,7,5,3,7
研发,4号,4,2,2,3,3,4,4,3,4,7,7,5,4,4,3,8,3,3,4,10,9,10,9,7,8,7,7,8,4,9
研发,5号,3,2,3,3,2,4,4,4,4,4,4,3,9,6,4,8,6,8,10,8,8,5,10,7,6,3,6,8,8,7
研发,6号,3,6,3,5,3,2,4,6,7,6,7,9,2,6,4,10,5,3,5,6,6,4,7,8,8,8,8,7,5,2
研发,7号,5,3,3,3,3,4,3,8,2,2,3,4,7,4,6,7,7,5,9,7,7,6,9,9,8,6,7,6,8,6
研发,8号,7,4,5,3,6,8,3,9,5,5,4,8,6,3,8,5,10,10,4,3,5,3,5,4,4,5,7,5,5,10
研发,9号,3,4,3,3,5,4,5,4,2,4,7,6,7,4,3,10,8,6,4,8,8,4,10,8,6,5,4,10,6,5
研发,10号,4,3,3,3,2,4,4,7,3,7,6,9,6,3,2,8,7,5,5,8,6,5,8,6,9,9,8,9,4,3
研发,11号,7,4,3,4,4,5,3,6,7,3,9,5,6,2,5,5,2,8,6,7,8,6,7,5,5,7,7,8,5,8
研发,12号,3,2,2,3,3,10,4,9,8,9,5,4,5,2,5,5,9,2,4,5,5,7,7,3,8,8,8,8,7,10
研发,13号,2,3,4,3,2,5,3,3,6,5,7,7,6,9,4,9,10,10,6,6,6,7,8,2,7,6,7,6,4,6
研发,14号,6,2,5,3,6,5,4,2,5,3,6,8,5,3,4,9,8,7,5,5,5,6,6,6,6,6,8,9,4,8
研发,15号,7,4,4,4,5,4,3,4,3,6,6,7,4,4,4,10,6,5,5,3,6,7,7,7,6,8,7,7,6,7
研发,16号,8,5,7,5,6,4,5,7,7,5,5,2,7,8,7,7,2,3,6,5,6,7,9,4,3,7,4,5,8,7
研发,17号,3,5,3,4,4,3,7,6,9,8,8,7,6,4,4,7,2,6,4,7,9,8,9,6,6,7,4,6,4,2
研发,18号,5,4,4,4,2,3,3,3,2,2,8,4,9,9,6,9,6,4,8,9,9,8,5,7,6,7,5,6,3,8
研发,19号,7,6,8,6,3,5,4,7,6,5,8,9,3,4,4,6,2,5,4,2,4,6,6,7,8,8,8,9,5,2
研发,20号,5,5,4,4,2,2,2,5,6,4,5,8,7,7,8,8,3,4,7,7,5,5,9,10,6,9,7,8,4,2
研发,21号,5,2,3,3,8,6,4,3,7,10,6,9,5,2,3,9,7,5,4,3,4,4,5,4,8,9,9,9,6,6
研发,22号,3,3,2,3,2,6,3,4,2,3,4,4,9,8,4,10,9,8,10,8,8,10,10,2,8,5,5,6,4,3
研发,23号,5,5,6,4,5,5,5,5,7,9,7,6,2,5,5,9,10,3,4,4,5,5,8,7,3,6,6,5,5,5
研发,24号,6,4,3,3,5,4,4,4,2,5,2,6,6,7,4,8,8,7,8,7,6,8,8,5,8,6,5,9,6,2
营销,25号,9,9,10,7,6,7,7,6,3,9,6,7,5,2,6,2,3,4,4,4,6,8,9,2,2,5,3,7,4,3
营销,26号,2,2,6,7,3,3,3,2,3,5,4,4,8,6,6,9,9,8,7,9,6,8,10,5,6,5,2,10,4,5
营销,27号,7,8,10,10,5,3,5,7,10,10,8,9,3,2,3,4,2,2,6,5,5,7,6,3,4,6,5,4,4,3
营销,28号,7,5,7,10,6,8,8,6,5,5,2,6,8,9,7,6,9,7,7,4,4,2,5,7,2,2,2,2,8,5
营销,29号,5,2,6,5,4,8,4,6,6,3,7,2,9,6,3,8,7,6,8,9,9,10,10,3,3,4,4,3,4,6
营销,30号,7,7,5,5,6,4,5,6,2,3,6,4,5,7,5,9,9,8,8,5,7,6,5,6,4,3,4,5,6,4
营销,31号,4,5,3,10,4,4,9,8,5,5,8,2,8,5,10,7,7,8,8,7,7,7,7,3,2,2,2,3,3,6
营销,32号,6,4,9,6,8,3,8,9,9,9,5,7,6,6,4,5,7,8,2,4,3,4,4,5,5,2,5,7,5,5
营销,33号,3,5,4,9,9,4,3,6,5,6,7,5,7,4,2,4,5,8,3,8,5,6,6,5,8,4,7,4,7,8
营销,34号,9,7,7,5,6,5,7,7,8,4,7,8,6,4,7,6,9,8,8,4,3,4,3,7,2,2,3,2,7,6
营销,35号,3,9,2,10,2,2,6,2,7,6,5,8,6,3,4,10,8,2,8,7,9,10,8,6,2,7,3,3,6,2
营销,36号,7,6,5,9,2,6,9,6,6,6,6,6,6,6,10,8,8,6,8,5,5,4,2,3,2,3,4,2,7,2
营销,37号,9,10,6,10,8,6,7,3,6,5,5,5,6,6,5,5,3,8,6,5,7,5,4,6,2,2,2,2,4,9
