9-6各地区按住房来源分的同时拥有厨房和厕所的家庭户户数-地区-地区,9-6各地区按住房来源分的同时拥有厨房和厕所的家庭户户数-合计-合计,9-6各地区按住房来源分的同时拥有厨房和厕所的家庭户户数-租赁廉租住-房/公租房,9-6各地区按住房来源分的同时拥有厨房和厕所的家庭户户数-租赁-其他住房,9-6各地区按住房来源分的同时拥有厨房和厕所的家庭户户数-购买新建-商品房,9-6各地区按住房来源分的同时拥有厨房和厕所的家庭户户数-购买-二手房,9-6各地区按住房来源分的同时拥有厨房和厕所的家庭户户数-购买原-公有住房,9-6各地区按住房来源分的同时拥有厨房和厕所的家庭户户数-购买经济适-用房/两限房,9-6各地区按住房来源分的同时拥有厨房和厕所的家庭户户数-自建住房-自建住房,9-6各地区按住房来源分的同时拥有厨房和厕所的家庭户户数-继承或-赠予,9-6各地区按住房来源分的同时拥有厨房和厕所的家庭户户数-单位：户-其他-其他
,,,,,,,,,,
全    国,43160174.0,985495.0,4838640.0,9542702.0,3068273.0,1796820.0,1175315.0,19570691.0,394722.0,1787516.0
,,,,,,,,,,
北    京,705793.0,30558.0,187870.0,128187.0,80678.0,89823.0,45522.0,78785.0,6255.0,58115.0
天    津,427047.0,11744.0,52433.0,145069.0,67933.0,36912.0,17636.0,69491.0,6693.0,19136.0
河    北,2272909.0,25413.0,102053.0,499157.0,104203.0,82509.0,26976.0,1328123.0,31104.0,73371.0
山    西,987180.0,15194.0,67424.0,265182.0,49709.0,87616.0,44181.0,383251.0,17782.0,56841.0
内 蒙 古,715243.0,15041.0,59665.0,249954.0,99911.0,36714.0,29231.0,183992.0,6074.0,34661.0
,,,,,,,,,,
辽    宁,1483109.0,17498.0,93648.0,502658.0,250785.0,119445.0,32892.0,352379.0,19585.0,94219.0
吉    林,844551.0,13300.0,68028.0,271996.0,147789.0,40334.0,27795.0,255253.0,6944.0,13112.0
黑 龙 江,1072597.0,14928.0,70348.0,371795.0,199671.0,67533.0,68276.0,231644.0,11867.0,36535.0
,,,,,,,,,,
上    海,844369.0,27989.0,267126.0,220077.0,153716.0,76953.0,8349.0,68820.0,2660.0,18679.0
江    苏,2648270.0,40177.0,266413.0,684830.0,238550.0,79407.0,184304.0,1043182.0,16618.0,94789.0
浙    江,2062263.0,76274.0,510299.0,326440.0,196909.0,36576.0,91001.0,773999.0,19955.0,30810.0
安    徽,1912540.0,33160.0,129875.0,385329.0,105418.0,53456.0,20890.0,1056615.0,11469.0,116328.0
福    建,1200678.0,30806.0,244034.0,220423.0,74022.0,23164.0,12715.0,556380.0,12577.0,26557.0
江    西,1305458.0,37989.0,69013.0,280079.0,54659.0,44848.0,14769.0,759600.0,11126.0,33375.0
山    东,3338559.0,29355.0,175608.0,800224.0,182920.0,132110.0,59547.0,1752620.0,28493.0,177682.0
,,,,,,,,,,
河    南,2863136.0,37150.0,114611.0,527015.0,99937.0,104189.0,54487.0,1824969.0,15508.0,85270.0
湖    北,1840464.0,29060.0,124359.0,419244.0,97812.0,109919.0,39724.0,908318.0,12082.0,99946.0
湖    南,2104090.0,32444.0,107581.0,389414.0,58030.0,80150.0,39122.0,1322325.0,21630.0,53394.0
广    东,3564018.0,172729.0,1242886.0,570992.0,208463.0,81275.0,25142.0,1140826.0,33911.0,87794.0
广    西,1386384.0,28467.0,121378.0,188667.0,34969.0,50279.0,17788.0,900093.0,7793.0,36950.0
海    南,240039.0,6109.0,36429.0,24908.0,7116.0,15324.0,8000.0,129482.0,1958.0,10713.0
,,,,,,,,,,
重    庆,1123988.0,43390.0,93173.0,351823.0,110021.0,26176.0,42127.0,403918.0,10302.0,43058.0
四    川,2888004.0,45955.0,249364.0,667337.0,177971.0,72716.0,71535.0,1413785.0,28762.0,160579.0
贵    州,1043222.0,17394.0,78707.0,179074.0,30464.0,25256.0,35468.0,615651.0,12295.0,48913.0
云    南,1226432.0,49635.0,99156.0,151638.0,53817.0,37256.0,19245.0,772354.0,9206.0,34125.0
西    藏,51482.0,8234.0,4488.0,2281.0,1906.0,1392.0,1025.0,25477.0,1098.0,5581.0
,,,,,,,,,,
陕    西,1191433.0,29850.0,99464.0,275128.0,35393.0,82070.0,41223.0,561723.0,8445.0,58137.0
甘    肃,712996.0,10933.0,32354.0,147916.0,35746.0,45865.0,31388.0,379863.0,5484.0,23447.0
青    海,145597.0,7817.0,8385.0,42225.0,13438.0,7922.0,5613.0,52805.0,1831.0,5561.0
宁    夏,223597.0,10136.0,17134.0,70698.0,25726.0,8295.0,9513.0,62924.0,1875.0,17296.0
新    疆,734726.0,36766.0,45334.0,182942.0,70591.0,41336.0,49831.0,162044.0,13340.0,132542.0
