表11-5各地区家庭户住房设施状况-地区别-地区别,表11-5各地区家庭户住房设施状况-合计-合计,表11-5各地区家庭户住房设施状况-住房内有无厨房-本户独立使用,表11-5各地区家庭户住房设施状况-住房内有无厨房-本户与其他户合用,表11-5各地区家庭户住房设施状况-住房内有无厨房-无,表11-5各地区家庭户住房设施状况-主要炊事燃料-燃气,表11-5各地区家庭户住房设施状况-主要炊事燃料-电,表11-5各地区家庭户住房设施状况-主要炊事燃料-煤炭,表11-5各地区家庭户住房设施状况-主要炊事燃料-柴草,表11-5各地区家庭户住房设施状况-主要炊事燃料-其他,表11-5各地区家庭户住房设施状况-是否饮用自来水-是,表11-5各地区家庭户住房设施状况-是否饮用自来水-否,表11-5各地区家庭户住房设施状况-住房内有无洗澡设施-统一供热水,表11-5各地区家庭户住房设施状况-住房内有无洗澡设施-家庭自装热水器,表11-5各地区家庭户住房设施状况-住房内有无洗澡设施-其他,表11-5各地区家庭户住房设施状况-住房内有无洗澡设施-无,表11-5各地区家庭户住房设施状况-住房内有无厕所-独立使用抽水式,表11-5各地区家庭户住房设施状况-住房内有无厕所-邻居合用抽水式,表11-5各地区家庭户住房设施状况-住房内有无厕所-独立使用其他式样,表11-5各地区家庭户住房设施状况-单位：户-住房内有无厕所-邻居合用其他式样,表11-5各地区家庭户住房设施状况-住房内有无厕所-无
湖南省,196463,170185,5262,21016,28213,956,95575,70281,1438,68276,128187,1906,32809,86151,75597,34121,1675,128457,7738,24472
长沙市,19079,17180,727,1172,7134,191,8674,2832,248,8231,10848,288,6341,7981,4469,5645,454,10814,873,1293
株洲市,10964,10235,280,449,1815,52,7089,1971,37,4202,6762,143,2294,4069,4458,2497,186,6867,834,580
湘潭市,9850,9015,259,576,2236,20,4037,3487,70,3545,6305,196,2286,3226,4142,2354,49,5759,320,1368
衡阳市,20441,17402,459,2580,2034,97,13533,4697,80,4837,15604,126,3083,10151,7081,2689,142,13322,541,3747
邵阳市,20918,16554,817,3547,1533,72,11216,7949,148,7557,13361,135,1891,9847,9045,1919,204,16312,971,1512
岳阳市,14859,13122,323,1414,3653,44,6114,4929,119,6762,8097,132,3769,4843,6115,4332,135,8457,318,1617
常德市,18791,17703,343,745,3188,70,5787,9489,257,6682,12109,192,4336,10971,3292,4720,96,12644,418,913
张家界市,4710,4487,68,155,257,11,1260,3168,14,1311,3399,22,324,3987,377,337,11,4176,84,102
益阳市,12909,11015,341,1553,888,49,6775,5119,78,2840,10069,77,1629,4573,6630,2586,120,8219,330,1654
郴州市,15472,13361,308,1803,1342,67,10643,3309,111,7645,7827,170,2102,9392,3808,1760,78,10359,515,2760
永州市,14547,10684,332,3531,785,61,7535,6072,94,3534,11013,136,1055,4431,8925,1374,68,6722,1088,5295
怀化市,14409,13167,391,851,1609,169,2291,10279,61,5202,9207,147,1490,6329,6443,1554,56,11028,652,1119
娄底市,11591,9350,423,1818,1063,26,8737,1677,88,3478,8113,75,1518,5066,4932,1584,43,7530,508,1926
湘西土家族苗族自治州,7923,6910,191,822,676,27,1884,5303,33,2450,5473,67,691,1285,5880,770,33,6248,286,586
