元江县水利灌区管理局2017—2019年县属水利工程供水定调价成本测算表(表一)-单位：万元-项目-项目,元江县水利灌区管理局2017—2019年县属水利工程供水定调价成本测算表(表一)-单位：万元-行次-行次,元江县水利灌区管理局2017—2019年县属水利工程供水定调价成本测算表(表一)-单位：万元-上报数-2017年,元江县水利灌区管理局2017—2019年县属水利工程供水定调价成本测算表(表一)-单位：万元-上报数-2018年,元江县水利灌区管理局2017—2019年县属水利工程供水定调价成本测算表(表一)-单位：万元-上报数-2019年,元江县水利灌区管理局2017—2019年县属水利工程供水定调价成本测算表(表一)-单位：万元-上报数-三年平均,元江县水利灌区管理局2017—2019年县属水利工程供水定调价成本测算表(表一)-单位：万元-备注-备注
一、运行成本合计,1,2040.0,2268.0,1893.0,2067.0,
（一）人员经费合计,2,1790.0,1958.0,1789.0,1846.0,
1、工资,3,1189.0,1321.0,1186.0,1232.0,
2、职业年金和工会经费,4,78.0,84.0,81.0,81.0,
3、社会保险费（养老医疗、失业等）,5,277.0,297.0,268.0,281.0,
4、公积金,6,149.0,155.0,155.0,153.0,
5、渠道承包人员工资,7,97.0,101.0,99.0,99.0,
（二）日常公用经费,8,55.0,110.0,35.0,66.0,
1、办公经费,9,6.0,9.0,11.0,9.0,
2、日常修理费,10,5.0,7.0,4.0,5.0,
3、业务接待费,11,1.0,0.0,0.0,0.0,收入总额5‰计算的业务招待费﹥实际发生数，所以据实核定。
4、水电费,12,5.0,5.0,6.0,5.0,
5、车辆使用费,13,8.0,8.0,7.0,8.0,
6、差旅费,14,3.0,4.0,2.0,3.0,
7、办公设备购置费及诉讼费,15,4.0,7.0,0.0,4.0,扣除2017年刘加文案赔偿金14.51万元。
8、手续费,16,4.0,7.0,4.0,5.0,
9、劳务费,17,0.0,28.0,0.0,9.0,
10、其它费用,18,19.0,34.0,0.0,18.0,
（三）维修费,19,195.0,200.0,69.0,155.0,
二、固定资产大修理费,20,459.0,459.0,459.0,459.0,按固定资产价值的1.4%计算
1、账面固定资产大修理费,21,197.0,197.0,207.0,200.0,
2、已使用未移交固定资产大修费,22,263.0,263.0,253.0,259.0,已使用未移交资产
三、固定资产年折旧,23,1011.0,990.0,972.0,991.0,
四、成本费用合计（一至三项）,24,3510.0,3717.0,3324.0,3517.0,
1、公益服务应承担的成本（13.96%）,25,490.0,519.0,464.0,491.0,按专项审计结果（比例）分摊
2、非公益性生产经营应承担的成本（86.04%）,26,3020.0,3198.0,2860.0,3026.0,按专项审计结果（比例）分摊
五、非公益性生产经营环节应扣减的成本费用,27,295.0,242.0,207.0,248.0,扣除合计
1、对外工程援建人员费用,28,241.0,191.0,151.0,195.0,
2、资产出租费用,29,54.0,51.0,56.0,54.0,
六、非公益性生产经营总成本,30,2725.0,2956.0,2652.0,2778.0,
其中：1、发电供水应承担的成本,31,1208.0,1311.0,1176.0,1232.0,0
2、非发电供水（生活、工业、农业）应承担成本,32,1517.0,1645.0,1476.0,1546.0,1
（1）工业供水应承担的成本,33,12.0,8.0,5.0,8.0,按0.53%比例分摊
工业供水成本分配比例,34,0.0,0.0,0.0,0.0,
（2）生活供水应承担的成本,35,188.0,226.0,215.0,210.0,按13.56%比例分摊
生活供水成本分配比例,36,0.0,0.0,0.0,0.0,
（3）农业供水应承担的成本,37,1317.0,1412.0,1257.0,1328.0,按85.91%比例分摊
农业供水成本分配比例,38,1.0,1.0,1.0,1.0,
七、当年水库实际供水量（原始水量，万m³）,39,7994.0,7774.0,8195.0,7988.0,审计数
西拉河水库等未发电供水量(万m³）,40,1303.0,1635.0,1540.0,1493.0,审计数
发电供水原始量（万m³）,41,6691.0,6139.0,6656.0,6495.0,扣除西拉河水库等非发电供水
发电实际供水量（万m³）,42,5352.0,4911.0,5324.0,5196.0,发电供水保证率执行80%
非发电原始供水量（工业、生活、农业原始供水量，万m³）,43,6656.0,6547.0,6864.0,6689.0,
其中（1）工业供水量（万m³）,44,37.0,22.0,15.0,25.0,审计数
（2）生活供水量（万m³）,45,548.0,600.0,667.0,605.0,审计数
（3）农业供水量（万m³）,46,6071.0,5925.0,6182.0,6059.0,倒算数
非发电实际供水量（工业、生活、农业实际供水量万m³,47,4196.0,4144.0,4357.0,4232.0,
其中:（1）工业供水量（万m³）,48,33.0,19.0,14.0,22.0,工业供水保证率执行90%
（2）生活供水量（万m³）,49,520.0,570.0,634.0,575.0,生活供水保证率执行95%
（3）农业供水量（万m³）,50,3643.0,3555.0,3709.0,3636.0,
八、非发电供水综合售水成本,51,0.0,0.0,0.0,0.0,无税，不含税
九、分类售水成本,52,,,,,
1、发电供水单位成本（元/m³）,53,0.0,0.0,0.0,0.0,
2、工业供水单位成本（元/m³）,54,0.0,0.0,0.0,0.0,
3、生活供水单位成本（元/m³）,55,0.0,0.0,0.0,0.0,
4、农业供水单位成本（元/m³）,56,0.0,0.0,0.0,0.0,农业供水价格按补偿供水成本、费用的原则核算，不计利润和税金。
