成员,IBI,情感,忠诚,贡献,专业尊敬
1,93,40,56,34,18
2,51,20,35,18,11
3,57,16,11,28,14
4,58,40,59,42,18
5,60,24,23,26,10
6,60,24,23,26,10
7,63,24,44,30,10
8,63,24,35,22,14
9,63,32,47,34,14
10,63,26,41,30,13
11,64,8,17,10,2
12,65,32,47,22,10
13,67,40,59,38,18
14,69,34,35,26,13
15,71,24,35,26,10
16,71,32,47,34,18
17,71,22,17,34,10
18,71,32,35,20,14
19,72,32,47,34,14
20,72,24,35,20,12
21,73,24,35,20,14
22,74,8,11,10,4
23,74,32,47,28,14
24,74,32,59,42,18
25,74,40,53,42,18
26,74,32,47,34,12
27,75,26,38,30,14
28,76,28,41,30,11
29,76,32,44,30,12
30,76,32,47,30,14
31,77,8,11,10,2
32,78,38,59,42,18
33,78,30,47,30,14
34,78,32,47,20,10
35,79,40,53,34,18
36,80,34,50,34,11
37,80,32,53,36,18
38,80,40,56,42,18
39,81,40,56,42,18
40,81,18,38,30,10
41,81,36,38,32,14
42,82,40,59,42,18
43,83,24,38,26,11
44,83,26,35,18,6
45,83,26,35,28,14
46,84,32,41,34,14
47,84,36,20,14,16
48,84,40,59,34,14
49,84,40,47,34,18
50,85,32,47,26,14
51,86,40,35,30,14
52,92,40,53,42,16
53,97,40,44,36,18
54,98,28,59,42,18
55,101,36,50,36,15
56,49,24,35,26,10
57,63,24,35,26,10
58,51,20,35,18,12
59,65,32,44,34,18
60,81,8,11,18,3
61,74,40,59,42,18
62,75,32,47,26,14
63,82,40,59,42,18
64,76,38,47,36,18
65,66,24,35,26,10
66,70,24,44,30,10
67,83,38,23,38,14
68,84,32,47,34,14
69,82,32,47,34,14
70,66,24,35,26,10
71,74,40,35,28,18
72,80,32,47,34,14
73,76,40,53,38,18
74,82,32,47,34,14
75,103,40,59,42,18
76,95,40,59,42,18
77,66,24,35,26,6
78,83,40,59,42,18
79,100,40,59,42,18
80,97,40,59,42,18
81,63,32,47,34,14
82,84,40,53,42,18
83,69,32,47,34,18
84,82,32,47,34,14
85,100,36,59,42,18
86,94,40,59,42,18
87,63,32,47,34,14
88,84,32,47,34,14
89,75,32,47,34,14
90,83,36,47,34,14
91,90,32,47,34,14
92,103,40,59,42,18
93,88,32,47,34,14
94,100,40,59,42,18
95,79,32,47,22,14
96,77,32,47,34,14
97,66,34,35,26,10
98,84,40,59,42,18
99,49,8,11,10,2
100,63,24,29,10,3
101,59,38,47,26,14
102,70,28,47,34,12
103,103,40,59,42,18
104,63,24,35,26,10
105,69,14,14,18,13
106,83,32,47,34,14
107,73,32,47,34,14
108,83,32,47,34,14
