园区客户类型,客户简称,业务类型,求和项:本年实际,求和项:本年年化收入,上半年销售佣金,销售业绩
存量+续签,保正,仓储收入,42116.23,84232.46,12.63,20215.79
存量+续签,保正,操作搬运收入,28061.33,56122.66,8.42,13469.44
存量+续签,保正,配送服务收入,53194.53,106389.06,46.36,74182.95
存量+续签,保正,增值服务收入,222485.26,444970.52,66.75,106792.92
存量+续签,丰正供应链,仓储收入,79944.96,159889.92,23.98,38373.58
存量+续签,丰正供应链,操作搬运收入,23483.71,46967.42,7.05,11272.18
存量+续签,丰正供应链,增值服务收入,10947.16,21894.32,3.28,5254.64
存量+续签,健诚业国际货运,仓储收入,-1530.0,-18360.0,-2.75,-4406.4
存量+续签,君海物流,仓储收入,79225.04,158450.08,23.77,38028.02
存量+续签,君海物流,操作搬运收入,8055.87,16111.74,2.42,3866.82
存量+续签,君海物流,配送服务收入,-45081.36,-90162.72,-39.29,-62868.65
存量+续签,君海物流,增值服务收入,13898.25,27796.5,4.17,6671.16
存量+续签,凯利迪实业,仓储收入,69210.2,138420.4,20.76,33220.9
存量+续签,洛晖（浙江惠元对外贸易有限责任公司）,仓储收入,123074.5,295378.8,44.31,70890.91
存量+续签,洛晖（浙江惠元对外贸易有限责任公司）,操作搬运收入,26891.67,64540.01,9.68,15489.6
存量+续签,洛晖（浙江惠元对外贸易有限责任公司）,增值服务收入,2444.69,5867.26,0.88,1408.14
存量+续签,山岱国际,仓储收入,185957.49,371914.98,55.79,89259.6
存量+续签,山岱国际,操作搬运收入,74.73,149.46,0.02,35.87
存量+续签,山岱国际,配送服务收入,107140.13,214280.26,93.38,149413.31
存量+续签,山岱国际,增值服务收入,189291.6,378583.2,56.79,90859.97
存量+续签,泰森,仓储收入,350355.99,700711.98,105.11,168170.88
存量+续签,泰森,操作搬运收入,424055.43,848110.86,127.22,203546.61
存量+续签,泰森,配送服务收入,2156501.78,4313003.56,1879.61,3007370.61
存量+续签,泰森,增值服务收入,327355.19,654710.38,98.21,157130.49
存量+续签,天成食品,操作搬运收入,2886.79,8660.37,1.3,2078.49
存量+续签,天成食品,配送服务收入,36322.75,108968.25,47.49,75981.37
存量+续签,天成食品,增值服务收入,12718.49,38155.47,5.72,9157.31
老客新签,飞熊领鲜,仓储收入,4988.0,14964.0,22.45,4938.12
老客新签,国联水产,配送服务收入,274081.05,1096324.2,4777.78,1051111.61
老客新签,佳沛,增值服务收入,60616.13,727393.56,1091.09,240039.87
老客新签,深圳市瑞凯西进出口有限公司,仓储收入,26031.48,312377.76,468.57,103084.66
老客新签,大正食品,仓储收入,246.34,739.02,1.11,288.22
新客新签,大正食品,操作搬运收入,271.7,815.1,1.22,317.89
新客新签,大正食品,配送服务收入,5414.79,16244.37,70.79,18406.17
新客新签,大正食品,增值服务收入,2310.02,6930.06,10.4,2702.72
