表1-1各地区的户数、人口数和性别比-名称-名称-名称,表1-1各地区的户数、人口数和性别比-户数-合计-合计,表1-1各地区的户数、人口数和性别比-户数-家庭户-家庭户,表1-1各地区的户数、人口数和性别比-户数-集体户-集体户,表1-1各地区的户数、人口数和性别比-人口数-合计-合计,表1-1各地区的户数、人口数和性别比-人口数-合计-男,表1-1各地区的户数、人口数和性别比-人口数-合计-女,表1-1各地区的户数、人口数和性别比-人口数-合计-性别比,表1-1各地区的户数、人口数和性别比-人口数-家庭户-合计,表1-1各地区的户数、人口数和性别比-人口数-家庭户-男,表1-1各地区的户数、人口数和性别比-人口数-家庭户-女,表1-1各地区的户数、人口数和性别比-人口数-家庭户-性别比,表1-1各地区的户数、人口数和性别比-人口数-集体户-合计,表1-1各地区的户数、人口数和性别比-人口数-集体户-男,表1-1各地区的户数、人口数和性别比-人口数-集体户-女,表1-1各地区的户数、人口数和性别比-单位：人-人口数-集体户-性别比,表1-1各地区的户数、人口数和性别比-单位：人-家庭户平均每户人数-家庭户平均每户人数-家庭户平均每户人数
湖南省,199402,197575,1827,629054,321705,307349,105,620812,316624,304188,104,8242,5081,3161,161,3
长沙市,19810,19181,629,62811,31707,31104,102,60577,30527,30050,102,2234,1180,1054,112,3
株洲市,11225,10993,232,36269,18386,17883,103,35610,17937,17673,101,659,449,210,214,3
湘潭市,10048,9911,137,31277,15861,15416,103,30799,15472,15327,101,478,389,89,437,3
衡阳市,20719,20616,103,67362,34747,32615,107,66906,34508,32398,107,456,239,217,110,3
邵阳市,21299,21048,251,68969,35393,33576,105,66675,33999,32676,104,2294,1394,900,155,3
岳阳市,15002,14910,92,49053,25417,23636,108,48646,25151,23495,107,407,266,141,189,3
常德市,18884,18844,40,51515,25884,25631,101,51365,25822,25543,101,150,62,88,70,3
张家界市,4736,4727,9,14894,7519,7375,102,14864,7503,7361,102,30,16,14,114,3
益阳市,13049,13034,15,40327,20587,19740,104,40252,20520,19732,104,75,67,8,838,3
郴州市,15692,15554,138,49845,25902,23943,108,49359,25586,23773,108,486,316,170,186,3
永州市,14695,14680,15,46512,24029,22483,107,46463,24003,22460,107,49,26,23,113,3
怀化市,14524,14476,48,46774,24050,22724,106,46442,23811,22631,105,332,239,93,257,3
娄底市,11711,11640,71,36699,18682,18017,104,36430,18460,17970,103,269,222,47,472,3
湘西土家族苗族自治州,8008,7961,47,26747,13541,13206,103,26424,13325,13099,102,323,216,107,202,3
