6-12全国按年龄分的15-64岁妇女平均活产子女数和平均存活子女数-年龄-年龄-年龄,6-12全国按年龄分的15-64岁妇女平均活产子女数和平均存活子女数-15-64岁妇女人数-15-64岁妇女人数-15-64岁妇女人数,6-12全国按年龄分的15-64岁妇女平均活产子女数和平均存活子女数-活产子女总数-合计-合计,6-12全国按年龄分的15-64岁妇女平均活产子女数和平均存活子女数-活产子女总数-男-男,6-12全国按年龄分的15-64岁妇女平均活产子女数和平均存活子女数-活产子女总数-女-女,6-12全国按年龄分的15-64岁妇女平均活产子女数和平均存活子女数-存活子女总数-合计-合计,6-12全国按年龄分的15-64岁妇女平均活产子女数和平均存活子女数-存活子女总数-男-男,6-12全国按年龄分的15-64岁妇女平均活产子女数和平均存活子女数-存活子女总数-女-女,6-12全国按年龄分的15-64岁妇女平均活产子女数和平均存活子女数-存活子女数-占活产子女-数的百分比,6-12全国按年龄分的15-64岁妇女平均活产子女数和平均存活子女数-妇女平-均活产-子女数,6-12全国按年龄分的15-64岁妇女平均活产子女数和平均存活子女数-单位：人、%-妇女平-均存活-子女数
,,,,,,,,,,
总  计,46789337.0,61997759.0,33580566.0,28417193.0,60474058.0,32645604.0,27828454.0,98.0,1.0,1.0
,,,,,,,,,,
15-19岁,3650914.0,29640.0,15432.0,14208.0,29259.0,15202.0,14057.0,99.0,0.0,0.0
15,741512.0,441.0,232.0,209.0,429.0,221.0,208.0,97.0,0.0,0.0
16,818831.0,1393.0,748.0,645.0,1379.0,739.0,640.0,99.0,0.0,0.0
17,721926.0,3596.0,1852.0,1744.0,3553.0,1827.0,1726.0,99.0,0.0,0.0
18,657339.0,7969.0,4151.0,3818.0,7875.0,4096.0,3779.0,99.0,0.0,0.0
19,711306.0,16241.0,8449.0,7792.0,16023.0,8319.0,7704.0,99.0,0.0,0.0
,,,,,,,,,,
20-24岁,3503735.0,689088.0,362558.0,326530.0,674919.0,353921.0,320998.0,98.0,0.0,0.0
20,729558.0,38088.0,20091.0,17997.0,37328.0,19615.0,17713.0,98.0,0.0,0.0
21,673329.0,68797.0,36189.0,32608.0,67391.0,35325.0,32066.0,98.0,0.0,0.0
22,694586.0,123278.0,64795.0,58483.0,120675.0,63217.0,57458.0,98.0,0.0,0.0
23,689064.0,185221.0,97255.0,87966.0,181418.0,94938.0,86480.0,98.0,0.0,0.0
24,717198.0,273704.0,144228.0,129476.0,268107.0,140826.0,127281.0,98.0,0.0,0.0
,,,,,,,,,,
25-29岁,4282074.0,3502747.0,1850297.0,1652450.0,3430386.0,1807423.0,1622963.0,98.0,1.0,1.0
25,781002.0,393920.0,207227.0,186693.0,385654.0,202322.0,183332.0,98.0,1.0,0.0
26,773785.0,498252.0,262194.0,236058.0,487922.0,256063.0,231859.0,98.0,1.0,1.0
27,855284.0,684711.0,361613.0,323098.0,670427.0,353157.0,317270.0,98.0,1.0,1.0
28,896513.0,854020.0,451728.0,402292.0,836690.0,441515.0,395175.0,98.0,1.0,1.0
29,975490.0,1071844.0,567535.0,504309.0,1049693.0,554366.0,495327.0,98.0,1.0,1.0
,,,,,,,,,,
30-34岁,6044337.0,8335968.0,4438354.0,3897614.0,8162923.0,4336573.0,3826350.0,98.0,1.0,1.0
30,1250809.0,1531150.0,812488.0,718662.0,1499543.0,793788.0,705755.0,98.0,1.0,1.0
31,1235893.0,1631715.0,868117.0,763598.0,1598220.0,848454.0,749766.0,98.0,1.0,1.0
32,1174978.0,1638521.0,872249.0,766272.0,1604515.0,852219.0,752296.0,98.0,1.0,1.0
33,1270558.0,1854940.0,988791.0,866149.0,1816606.0,966372.0,850234.0,98.0,1.0,1.0
34,1112099.0,1679642.0,896709.0,782933.0,1644039.0,875740.0,768299.0,98.0,2.0,1.0
,,,,,,,,,,
