学生,部分选择题得分情况,部分选择题得分情况.1,部分选择题得分情况.2,部分选择题得分情况.3,部分选择题得分情况.4,部分选择题得分情况.5,部分选择题得分情况.6,部分选择题得分情况.7,部分选择题得分情况.8,部分选择题得分情况.9,部分选择题得分情况.10,部分选择题得分情况.11,总分
1,5,5,5,5,0,5,5,5,5,5,5,5,55.0
2,5,5,5,5,5,5,5,5,5,5,5,5,60.0
3,5,5,5,5,5,5,5,5,5,5,5,5,60.0
4,5,5,5,5,5,5,5,5,5,5,5,5,60.0
5,5,5,5,5,5,5,5,5,0,5,5,5,55.0
6,5,5,5,5,5,5,5,5,5,5,5,5,60.0
7,5,5,5,5,0,5,5,5,5,5,5,5,55.0
8,5,5,5,5,0,5,5,5,5,5,5,5,55.0
9,5,5,5,5,5,5,5,5,5,5,5,5,60.0
10,0,5,5,5,5,5,0,5,5,5,5,5,50.0
11,5,5,5,5,5,5,5,5,5,5,5,5,60.0
12,5,5,5,5,5,5,5,5,5,5,5,5,60.0
13,5,5,5,5,0,5,5,5,5,5,5,5,55.0
14,5,5,5,5,5,5,5,5,0,5,5,5,55.0
15,5,5,5,5,5,5,5,5,5,5,5,0,55.0
16,5,5,5,5,5,5,5,5,5,5,5,5,60.0
17,5,5,5,5,5,5,0,5,5,5,5,5,55.0
18,5,5,5,5,0,5,0,5,0,5,5,5,45.0
19,5,5,5,5,0,5,0,5,5,5,5,0,45.0
20,5,5,5,5,5,5,5,5,5,5,5,0,55.0
21,5,5,5,5,5,5,5,5,5,5,5,5,60.0
22,5,5,5,5,0,5,5,5,5,5,5,0,50.0
23,5,5,5,5,5,5,5,5,5,5,5,5,60.0
24,5,5,0,5,5,5,0,5,5,5,5,5,50.0
25,5,5,5,5,5,5,5,5,5,5,5,0,55.0
26,0,5,5,5,0,5,5,5,5,5,5,5,50.0
27,0,5,5,5,0,5,5,5,5,5,5,5,50.0
28,5,5,5,5,5,5,5,5,5,5,5,5,60.0
29,0,5,5,5,5,5,5,5,5,5,5,5,55.0
30,5,5,5,5,5,5,0,5,5,5,5,0,50.0
31,5,5,5,5,5,5,5,5,5,5,5,5,60.0
32,5,5,0,5,5,5,5,5,5,5,5,0,50.0
33,5,5,5,0,5,5,5,5,5,5,5,5,55.0
34,5,5,5,5,0,5,5,5,5,5,5,5,55.0
35,5,5,5,5,5,5,5,5,5,5,5,5,60.0
36,5,5,5,5,5,5,5,5,5,5,5,0,55.0
37,5,5,5,5,5,5,0,5,5,5,5,5,55.0
38,5,5,5,5,5,5,5,5,0,5,5,0,50.0
39,5,5,5,5,5,5,5,5,5,5,5,0,55.0
40,5,5,5,5,5,5,5,5,5,5,5,5,60.0
41,5,5,5,5,5,5,0,5,5,5,5,0,50.0
42,5,5,5,5,0,5,5,5,5,5,5,0,50.0
43,5,5,5,5,5,5,5,5,5,5,5,0,55.0
44,5,5,5,5,0,5,5,5,5,5,5,0,50.0
45,5,5,5,5,5,5,0,5,5,5,5,5,55.0
46,5,5,5,5,0,5,5,5,5,5,5,5,55.0
47,0,5,5,5,5,5,5,0,5,5,5,0,45.0
48,5,5,5,5,5,5,5,5,5,5,5,0,55.0
49,5,5,5,0,5,5,0,5,5,5,5,0,45.0
50,0,5,5,5,5,5,5,5,5,5,5,5,55.0
51,5,5,5,5,0,5,5,5,5,5,5,0,50.0
52,5,5,5,5,5,5,0,5,5,5,0,0,45.0
53,5,5,5,5,5,5,0,5,5,5,0,5,50.0
54,5,0,5,0,0,5,0,5,5,5,0,0,30.0
55,0,5,5,0,0,5,0,5,5,5,5,5,40.0
56,0,5,5,0,0,5,0,5,5,5,5,0,35.0
