编制单位：河南省郑州市二七区宗教事务局-项目-支出功能分类科目编码-支出功能分类科目编码-支出功能分类科目编码,项目-支出功能分类科目编码-支出功能分类科目编码-支出功能分类科目编码,项目-支出功能分类科目编码-支出功能分类科目编码-支出功能分类科目编码.1,项目-科目名称-科目名称-科目名称,本年收入合计-本年收入合计-本年收入合计-本年收入合计,收入决算表-2015年-财政拨款收入-财政拨款收入-财政拨款收入-财政拨款收入,上级补助收入-上级补助收入-上级补助收入-上级补助收入,事业收入-事业收入-事业收入-事业收入,经营收入-经营收入-经营收入-经营收入,附属单位上缴收入-附属单位上缴收入-附属单位上缴收入-附属单位上缴收入,金额单位：元-其他收入-其他收入-其他收入-其他收入
类,款,项,栏次,1,2,3,4,5,6,7
类,款,项,合计,1763932,1763932,0,0,0,0,0
201,201,201,一般公共服务支出,1637860,1637860,0,0,0,0,0
20123,20123,20123,民族事务,380000,380000,0,0,0,0,0
2012304,2012304,2012304,民族工作专项,380000,380000,0,0,0,0,0
20124,20124,20124,宗教事务,1257860,1257860,0,0,0,0,0
2012401,2012401,2012401,行政运行,737692,737692,0,0,0,0,0
2012404,2012404,2012404,宗教工作专项,263579,263579,0,0,0,0,0
2012450,2012450,2012450,事业运行,256589,256589,0,0,0,0,0
208,208,208,社会保障和就业支出,37426,37426,0,0,0,0,0
20805,20805,20805,行政事业单位离退休,37426,37426,0,0,0,0,0
2080501,2080501,2080501,归口管理的行政单位离退休,37426,37426,0,0,0,0,0
210,210,210,医疗卫生与计划生育支出,31771,31771,0,0,0,0,0
21005,21005,21005,医疗保障,31771,31771,0,0,0,0,0
2100501,2100501,2100501,行政单位医疗,21611,21611,0,0,0,0,0
2100502,2100502,2100502,事业单位医疗,10160,10160,0,0,0,0,0
221,221,221,住房保障支出,56875,56875,0,0,0,0,0
22102,22102,22102,住房改革支出,56875,56875,0,0,0,0,0
2210201,2210201,2210201,住房公积金,56875,56875,0,0,0,0,0
注：本表反映部门本年度取得的各项收入情况。,注：本表反映部门本年度取得的各项收入情况。,注：本表反映部门本年度取得的各项收入情况。,注：本表反映部门本年度取得的各项收入情况。,注：本表反映部门本年度取得的各项收入情况。,注：本表反映部门本年度取得的各项收入情况。,注：本表反映部门本年度取得的各项收入情况。,注：本表反映部门本年度取得的各项收入情况。,注：本表反映部门本年度取得的各项收入情况。,注：本表反映部门本年度取得的各项收入情况。,注：本表反映部门本年度取得的各项收入情况。
