1-12各地区家庭户的住房间数和面积-地区-地区-地区,1-12各地区家庭户的住房间数和面积-家庭户-户数-(户),1-12各地区家庭户的住房间数和面积-家庭户-人数-(人),1-12各地区家庭户的住房间数和面积-平均每户住-房建筑面积-(平方米/户),1-12各地区家庭户的住房间数和面积-平均每户-住房间数-(间/户),1-12各地区家庭户的住房间数和面积-人均住房-建筑面积-(平方米/人),1-12各地区家庭户的住房间数和面积-人均-住房间数-(间/人)
,,,,,,
全    国,465241711.0,1238552246.0,111.0,3.0,42.0,1.0
,,,,,,
北    京,7770769.0,18102211.0,81.0,2.0,35.0,1.0
天    津,4587490.0,11069740.0,86.0,2.0,35.0,1.0
河    北,24554501.0,68088601.0,106.0,3.0,38.0,1.0
山    西,12064669.0,30883721.0,93.0,3.0,36.0,1.0
内 蒙 古,8817048.0,21081773.0,84.0,2.0,35.0,1.0
,,,,,,
辽    宁,16571689.0,38339479.0,80.0,2.0,35.0,1.0
吉    林,8724943.0,20787478.0,81.0,2.0,34.0,1.0
黑 龙 江,11685918.0,26455448.0,77.0,2.0,34.0,1.0
,,,,,,
上    海,9095041.0,21402382.0,76.0,2.0,32.0,1.0
江    苏,28069197.0,74167282.0,124.0,3.0,47.0,1.0
浙    江,22921213.0,55252198.0,111.0,3.0,46.0,1.0
安    徽,20750408.0,55125661.0,122.0,3.0,46.0,1.0
福    建,13350262.0,36614006.0,134.0,3.0,49.0,1.0
江    西,13331484.0,39896314.0,164.0,4.0,55.0,1.0
山    东,33915789.0,92192894.0,106.0,3.0,39.0,1.0
,,,,,,
河    南,30557811.0,88228166.0,134.0,4.0,47.0,1.0
湖    北,18760549.0,50668219.0,128.0,3.0,47.0,1.0
湖    南,21561143.0,58609484.0,129.0,4.0,48.0,1.0
广    东,38953156.0,104999009.0,91.0,3.0,34.0,1.0
广    西,15517021.0,45197752.0,137.0,4.0,47.0,1.0
海    南,2747332.0,8571760.0,106.0,3.0,34.0,1.0
,,,,,,
重    庆,11415050.0,28406859.0,104.0,3.0,42.0,1.0
四    川,29098226.0,74210524.0,111.0,3.0,44.0,1.0
贵    州,12004270.0,34394601.0,123.0,4.0,43.0,1.0
云    南,14304259.0,42141148.0,126.0,4.0,43.0,1.0
西    藏,793704.0,2814919.0,159.0,4.0,45.0,1.0
,,,,,,
陕    西,13350429.0,34324885.0,112.0,3.0,43.0,1.0
甘    肃,7936539.0,22421260.0,96.0,4.0,34.0,1.0
青    海,1791200.0,5173085.0,103.0,3.0,36.0,1.0
宁    夏,2361757.0,6371085.0,97.0,3.0,36.0,1.0
新    疆,7878844.0,22560302.0,93.0,3.0,33.0,1.0
,,,,,,
,,,,,,
注：本表数据为居住在普通住宅的家庭户。,,,,,,
