表7-2各地区家庭户类别-地区别,表7-2各地区家庭户类别-家庭户户数,表7-2各地区家庭户类别-一代户,表7-2各地区家庭户类别-二代户,表7-2各地区家庭户类别-三代户,表7-2各地区家庭户类别-单位：户-四代户,表7-2各地区家庭户类别-单位：户-五代及以上户
湖南省,178316,48098,93843,35154,1220,1.0
长沙市,18391,4971,9333,3926,161,
株洲市,10074,2331,5148,2481,114,
湘潭市,9211,2646,4517,1964,84,
衡阳市,18549,4740,9960,3741,108,
邵阳市,18186,5018,9422,3635,111,
岳阳市,14030,3421,7768,2764,77,
常德市,16506,5875,7747,2782,102,
张家界市,4181,1028,2196,925,32,
益阳市,11804,3305,6149,2254,96,
郴州市,14550,3872,8655,1979,44,
永州市,12811,3452,6682,2596,81,
怀化市,13165,3130,7103,2843,89,
娄底市,10290,2786,5661,1785,58,
湘西土家族苗族自治州,6568,1523,3502,1479,63,1.0
