1-8各地区家庭户规模-地区-地区,1-8各地区家庭户规模-单位：户、%-家庭户-户数,1-8各地区家庭户规模-单位：户、%-一人户-户数,1-8各地区家庭户规模-单位：户、%-一人户-比重,1-8各地区家庭户规模-单位：户、%-二人户-户数,1-8各地区家庭户规模-单位：户、%-二人户-比重,1-8各地区家庭户规模-单位：户、%-三人户-户数,1-8各地区家庭户规模-单位：户、%-三人户-比重,1-8各地区家庭户规模-单位：户、%-四人户-户数,1-8各地区家庭户规模-单位：户、%-四人户-比重,1-8各地区家庭户规模-单位：户、%-五人户-户数,1-8各地区家庭户规模-单位：户、%-五人户-比重,1-8各地区家庭户规模-单位：户、%-六人户-户数,1-8各地区家庭户规模-单位：户、%-六人户-比重,1-8各地区家庭户规模-单位：户、%-七人户-户数,1-8各地区家庭户规模-单位：户、%-七人户-比重,1-8各地区家庭户规模-单位：户、%-八人户-户数,1-8各地区家庭户规模-单位：户、%-八人户-比重,1-8各地区家庭户规模-单位：户、%-九人户-户数,1-8各地区家庭户规模-单位：户、%-九人户-比重,1-8各地区家庭户规模-单位：户、%-十人及以上户-户数,1-8各地区家庭户规模-单位：户、%-十人及以上户-比重
,,,,,,,,,,,,,,,,,,,,,
全    国,494157423.0,125490007.0,25.0,146690059.0,30.0,103700982.0,21.0,65100986.0,13.0,30513352.0,6.0,15125667.0,3.0,4589308.0,1.0,1557638.0,0.0,655060.0,0.0,734364.0,0.0
,,,,,,,,,,,,,,,,,,,,,
北    京,8230792.0,2463325.0,30.0,2727924.0,33.0,1787020.0,22.0,736163.0,9.0,362811.0,4.0,122068.0,1.0,20084.0,0.0,6721.0,0.0,2426.0,0.0,2250.0,0.0
天    津,4867116.0,1167393.0,24.0,1727332.0,35.0,1209181.0,25.0,511932.0,11.0,167772.0,3.0,65668.0,1.0,11920.0,0.0,3353.0,0.0,1165.0,0.0,1400.0,0.0
河    北,25429609.0,5082767.0,20.0,7970304.0,31.0,5515397.0,22.0,3942333.0,16.0,1612428.0,6.0,921110.0,4.0,262348.0,1.0,71919.0,0.0,25660.0,0.0,25343.0,0.0
山    西,12746142.0,3057920.0,24.0,4052452.0,32.0,2966829.0,23.0,1766944.0,14.0,562979.0,4.0,253691.0,2.0,54906.0,0.0,16458.0,0.0,6177.0,0.0,7786.0,0.0
内 蒙 古,9483957.0,2209731.0,23.0,3565544.0,38.0,2389562.0,25.0,950775.0,10.0,257424.0,3.0,91271.0,1.0,14473.0,0.0,3070.0,0.0,955.0,0.0,1152.0,0.0
,,,,,,,,,,,,,,,,,,,,,
辽    宁,17467111.0,4647274.0,27.0,6444633.0,37.0,4180433.0,24.0,1438393.0,8.0,535394.0,3.0,175193.0,1.0,32067.0,0.0,7723.0,0.0,2508.0,0.0,3493.0,0.0
吉    林,9426822.0,2313775.0,25.0,3496744.0,37.0,2292234.0,24.0,866072.0,9.0,329271.0,3.0,103878.0,1.0,18584.0,0.0,4171.0,0.0,1137.0,0.0,956.0,0.0
黑 龙 江,13024687.0,3806499.0,29.0,4721066.0,36.0,2969241.0,23.0,1054009.0,8.0,349169.0,3.0,92959.0,1.0,19285.0,0.0,6154.0,0.0,2084.0,0.0,4221.0,0.0
,,,,,,,,,,,,,,,,,,,,,
上    海,9644628.0,2736214.0,28.0,3332304.0,35.0,2159011.0,22.0,815316.0,8.0,449473.0,5.0,121950.0,1.0,21041.0,0.0,5870.0,0.0,1858.0,0.0,1591.0,0.0
江    苏,29910849.0,6975663.0,23.0,9635959.0,32.0,6499826.0,22.0,3718062.0,12.0,1957228.0,7.0,837511.0,3.0,191310.0,1.0,54635.0,0.0,19086.0,0.0,21569.0,0.0
浙    江,25008606.0,7713848.0,31.0,8098038.0,32.0,4783169.0,19.0,2484481.0,10.0,1203164.0,5.0,563053.0,2.0,110538.0,0.0,30637.0,0.0,11563.0,0.0,10115.0,0.0
安    徽,21910377.0,5183087.0,24.0,6790657.0,31.0,4768002.0,22.0,2972819.0,14.0,1290366.0,6.0,643354.0,3.0,172899.0,1.0,52268.0,0.0,20103.0,0.0,16822.0,0.0
福    建,14371078.0,3925247.0,27.0,3776762.0,26.0,2794833.0,19.0,2047208.0,14.0,997876.0,7.0,568885.0,4.0,162312.0,1.0,52431.0,0.0,24113.0,0.0,21411.0,0.0
江    西,14072847.0,3071115.0,22.0,3564176.0,25.0,2841228.0,20.0,2277494.0,16.0,1199459.0,9.0,692355.0,5.0,259897.0,2.0,87974.0,1.0,37171.0,0.0,41978.0,0.0
山    东,35184241.0,7056119.0,20.0,11230306.0,32.0,7673801.0,22.0,5790216.0,16.0,2035963.0,6.0,1057955.0,3.0,229065.0,1.0,61259.0,0.0,22119.0,0.0,27438.0,0.0
,,,,,,,,,,,,,,,,,,,,,
河    南,31782693.0,6985186.0,22.0,8496727.0,27.0,6502612.0,20.0,5109476.0,16.0,2550635.0,8.0,1424419.0,4.0,476958.0,2.0,134122.0,0.0,48036.0,0.0,54522.0,0.0
湖    北,19931045.0,4706405.0,24.0,5840677.0,29.0,4589950.0,23.0,2625213.0,13.0,1323054.0,7.0,602406.0,3.0,154397.0,1.0,50151.0,0.0,20675.0,0.0,18117.0,0.0
湖    南,22878336.0,5796689.0,25.0,6332392.0,28.0,4767652.0,21.0,3308914.0,14.0,1570332.0,7.0,744743.0,3.0,224425.0,1.0,72339.0,0.0,28622.0,0.0,32228.0,0.0
广    东,42469178.0,14109849.0,33.0,10298011.0,24.0,6999483.0,16.0,5189548.0,12.0,2872342.0,7.0,1632082.0,4.0,699877.0,2.0,313946.0,1.0,158737.0,0.0,195303.0,0.0
广    西,16215014.0,4075139.0,25.0,3845306.0,24.0,3263580.0,20.0,2462519.0,15.0,1341827.0,8.0,702577.0,4.0,289204.0,2.0,117128.0,1.0,54923.0,0.0,62811.0,0.0
海    南,2961646.0,663799.0,22.0,648854.0,22.0,589414.0,20.0,521817.0,18.0,260663.0,9.0,144126.0,5.0,67554.0,2.0,30363.0,1.0,15807.0,1.0,19249.0,1.0
,,,,,,,,,,,,,,,,,,,,,
重    庆,12040234.0,3526142.0,29.0,3644792.0,30.0,2437753.0,20.0,1370388.0,11.0,670554.0,6.0,293837.0,2.0,64913.0,1.0,18295.0,0.0,6151.0,0.0,7409.0,0.0
四    川,30756120.0,8836045.0,29.0,9159406.0,30.0,6087228.0,20.0,3570933.0,12.0,1877152.0,6.0,859836.0,3.0,233376.0,1.0,74507.0,0.0,27556.0,0.0,30081.0,0.0
贵    州,12696585.0,3032510.0,24.0,3313502.0,26.0,2580003.0,20.0,1942394.0,15.0,998508.0,8.0,507951.0,4.0,192247.0,2.0,71429.0,1.0,29649.0,0.0,28392.0,0.0
云    南,15146831.0,3456738.0,23.0,3743328.0,25.0,3161675.0,21.0,2366552.0,16.0,1310492.0,9.0,740959.0,5.0,237507.0,2.0,78082.0,1.0,28876.0,0.0,22622.0,0.0
西    藏,1014090.0,336840.0,33.0,180079.0,18.0,139821.0,14.0,120796.0,12.0,77418.0,8.0,53322.0,5.0,36433.0,4.0,24565.0,2.0,16241.0,2.0,28575.0,3.0
,,,,,,,,,,,,,,,,,,,,,
陕    西,14211344.0,3863271.0,27.0,4126025.0,29.0,3047409.0,21.0,1892842.0,13.0,799508.0,6.0,359857.0,3.0,77879.0,1.0,21851.0,0.0,8248.0,0.0,14454.0,0.0
甘    肃,8422836.0,1909342.0,23.0,2390297.0,28.0,1808686.0,21.0,1194718.0,14.0,593173.0,7.0,342791.0,4.0,115902.0,1.0,38647.0,0.0,14782.0,0.0,14498.0,0.0
青    海,1965893.0,498970.0,25.0,492672.0,25.0,410938.0,21.0,275803.0,14.0,149242.0,8.0,84795.0,4.0,31175.0,2.0,11818.0,1.0,5205.0,0.0,5275.0,0.0
宁    夏,2535074.0,537492.0,21.0,791806.0,31.0,593704.0,23.0,384377.0,15.0,139732.0,6.0,59356.0,2.0,19521.0,1.0,6011.0,0.0,1818.0,0.0,1257.0,0.0
新    疆,8351642.0,1745613.0,21.0,2251984.0,27.0,1891307.0,23.0,1392479.0,17.0,667943.0,8.0,261709.0,3.0,87211.0,1.0,29741.0,0.0,11609.0,0.0,12046.0,0.0
