5-1全国不同规模的家庭户类别-家庭户规模,5-1全国不同规模的家庭户类别-家庭户,5-1全国不同规模的家庭户类别-一代户,5-1全国不同规模的家庭户类别-二代户,5-1全国不同规模的家庭户类别-三代户,5-1全国不同规模的家庭户类别-四代户,5-1全国不同规模的家庭户类别-单位：户-五代及
家庭户规模,户  数,一代户,二代户,三代户,四代户,以上户
,,,,,,
总  计,494157423,244615023,181471659,65528182,2540015,2544
一人户,125490007,125490007,0,0,0,0
二人户,146690059,110685779,36004280,0,0,0
三人户,103700982,5134646,93163291,5403045,0,0
四人户,65100986,1834602,42919633,20215417,131334,0
五人户,30513352,701437,7315318,21906684,589759,154
六人户,15125667,293766,1453830,12552955,824670,446
七人户,4589308,139356,386946,3439349,622936,721
八人户,1557638,89363,130530,1102904,234231,610
九人户,655060,53700,48137,476038,76840,345
十人及以上户,734364,192367,49694,431790,60245,268
