表7-1各地区的家庭户规模-地区别,表7-1各地区的家庭户规模-合计,表7-1各地区的家庭户规模-一人户,表7-1各地区的家庭户规模-二人户,表7-1各地区的家庭户规模-三人户,表7-1各地区的家庭户规模-四人户,表7-1各地区的家庭户规模-五人户,表7-1各地区的家庭户规模-六人户,表7-1各地区的家庭户规模-七人户,表7-1各地区的家庭户规模-八人户,表7-1各地区的家庭户规模-单位：户-九人户,表7-1各地区的家庭户规模-单位：户-十人及以上户
湖南省,197575,21880,47373,55519,41788,20805,7107,1908,728,271,196
长沙市,19181,2176,4144,6028,3669,2124,737,177,80,34,12
株洲市,10993,999,2354,3381,2362,1310,424,111,35,12,5
湘潭市,9911,1061,2485,2962,1818,1099,358,74,41,10,3
衡阳市,20616,2076,4837,5133,4956,2376,858,241,78,31,30
邵阳市,21048,2601,5135,5170,4610,2170,887,287,100,54,34
岳阳市,14910,1182,3328,4392,3485,1803,512,110,67,19,12
常德市,18844,2697,6004,6062,2455,1254,277,60,22,8,5
张家界市,4727,434,1168,1373,1056,487,164,33,9,1,2
益阳市,13034,1428,3286,3789,2727,1237,403,85,36,14,29
郴州市,15554,1788,3351,4264,3752,1677,492,155,46,15,14
永州市,14680,1900,3441,3607,3247,1588,579,197,72,27,22
怀化市,14476,1374,3266,4199,3334,1537,560,130,52,18,6
娄底市,11640,1330,2832,3154,2554,1173,403,117,50,17,10
湘西土家族苗族自治州,7961,834,1742,2005,1763,970,453,131,40,11,12
