4-3全国分年龄、性别、受教育程度的就业人口-年龄组-性别,4-3全国分年龄、性别、受教育程度的就业人口-合计-合计,4-3全国分年龄、性别、受教育程度的就业人口-未上过学-未上过学,4-3全国分年龄、性别、受教育程度的就业人口-学前教育-学前教育,4-3全国分年龄、性别、受教育程度的就业人口-小学-小学,4-3全国分年龄、性别、受教育程度的就业人口-初中-初中,4-3全国分年龄、性别、受教育程度的就业人口-高中-高中,4-3全国分年龄、性别、受教育程度的就业人口-大学专科-大学专科,4-3全国分年龄、性别、受教育程度的就业人口-大学本科-大学本科,4-3全国分年龄、性别、受教育程度的就业人口-硕士-研究生,4-3全国分年龄、性别、受教育程度的就业人口-单位：人-博士-研究生
,,,,,,,,,,
总  计,65631786.0,857606.0,37756.0,10694879.0,27988466.0,11069968.0,7625702.0,6538253.0,728485.0,90671.0
16-19岁,770958.0,1191.0,460.0,27740.0,396001.0,262535.0,68986.0,13945.0,86.0,14.0
20-24岁,3861073.0,4671.0,821.0,96060.0,1256869.0,936113.0,990363.0,560759.0,14901.0,516.0
25-29岁,6981094.0,9235.0,1019.0,198343.0,2268886.0,1477554.0,1489970.0,1380121.0,149129.0,6837.0
30-34岁,10009284.0,19206.0,1461.0,431109.0,3900037.0,2062200.0,1743249.0,1621296.0,209739.0,20987.0
35-39岁,8097572.0,27654.0,1244.0,522120.0,3579500.0,1496492.0,1116135.0,1170790.0,161969.0,21668.0
40-44岁,7565087.0,45657.0,1618.0,874104.0,3634758.0,1374567.0,815752.0,712979.0,88754.0,16898.0
45-49岁,8940917.0,85736.0,3019.0,1629052.0,4560693.0,1366360.0,696137.0,536634.0,52260.0,11026.0
50-54岁,8132752.0,119467.0,4725.0,2160174.0,4083758.0,950759.0,427124.0,348941.0,31005.0,6799.0
55-59岁,5495186.0,111819.0,4557.0,1618097.0,2562341.0,762434.0,236530.0,175594.0,18752.0,5062.0
60-64岁,2483449.0,120663.0,4989.0,1133692.0,934636.0,252728.0,24242.0,10503.0,1313.0,683.0
65-69岁,1995170.0,151768.0,6462.0,1161443.0,565239.0,94662.0,10943.0,4121.0,399.0,133.0
70-74岁,861236.0,90162.0,4095.0,562323.0,176919.0,22530.0,3789.0,1291.0,104.0,23.0
75岁及以上,438008.0,70377.0,3286.0,280622.0,68829.0,11034.0,2482.0,1279.0,74.0,25.0
,,,,,,,,,,
男,38880798.0,267808.0,15434.0,5659907.0,17529029.0,7144810.0,4338607.0,3490431.0,377595.0,57177.0
16-19岁,482044.0,623.0,236.0,16803.0,259787.0,162196.0,35659.0,6683.0,45.0,12.0
20-24岁,2220127.0,2285.0,428.0,57977.0,816122.0,585953.0,499329.0,252094.0,5665.0,274.0
25-29岁,4037493.0,4349.0,540.0,117697.0,1439437.0,933095.0,810100.0,665393.0,63269.0,3613.0
30-34岁,5787715.0,8467.0,757.0,240003.0,2352849.0,1267310.0,972207.0,835279.0,98426.0,12417.0
35-39岁,4650831.0,10926.0,634.0,270088.0,2112565.0,902061.0,625818.0,630781.0,84811.0,13147.0
40-44岁,4294238.0,15742.0,700.0,427652.0,2115964.0,822580.0,457357.0,391651.0,52074.0,10518.0
45-49岁,5114136.0,26429.0,1231.0,785914.0,2692768.0,842314.0,407775.0,316362.0,34101.0,7242.0
50-54岁,5042613.0,35349.0,1860.0,1103485.0,2656211.0,696750.0,291973.0,229950.0,22028.0,5007.0
55-59岁,3645765.0,29550.0,1703.0,837667.0,1779501.0,623247.0,205506.0,148755.0,15638.0,4198.0
60-64岁,1566873.0,34408.0,1808.0,617785.0,681085.0,202499.0,19255.0,8349.0,1084.0,600.0
65-69岁,1231032.0,44679.0,2399.0,663432.0,429385.0,78978.0,8593.0,3146.0,314.0,106.0
70-74岁,537995.0,29903.0,1689.0,344555.0,138839.0,18825.0,3081.0,1001.0,80.0,22.0
75岁及以上,269936.0,25098.0,1449.0,176849.0,54516.0,9002.0,1954.0,987.0,60.0,21.0
,,,,,,,,,,
女,26750988.0,589798.0,22322.0,5034972.0,10459437.0,3925158.0,3287095.0,3047822.0,350890.0,33494.0
16-19岁,288914.0,568.0,224.0,10937.0,136214.0,100339.0,33327.0,7262.0,41.0,2.0
20-24岁,1640946.0,2386.0,393.0,38083.0,440747.0,350160.0,491034.0,308665.0,9236.0,242.0
25-29岁,2943601.0,4886.0,479.0,80646.0,829449.0,544459.0,679870.0,714728.0,85860.0,3224.0
30-34岁,4221569.0,10739.0,704.0,191106.0,1547188.0,794890.0,771042.0,786017.0,111313.0,8570.0
35-39岁,3446741.0,16728.0,610.0,252032.0,1466935.0,594431.0,490317.0,540009.0,77158.0,8521.0
40-44岁,3270849.0,29915.0,918.0,446452.0,1518794.0,551987.0,358395.0,321328.0,36680.0,6380.0
45-49岁,3826781.0,59307.0,1788.0,843138.0,1867925.0,524046.0,288362.0,220272.0,18159.0,3784.0
50-54岁,3090139.0,84118.0,2865.0,1056689.0,1427547.0,254009.0,135151.0,118991.0,8977.0,1792.0
55-59岁,1849421.0,82269.0,2854.0,780430.0,782840.0,139187.0,31024.0,26839.0,3114.0,864.0
60-64岁,916576.0,86255.0,3181.0,515907.0,253551.0,50229.0,4987.0,2154.0,229.0,83.0
65-69岁,764138.0,107089.0,4063.0,498011.0,135854.0,15684.0,2350.0,975.0,85.0,27.0
70-74岁,323241.0,60259.0,2406.0,217768.0,38080.0,3705.0,708.0,290.0,24.0,1.0
75岁及以上,168072.0,45279.0,1837.0,103773.0,14313.0,2032.0,528.0,292.0,14.0,4.0
