山东省各市地区生产总值,山东省各市地区生产总值.1,山东省各市地区生产总值.2,山东省各市地区生产总值.3,山东省各市地区生产总值.4,山东省各市地区生产总值.5,山东省各市地区生产总值.6,山东省各市地区生产总值.7,山东省各市地区生产总值.8,山东省各市地区生产总值.9,山东省各市地区生产总值.10,山东省各市地区生产总值.11,山东省各市地区生产总值.12,山东省各市地区生产总值.13,山东省各市地区生产总值.14,山东省各市地区生产总值.15,山东省各市地区生产总值.16,山东省各市地区生产总值.17,山东省各市地区生产总值.18,山东省各市地区生产总值.19,山东省各市地区生产总值.20,山东省各市地区生产总值.21,山东省各市地区生产总值.22,山东省各市地区生产总值.23,山东省各市地区生产总值.24,山东省各市地区生产总值.25
Gross Domestic Product by Region,Gross Domestic Product by Region,Gross Domestic Product by Region,Gross Domestic Product by Region,Gross Domestic Product by Region,Gross Domestic Product by Region,Gross Domestic Product by Region,Gross Domestic Product by Region,Gross Domestic Product by Region,Gross Domestic Product by Region,Gross Domestic Product by Region,Gross Domestic Product by Region,Gross Domestic Product by Region,Gross Domestic Product by Region,Gross Domestic Product by Region,Gross Domestic Product by Region,Gross Domestic Product by Region,Gross Domestic Product by Region,Gross Domestic Product by Region,Gross Domestic Product by Region,Gross Domestic Product by Region,Gross Domestic Product by Region,Gross Domestic Product by Region,Gross Domestic Product by Region,Gross Domestic Product by Region,Gross Domestic Product by Region
,,,,,,,,,,,,,,,,,,,,,,,,,
单位:亿元,,,,,,,,,,,,,,,,,,,,,,,,,(100 million yuan)
地   区,Region,"地区生产总值
Gross Domestic Product","地区生产总值
Gross Domestic Product","地区生产总值
Gross Domestic Product","地区生产总值
Gross Domestic Product","第一产业增加值
Value-added of Primary Industry","第一产业增加值
Value-added of Primary Industry","第一产业增加值
Value-added of Primary Industry","第一产业增加值
Value-added of Primary Industry","第二产业增加值
Value-added of Primary Industry","第二产业增加值
Value-added of Primary Industry","第二产业增加值
Value-added of Primary Industry","第二产业增加值
Value-added of Primary Industry","第三产业增加值
Value-added of Primary Industry","第三产业增加值
Value-added of Primary Industry","第三产业增加值
Value-added of Primary Industry","第三产业增加值
Value-added of Primary Industry","工业增加值
Value-added of Industry","工业增加值
Value-added of Industry","工业增加值
Value-added of Industry","工业增加值
Value-added of Industry","人均地区生产总值(元)
Per Capita GDP (yuan)","人均地区生产总值(元)
Per Capita GDP (yuan)","人均地区生产总值(元)
Per Capita GDP (yuan)","人均地区生产总值(元)
Per Capita GDP (yuan)"
地   区,Region,"地区生产总值
Gross Domestic Product","地区生产总值
Gross Domestic Product","地区生产总值
Gross Domestic Product","地区生产总值
Gross Domestic Product","第一产业增加值
Value-added of Primary Industry","第一产业增加值
Value-added of Primary Industry","第一产业增加值
Value-added of Primary Industry","第一产业增加值
Value-added of Primary Industry","第二产业增加值
Value-added of Primary Industry","第二产业增加值
Value-added of Primary Industry","第二产业增加值
Value-added of Primary Industry","第二产业增加值
Value-added of Primary Industry","第三产业增加值
Value-added of Primary Industry","第三产业增加值
Value-added of Primary Industry","第三产业增加值
Value-added of Primary Industry","第三产业增加值
Value-added of Primary Industry","工业增加值
Value-added of Industry","工业增加值
Value-added of Industry","工业增加值
Value-added of Industry","工业增加值
Value-added of Industry","人均地区生产总值(元)
Per Capita GDP (yuan)","人均地区生产总值(元)
Per Capita GDP (yuan)","人均地区生产总值(元)
Per Capita GDP (yuan)","人均地区生产总值(元)
Per Capita GDP (yuan)"
地   区,Region,2022,"2022年为
2021年%
2021=100",2023,"2023年为
2022年%
2022=100",2022,"2022年为
2021年%
2021=100",2023,"2023年为
2022年%
2022=100",2022,"2022年为
2021年%
2021=100",2023,"2023年为
2022年%
2022=100",2022,"2022年为
2021年%
2021=100",2023,"2023年为
2022年%
2022=100",2022,"2022年为
2021年%
2021=100",2023,"2023年为
2022年%
2022=100",2022,"2022年为
2021年%
2021=100",2023,"2023年为
2022年%
2022=100"
地   区,Region,2022 ,"2022年为
2021年%
2021=100",2023 ,"2023年为
2022年%
2022=100",2022 ,"2022年为
2021年%
2021=100",2023 ,"2023年为
2022年%
2022=100",2022 ,"2022年为
2021年%
2021=100",2023 ,"2023年为
2022年%
2022=100",2022 ,"2022年为
2021年%
2021=100",2023 ,"2023年为
2022年%
2022=100",2022 ,"2022年为
2021年%
2021=100",2023 ,"2023年为
2022年%
2022=100",2022 ,"2022年为
2021年%
2021=100",2023 ,"2023年为
2022年%
2022=100"
地   区,Region,2022 ,"2022年为
2021年%
2021=100",2023 ,"2023年为
2022年%
2022=100",2022 ,"2022年为
2021年%
2021=100",2023 ,"2023年为
2022年%
2022=100",2022 ,"2022年为
2021年%
2021=100",2023 ,"2023年为
2022年%
2022=100",2022 ,"2022年为
2021年%
2021=100",2023 ,"2023年为
2022年%
2022=100",2022 ,"2022年为
2021年%
2021=100",2023 ,"2023年为
2022年%
2022=100",2022 ,"2022年为
2021年%
2021=100",2023 ,"2023年为
2022年%
2022=100"
,,,,,,,,,,,,,,,,,,,,,,,,,
全    省,Total,87577,104,92069,106,6297,104,6506,105,34562,104,35988,107,46718,104,49575,106,28297,104,29191,106,86143,104,90771,106
济 南 市,Jinan,12021,103,12757,106,421,103,430,104,4095,102,4312,108,7505,104,8016,105,2777,101,2886,108,128216,102,135347,106
青 岛 市,Qingdao,14968,104,15760,106,478,102,493,104,5120,102,5268,106,9370,105,9999,106,3880,102,3937,105,145332,103,152174,105
淄 博 市,Zibo,4387,105,4562,106,189,105,194,105,2152,104,2221,106,2047,105,2147,105,1816,103,1855,106,93205,105,97267,106
枣 庄 市,Zaozhuang,2037,105,2157,106,194,104,201,104,786,102,823,108,1057,106,1133,106,629,102,653,108,53026,105,56463,107
东 营 市,Dongying,3682,104,3899,107,192,106,195,104,2113,106,2223,107,1378,102,1481,107,2051,106,2128,107,167212,104,176628,107
烟 台 市,Yantai,9509,105,10162,107,662,105,696,105,4057,109,4278,108,4790,103,5188,106,3501,110,3682,108,134485,105,144241,107
潍 坊 市,Weifang,7300,104,7606,105,647,103,674,105,3020,104,3088,104,3633,104,3844,106,2536,105,2588,105,77586,104,80970,105
济 宁 市,Jining,5306,104,5516,107,611,105,628,105,2008,104,2074,107,2687,104,2815,106,1741,106,1782,107,63823,105,66741,107
泰 安 市,Tai'an,3196,104,3324,106,351,105,362,105,1269,106,1350,108,1576,103,1612,105,842,107,876,108,58983,105,61841,107
威 海 市,Weihai,3407,102,3514,106,355,103,369,105,1285,99,1332,106,1767,103,1813,105,1108,99,1139,106,116816,101,120504,106
日 照 市,Rizhao,2301,104,2391,106,208,104,218,105,907,101,934,106,1186,106,1238,105,727,101,744,107,77465,104,80820,106
临 沂 市,Linyi,5776,104,6105,106,511,105,530,105,2246,104,2374,108,3019,104,3201,105,1869,103,1964,108,52477,104,55661,107
德 州 市,Dezhou,3631,104,3805,106,370,102,378,104,1474,104,1527,106,1788,106,1900,106,1313,104,1352,106,64991,105,68494,107
聊 城 市,Liaocheng,2805,104,2926,106,400,106,414,105,1040,105,1084,107,1365,103,1429,106,897,106,929,106,47420,105,49760,107
滨 州 市,Binzhou,3005,104,3119,105,297,105,303,105,1288,105,1300,102,1420,103,1515,108,1167,105,1170,101,76574,104,79738,105
菏 泽 市,Heze,4245,104,4464,107,413,105,422,104,1702,104,1800,107,2130,105,2243,107,1443,104,1516,107,48753,105,51557,107
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"注:本表绝对额按当年价格计算,指数按可比价格计算。",,,,,,,,,,,,,,,,,,,,,,,,,
a)Absolute figure in this table are calculated at current prices while indices at constant prices.,,,,,,,,,,,,,,,,,,,,,,,,,
