山东省各市三次产业对经济增长的贡献率及拉动百分点(2023年)-ShareandContributionoftheThreeIndustriestotheIncreaseofGDPbyRegion(2023)-单位:%-地区-地区-地区-地区,山东省各市三次产业对经济增长的贡献率及拉动百分点(2023年)-ShareandContributionoftheThreeIndustriestotheIncreaseofGDPbyRegion(2023)-Region-Region-Region-Region,山东省各市三次产业对经济增长的贡献率及拉动百分点(2023年)-ShareandContributionoftheThreeIndustriestotheIncreaseofGDPbyRegion(2023)-贡献率Share-贡献率Share-第一产业PrimaryIndustry-第一产业PrimaryIndustry,山东省各市三次产业对经济增长的贡献率及拉动百分点(2023年)-ShareandContributionoftheThreeIndustriestotheIncreaseofGDPbyRegion(2023)-贡献率Share-贡献率Share-第二产业SecondaryIndustry-第二产业SecondaryIndustry,山东省各市三次产业对经济增长的贡献率及拉动百分点(2023年)-ShareandContributionoftheThreeIndustriestotheIncreaseofGDPbyRegion(2023)-贡献率Share-贡献率Share-第三产业TertiaryIndustry-第三产业TertiaryIndustry,山东省各市三次产业对经济增长的贡献率及拉动百分点(2023年)-ShareandContributionoftheThreeIndustriestotheIncreaseofGDPbyRegion(2023)-地区生产总值增长率IncreaseRateofGrossDomesticProduct-地区生产总值增长率IncreaseRateofGrossDomesticProduct-地区生产总值增长率IncreaseRateofGrossDomesticProduct-地区生产总值增长率IncreaseRateofGrossDomesticProduct,山东省各市三次产业对经济增长的贡献率及拉动百分点(2023年)-ShareandContributionoftheThreeIndustriestotheIncreaseofGDPbyRegion(2023)-拉动百分点(个)Contribution(unit)-拉动百分点(个)Contribution(unit)-第一产业PrimaryIndustry-第一产业PrimaryIndustry,山东省各市三次产业对经济增长的贡献率及拉动百分点(2023年)-ShareandContributionoftheThreeIndustriestotheIncreaseofGDPbyRegion(2023)-拉动百分点(个)Contribution(unit)-拉动百分点(个)Contribution(unit)-第二产业SecondaryIndustry-第二产业SecondaryIndustry,山东省各市三次产业对经济增长的贡献率及拉动百分点(2023年)-ShareandContributionoftheThreeIndustriestotheIncreaseofGDPbyRegion(2023)-(%)-拉动百分点(个)Contribution(unit)-拉动百分点(个)Contribution(unit)-第三产业TertiaryIndustry-第三产业TertiaryIndustry
地   区,Region,"第一产业

Primary 
Industry","第二产业

Secondary
Industry","第三产业

Tertiary
Industry","地    区
生产总值
增 长 率
Increase Rate
of  Gross 
Domestic
Product","第一产业

Primary
Industry","第二产业

Secondary
Industry","第三产业

Tertiary
Industry"
地   区,Region,"第一产业

Primary 
Industry","第二产业

Secondary
Industry","第三产业

Tertiary
Industry","地    区
生产总值
增 长 率
Increase Rate
of  Gross 
Domestic
Product","第一产业

Primary
Industry","第二产业

Secondary
Industry","第三产业

Tertiary
Industry"
,,,,,,,,
全    省,Total,6,42,53,6,0,3,3
济 南 市,Jinan,2,43,55,6,0,3,3
青 岛 市,Qingdao,2,32,66,6,0,2,4
淄 博 市,Zibo,4,55,42,6,0,3,2
枣 庄 市,Zaozhuang,6,44,50,6,0,3,3
东 营 市,Dongying,3,59,38,7,0,4,3
烟 台 市,Yantai,5,47,47,7,0,3,3
潍 坊 市,Weifang,8,36,56,5,0,2,3
济 宁 市,Jining,8,43,49,7,1,3,3
泰 安 市,Tai'an,8,50,42,6,1,3,3
威 海 市,Weihai,8,42,50,6,1,2,3
日 照 市,Rizhao,8,44,48,6,0,2,3
临 沂 市,Linyi,7,47,46,6,0,3,3
德 州 市,Dezhou,7,41,52,6,0,2,3
聊 城 市,Liaocheng,11,38,51,6,1,2,3
滨 州 市,Binzhou,9,15,76,5,0,1,4
菏 泽 市,Heze,6,42,52,7,0,3,4
,,,,,,,,
,,,,,,,,
注:本表按可比价计算。,,,,,,,,
a)Data in this table are calculated at constant prices.,,,,,,,,
