山东省各市人口数(2023年)-PopulationbyRegion(2023)-地区-地区-地区-地区-地区,山东省各市人口数(2023年)-PopulationbyRegion(2023)-Region-Region-Region-Region-Region,山东省各市人口数(2023年)-PopulationbyRegion(2023)-年末总人口(万人)Totalyear-endPopulation(10000persons)-年末总人口(万人)Totalyear-endPopulation(10000persons)-年末总人口(万人)Totalyear-endPopulation(10000persons)-年末总人口(万人)Totalyear-endPopulation(10000persons)-年末总人口(万人)Totalyear-endPopulation(10000persons),山东省各市人口数(2023年)-PopulationbyRegion(2023)-按性别分(万人)GroupedbySexual(10000persons)-按性别分(万人)GroupedbySexual(10000persons)-按性别分(万人)GroupedbySexual(10000persons)-按性别分(万人)GroupedbySexual(10000persons)-男Male,山东省各市人口数(2023年)-PopulationbyRegion(2023)-按性别分(万人)GroupedbySexual(10000persons)-按性别分(万人)GroupedbySexual(10000persons)-按性别分(万人)GroupedbySexual(10000persons)-按性别分(万人)GroupedbySexual(10000persons)-女Female,山东省各市人口数(2023年)-PopulationbyRegion(2023)-按农村、城镇分(万人)GroupedbyRuralandUrban(10000persons)-按农村、城镇分(万人)GroupedbyRuralandUrban(10000persons)-按农村、城镇分(万人)GroupedbyRuralandUrban(10000persons)-按农村、城镇分(万人)GroupedbyRuralandUrban(10000persons)-农村人口RuralPopulation,山东省各市人口数(2023年)-PopulationbyRegion(2023)-按农村、城镇分(万人)GroupedbyRuralandUrban(10000persons)-按农村、城镇分(万人)GroupedbyRuralandUrban(10000persons)-按农村、城镇分(万人)GroupedbyRuralandUrban(10000persons)-按农村、城镇分(万人)GroupedbyRuralandUrban(10000persons)-城镇人口UrbanPopulation,山东省各市人口数(2023年)-PopulationbyRegion(2023)-平均家庭户规模(人/户)AverageFamilySize(person/household)-平均家庭户规模(人/户)AverageFamilySize(person/household)-平均家庭户规模(人/户)AverageFamilySize(person/household)-平均家庭户规模(人/户)AverageFamilySize(person/household)-平均家庭户规模(人/户)AverageFamilySize(person/household)
地  区,Region,"年末总人口
(万人)
Total year-end 
Population
(10 000 persons)","男
Male","女
Female","农村人口
Rural Population","城镇人口
Urban Population","平均家庭户
规     模
(人/户)
Average Family 
Size(person/
household)"
地  区,Region,"年末总人口
(万人)
Total year-end 
Population
(10 000 persons)","男
Male","女
Female","农村人口
Rural Population","城镇人口
Urban Population","平均家庭户
规     模
(人/户)
Average Family 
Size(person/
household)"
,,,,,,,
全省总计,Total,10122.97(10147.04),(5141.61),(5005.43),3489,6634,3
济 南 市,Jinan,943.67(825.30),(407.23),(418.07),233,710,3
青 岛 市,Qingdao,1037.15(854.78),(419.65),(435.12),225,812,2
淄 博 市,Zibo,467.40(430.83),(213.52),(217),114,354,3
枣 庄 市,Zaozhuang,380.98(422.40),(220.89),(201.51),146,235,3
东 营 市,Dongying,220.60(197.98),(98.16),(99.82),61,160,3
烟 台 市,Yantai,703.22(640.44),(316.84),(324),216,487,2
潍 坊 市,Weifang,936.95(915.33),(459.49),(455.83),317,620,3
济 宁 市,Jining,824.05(888.41),(458.12),(430.29),304,520,3
泰 安 市,Tai'an,534.87(562.96),(284.13),(278.83),179,355,3
威 海 市,Weihai,291.36(254.38),(125.26),(129.12),80,212,2
日 照 市,Rizhao,294.82(308.36),(156.69),(151.66),107,187,3
临 沂 市,Linyi,1094.38(1198.83),(619.78),(579.05),458,636,3
德 州 市,Dezhou,553.63(591.08),(299.89),(291.19),242,312,3
聊 城 市,Liaocheng,585.93(642.18),(330.26),(311.93),259,327,3
滨 州 市,Binzhou,390.41(394.02),(198.78),(195.24),149,242,3
菏 泽 市,Heze,863.55(1019.77),(533),(486.87),399,465,3
,,,,,,,
,,,,,,,
"注：年末总人口根据人口抽样调查数据推算,括号内为公安户籍统计数字。",,,,,,,
a)  Data on total year-end population are estimated on the basis of the annual national sample survey of population.Data in the brackets are taken,,,,,,,
from the annual reports of public security departments.,,,,,,,
