山东省各市保险业务情况(2023年)-BasicStatisticsonInsurancebyRegion(2023),山东省各市保险业务情况(2023年)-BasicStatisticsonInsurancebyRegion(2023).1,山东省各市保险业务情况(2023年)-BasicStatisticsonInsurancebyRegion(2023).2,山东省各市保险业务情况(2023年)-BasicStatisticsonInsurancebyRegion(2023).3,山东省各市保险业务情况(2023年)-BasicStatisticsonInsurancebyRegion(2023).4,山东省各市保险业务情况(2023年)-BasicStatisticsonInsurancebyRegion(2023).5,山东省各市保险业务情况(2023年)-BasicStatisticsonInsurancebyRegion(2023).6,山东省各市保险业务情况(2023年)-BasicStatisticsonInsurancebyRegion(2023).7
,,,,,,,
单位:亿元,,,,,,,(100 million yuan)
地  区,Region,"保费收入

Premium",,,"赔款与给付

Claim and
Payment",,
地  区,Region,"保费收入

Premium","财产险公司
Property
 Insurance Company","人身险公司
Life
Insurance Company","赔款与给付

Claim and
Payment","财产险公司
Property 
Insurance Company","人身险公司
Life
Insurance Company"
地  区,Region,"保费收入

Premium","财产险公司
Property
 Insurance Company","人身险公司
Life
Insurance Company","赔款与给付

Claim and
Payment","财产险公司
Property 
Insurance Company","人身险公司
Life
Insurance Company"
地  区,Region,"保费收入

Premium","财产险公司
Property
 Insurance Company","人身险公司
Life
Insurance Company","赔款与给付

Claim and
Payment","财产险公司
Property 
Insurance Company","人身险公司
Life
Insurance Company"
地  区,Region,"保费收入

Premium","财产险公司
Property
 Insurance Company","人身险公司
Life
Insurance Company","赔款与给付

Claim and
Payment","财产险公司
Property 
Insurance Company","人身险公司
Life
Insurance Company"
,,,,,,,
全省总计,Total,3641,1070,2572,1311,739,572
济 南 市,Jinan,695,154,541,216,96,120
青 岛 市,Qingdao,541,159,382,200,119,81
淄 博 市,Zibo,207,47,159,67,30,37
枣 庄 市,Zaozhuang,93,34,60,40,26,13
东 营 市,Dongying,106,34,72,36,20,16
烟 台 市,Yantai,295,69,226,102,48,54
潍 坊 市,Weifang,295,90,204,109,63,46
济 宁 市,Jining,233,81,152,88,55,33
泰 安 市,Tai'an,141,35,106,50,25,25
威 海 市,Weihai,120,31,89,44,23,20
日 照 市,Rizhao,78,30,49,34,20,14
临 沂 市,Linyi,297,105,192,114,75,38
德 州 市,Dezhou,137,47,90,49,30,20
聊 城 市,Liaocheng,127,50,77,50,35,15
滨 州 市,Binzhou,120,43,77,46,30,16
菏 泽 市,Heze,155,59,95,64,41,23
