山东省按地区分法人单位数-NumberofCorporateUnitsbyRegion-单位:个-地区,山东省按地区分法人单位数-NumberofCorporateUnitsbyRegion-Region,山东省按地区分法人单位数-NumberofCorporateUnitsbyRegion-2015,山东省按地区分法人单位数-NumberofCorporateUnitsbyRegion-2016,山东省按地区分法人单位数-NumberofCorporateUnitsbyRegion-2017,山东省按地区分法人单位数-NumberofCorporateUnitsbyRegion-2018,山东省按地区分法人单位数-NumberofCorporateUnitsbyRegion-2019,山东省按地区分法人单位数-NumberofCorporateUnitsbyRegion-2020,山东省按地区分法人单位数-NumberofCorporateUnitsbyRegion-2021,山东省按地区分法人单位数-NumberofCorporateUnitsbyRegion-(unit)-2022
,,,,,,,,,
全省总计,Total,1269917.0,1652065.0,2014790.0,1801301.0,2309350.0,2842426.0,3261425.0,3546905.0
济 南 市,Jinan,119575.0,144859.0,162066.0,200414.0,285944.0,363089.0,421843.0,459615.0
青 岛 市,Qingdao,230230.0,302471.0,345793.0,359226.0,427061.0,504379.0,553871.0,589565.0
淄 博 市,Zibo,68198.0,89514.0,115280.0,97597.0,114573.0,134612.0,150309.0,161377.0
枣 庄 市,Zaozhuang,37887.0,47322.0,60639.0,38717.0,62031.0,79353.0,91359.0,102009.0
东 营 市,Dongying,28465.0,39590.0,49073.0,39374.0,51023.0,63279.0,75052.0,85250.0
烟 台 市,Yantai,118699.0,151831.0,168440.0,182515.0,200567.0,231694.0,257964.0,278651.0
潍 坊 市,Weifang,115593.0,154860.0,194938.0,174232.0,229327.0,276417.0,304145.0,326280.0
济 宁 市,Jining,101533.0,123715.0,153557.0,130348.0,177396.0,214475.0,248556.0,268358.0
泰 安 市,Tai'an,56600.0,69235.0,79894.0,65349.0,72766.0,92032.0,115482.0,128856.0
威 海 市,Weihai,51595.0,69610.0,86039.0,64510.0,78757.0,92520.0,106762.0,115539.0
日 照 市,Rizhao,29516.0,37205.0,48228.0,52880.0,69645.0,86002.0,95960.0,107728.0
莱 芜 市,Laiwu,17200.0,22005.0,28270.0,29883.0,,,,
临 沂 市,Linyi,92164.0,121410.0,167916.0,109478.0,178389.0,241088.0,294325.0,329282.0
德 州 市,Dezhou,51189.0,64949.0,83694.0,70831.0,91383.0,111800.0,120371.0,131061.0
聊 城 市,Liaocheng,46442.0,59745.0,80289.0,60844.0,90489.0,123109.0,152017.0,162040.0
滨 州 市,Binzhou,44869.0,61010.0,76260.0,58839.0,85354.0,110797.0,128797.0,141328.0
菏 泽 市,Heze,60162.0,92734.0,114414.0,66264.0,94645.0,117780.0,144612.0,159966.0
,,,,,,,,,
,,,,,,,,,
注：根据行政区划调整，2019年起，莱芜市并入济南市，以下表同。,,,,,,,,,
"a)According to administrative division adjustment,Laiwu City merged into Jinan City from 2019.The same applies to tables following.",,,,,,,,,
