山东省1984-2023年海关进出口情况-BasicStatisticsonImportsandExportsfrom1984to2023-年份Year-年份Year-年份Year,山东省1984-2023年海关进出口情况-BasicStatisticsonImportsandExportsfrom1984to2023-进出口总值(万美元)TotalValueofImportsandExports(10000USD)-进出口总值(万美元)TotalValueofImportsandExports(10000USD)-进出口总值(万美元)TotalValueofImportsandExports(10000USD),山东省1984-2023年海关进出口情况-BasicStatisticsonImportsandExportsfrom1984to2023-出口总值TotalValueofExports-出口总值TotalValueofExports,山东省1984-2023年海关进出口情况-BasicStatisticsonImportsandExportsfrom1984to2023-一般贸易GeneralTrade,山东省1984-2023年海关进出口情况-BasicStatisticsonImportsandExportsfrom1984to2023-来料加工装配贸易ProcessingandAssemblingTradewithSentMaterials,山东省1984-2023年海关进出口情况-BasicStatisticsonImportsandExportsfrom1984to2023-进料加工贸易ProcessingTradewithImportedMaterials,山东省1984-2023年海关进出口情况-BasicStatisticsonImportsandExportsfrom1984to2023-其他贸易OtherTrades,山东省1984-2023年海关进出口情况-BasicStatisticsonImportsandExportsfrom1984to2023-进口总值TotalValueofImports-进口总值TotalValueofImports,山东省1984-2023年海关进出口情况-BasicStatisticsonImportsandExportsfrom1984to2023-进出口总值(万元)TotalValueofImportsandExports(10000yuan)-进出口总值(万元)TotalValueofImportsandExports(10000yuan)-进出口总值(万元)TotalValueofImportsandExports(10000yuan),山东省1984-2023年海关进出口情况-BasicStatisticsonImportsandExportsfrom1984to2023-出口总值TotalValueofExports-出口总值TotalValueofExports.1,山东省1984-2023年海关进出口情况-BasicStatisticsonImportsandExportsfrom1984to2023-进口总值TotalValueofImports-进口总值TotalValueofImports.1
"年   份




Year","进出口总值
(万美元)

Total Value 
of Imports 
and Exports
(10 000 USD)","出口总值



Total Value 
of Exports","一般贸易



General
 Trade","来料加工
装配贸易
Processing and
Assembling 
Trade with
Sent Materials","进料加工
贸    易
Processing 
Trade  with 
Imported
Materials","其他贸易



Other 
Trades","进口总值



Total Value
 of Imports","进出口总值
(万元)

Total Value 
of Imports 
and Exports
(10 000yuan )","出口总值



Total Value 
of Exports","进口总值



Total Value
 of Imports"
"年   份




Year","进出口总值
(万美元)

Total Value 
of Imports 
and Exports
(10 000 USD)","出口总值



Total Value 
of Exports","一般贸易



General
 Trade","来料加工
装配贸易
Processing and
Assembling 
Trade with
Sent Materials","进料加工
贸    易
Processing 
Trade  with 
Imported
Materials","其他贸易



Other 
Trades","进口总值



Total Value
 of Imports","进出口总值
(万元)

Total Value 
of Imports 
and Exports
(10 000yuan )","出口总值



Total Value 
of Exports","进口总值



Total Value
 of Imports"
"年   份




Year","进出口总值
(万美元)

Total Value 
of Imports 
and Exports
(10 000 USD)","出口总值



Total Value 
of Exports","一般贸易



General
 Trade","来料加工
装配贸易
Processing and
Assembling 
Trade with
Sent Materials","进料加工
贸    易
Processing 
Trade  with 
Imported
Materials","其他贸易



Other 
Trades","进口总值



Total Value
 of Imports","进出口总值
(万元)

Total Value 
of Imports 
and Exports
(10 000yuan )","出口总值



Total Value 
of Exports","进口总值



Total Value
 of Imports"
"年   份




Year","进出口总值
(万美元)

Total Value 
of Imports 
and Exports
(10 000 USD)","出口总值



Total Value 
of Exports","一般贸易



General
 Trade","来料加工
装配贸易
Processing and
Assembling 
Trade with
Sent Materials","进料加工
贸    易
Processing 
Trade  with 
Imported
Materials","其他贸易



Other 
Trades","进口总值



Total Value
 of Imports","进出口总值
(万元)

Total Value 
of Imports 
and Exports
(10 000yuan )","出口总值



Total Value 
of Exports","进口总值



Total Value
 of Imports"
"年   份




Year","进出口总值
(万美元)

Total Value 
of Imports 
and Exports
(10 000 USD)","出口总值



Total Value 
of Exports","一般贸易



General
 Trade","来料加工
装配贸易
Processing and
Assembling 
Trade with
Sent Materials","进料加工
贸    易
Processing 
Trade  with 
Imported
Materials","其他贸易



Other 
Trades","进口总值



Total Value
 of Imports","进出口总值
(万元)

Total Value 
of Imports 
and Exports
(10 000yuan )","出口总值



Total Value 
of Exports","进口总值



Total Value
 of Imports"
,,,,,,,,,,
1984,352012,207786,,,,,144226,,,
1985,414448,234652,,,,,179796,,,
1986,382840,191926,,,,,190914,,,
1987,355294,289938,264633,2566,19232,3507,65356,,,
1988,573361,309773,261451,3796,40458,4068,263588,,,
