山东省主要年份年末社会保险参保人数-NumberofPersonsParticipatedinSocialInsuranceinMajorYears-单位:万人-年份Year-年份Year,山东省主要年份年末社会保险参保人数-NumberofPersonsParticipatedinSocialInsuranceinMajorYears-职工基本养老保险UrbanBasicPensionInsurance-职工基本养老保险UrbanBasicPensionInsurance,山东省主要年份年末社会保险参保人数-NumberofPersonsParticipatedinSocialInsuranceinMajorYears-企业基本养老保险Enterprise'sPensionInsurance,山东省主要年份年末社会保险参保人数-NumberofPersonsParticipatedinSocialInsuranceinMajorYears-机关事业养老保险InstitutionandGovernmentAgency'sPensionInsurance,山东省主要年份年末社会保险参保人数-NumberofPersonsParticipatedinSocialInsuranceinMajorYears-医疗保险MedicalCareInsurance-医疗保险MedicalCareInsurance,山东省主要年份年末社会保险参保人数-NumberofPersonsParticipatedinSocialInsuranceinMajorYears-失业保险UnemploymentInsurance-失业保险UnemploymentInsurance,山东省主要年份年末社会保险参保人数-NumberofPersonsParticipatedinSocialInsuranceinMajorYears-工伤保险WorkInjuryInsurance-工伤保险WorkInjuryInsurance,山东省主要年份年末社会保险参保人数-NumberofPersonsParticipatedinSocialInsuranceinMajorYears-(10000persons)-生育保险MaternityInsurance-生育保险MaternityInsurance
"年  份


Year","职工基本
养老保险

Urban Basic
Pension Insurance","企业基本
养老保险

Enterprise's
Pension Insurance","机关事业
养老保险
Institution and Government
Agency's Pension 
Insurance","医  疗
保  险
Medical
Care
Insurance","失  业
保  险

Unemployment
Insurance","工  伤
保  险

Work Injury
Insurance","生  育
保  险

Maternity
Insurance"
"年  份


Year","职工基本
养老保险

Urban Basic
Pension Insurance","企业基本
养老保险

Enterprise's
Pension Insurance","机关事业
养老保险
Institution and Government
Agency's Pension 
Insurance","医  疗
保  险
Medical
Care
Insurance","失  业
保  险

Unemployment
Insurance","工  伤
保  险

Work Injury
Insurance","生  育
保  险

Maternity
Insurance"
"年  份


Year","职工基本
养老保险

Urban Basic
Pension Insurance","企业基本
养老保险

Enterprise's
Pension Insurance","机关事业
养老保险
Institution and Government
Agency's Pension 
Insurance","医  疗
保  险
Medical
Care
Insurance","失  业
保  险

Unemployment
Insurance","工  伤
保  险

Work Injury
Insurance","生  育
保  险

Maternity
Insurance"
"年  份


Year","职工基本
养老保险

Urban Basic
Pension Insurance","企业基本
养老保险

Enterprise's
Pension Insurance","机关事业
养老保险
Institution and Government
Agency's Pension 
Insurance","医  疗
保  险
Medical
Care
Insurance","失  业
保  险

Unemployment
Insurance","工  伤
保  险

Work Injury
Insurance","生  育
保  险

Maternity
Insurance"
"年  份


Year","职工基本
养老保险

Urban Basic
Pension Insurance","企业基本
养老保险

Enterprise's
Pension Insurance","机关事业
养老保险
Institution and Government
Agency's Pension 
Insurance","医  疗
保  险
Medical
Care
Insurance","失  业
保  险

Unemployment
Insurance","工  伤
保  险

Work Injury
Insurance","生  育
保  险

Maternity
Insurance"
,,,,,,,
2000,972,758,215,256,715,279,326
2005,1303,1027,275,862,771,579,461
2006,1368,1086,282,996,790,647,489
2007,1456,1165,292,1116,815,745,563
2008,1566,1266,300,1266,864,865,638
2009,1661,1352,309,2540,900,1065,703
2010,1773,1460,314,2771,931,1211,774
2011,1907,1589,318,2948,965,1276,858
2012,2063,1740,323,3101,1010,1340,919
2013,2260,1932,328,3648,1090,1372,974
2014,2370,2038,333,3988,1154,1422,1047
2015,2478,2139,339,9236,1204,1474,1111
2016,2576,2224,352,9189,1223,1511,1139
2017,2661,2303,358,9296,1268,1569,1187
2018,2763,2400,363,9437,1319,1633,1235
2019,2868,2494,374,9570,1366,1711,1299
2020,3046,2655,391,9698,1466,1822,1534
2021,3227,2823,404,9732,1543,1922,1608
2022,3334,2921,412,9633,1594,2021,1647
2023,3424,3002,422,9655,1616,2046,1697
,,,,,,,
,,,,,,,
注：城镇职工社会基本养老保险参保人数包含离退休人数；2009年起，医疗保险参保人数包含城镇居民医疗保险。2015年起，,,,,,,,
医疗保险参保人数中含新农合并入人员。,,,,,,,
"a) Number of persons participated in urban basic pension insurance include retirees.Since 2009,number of persons participated in",,,,,,,
"medical care insurance include urban residents participated in medical care insurance. Since 2015,number or persons participated",,,,,,,
in medical care insurance included the new rural co-operative medical system incorporated into the personnel.,,,,,,,
