山东省平均每天社会经济活动-SelectedIndicatorsonAverageDailySocialandEconomicActivities-指标名称,山东省平均每天社会经济活动-SelectedIndicatorsonAverageDailySocialandEconomicActivities-Item,山东省平均每天社会经济活动-SelectedIndicatorsonAverageDailySocialandEconomicActivities-2018,山东省平均每天社会经济活动-SelectedIndicatorsonAverageDailySocialandEconomicActivities-2019,山东省平均每天社会经济活动-SelectedIndicatorsonAverageDailySocialandEconomicActivities-2020,山东省平均每天社会经济活动-SelectedIndicatorsonAverageDailySocialandEconomicActivities-2021,山东省平均每天社会经济活动-SelectedIndicatorsonAverageDailySocialandEconomicActivities-2022,山东省平均每天社会经济活动-SelectedIndicatorsonAverageDailySocialandEconomicActivities-2023
,,,,,,,
一、全省每天创造的财富,Daily Production,,,,,,
地区生产总值     (万元),Gross Domestic Product                  (10 000 yuan),1825996.0,1932616.0,1994470.0,2270553.0,2399368.0,2522430.0
农林牧渔业总产值 (万元),"Gross Output Value of Farming,      (10 000 yuan)",257463.0,264977.0,279194.0,314192.0,332348.0,343340.0
,"Forestry, Animal Husbandry and Fishery",,,,,,
建筑业总产值     (万元),Gross Output Value of Construction  (10 000 yuan),353378.0,390939.0,409515.0,449645.0,481086.0,514572.0
一般公共预算收入 (万元),General Public Budget Revenue           (10 000 yuan),177682.0,178814.0,179724.0,199574.0,194633.0,204514.0
原  盐             (吨),Salt                                                                       (ton),30652.0,29364.0,24611.0,20351.0,20827.0,28234.0
布               (万米),Cloth                                                           (10 000 m),1841.0,1216.0,1126.0,1148.0,1126.0,1328.0
发电量       (万千瓦时),Electricity                                            (10 000 kW·h),161155.0,161568.0,159080.0,170146.0,169961.0,177637.0
原  油           (万吨),Crude Oil                                               (10 000 tons),6.0,6.0,6.0,6.0,6.0,6.0
粗  钢             (吨),Steel                                                                     (ton),196636.0,174164.0,219000.0,209570.0,208227.0,204271.0
汽  车             (辆),Motor Vehicles                                                  (unit),3734.0,3113.0,3173.0,2940.0,3277.0,5330.0
二、全省每天消费量,Daily Consumption,,,,,,
社会消费品零售额 (万元),Total Retail Sails of Consumer         (10 000 yuan),752884.0,801402.0,801316.0,923686.0,910580.0,990187.0
,Goods,,,,,,
三、其他经济活动,Other Daily Economic Activities,,,,,,
铁路、公路和水路,Passenger Traffic                           (10 000 persons),183.0,184.0,82.0,78.0,45.0,91.0
客运人数         (万人),,,,,,,
铁路、公路和水路,Freight Traffic                                       (10 000 tons),957.0,835.0,846.0,913.0,884.0,921.0
货运量           (万吨),,,,,,,
住宅竣工面积   (平方米),Floor Space of Residential Buildings          (sq.m),220742.0,211908.0,196508.0,235526.0,134516.0,181311.0
,Completed,,,,,,
四、全省人口变动和婚姻,Daily Population Changes and Marriages,,,,,,
出生人口           (人),Birth                                                                (person),3644.0,3233.0,2384.0,2056.0,1869.0,1670.0
死亡人口           (人),Death                                                              (person),1973.0,2055.0,2027.0,2050.0,2128.0,2276.0
结婚对数           (对),Marriages                                                     (couples),1641.0,1460.0,1335.0,1267.0,1152.0,1319.0
离婚对数           (对),Divorces                                                       (couples),752.0,780.0,711.0,513.0,507.0,602.0
,,,,,,,
,,,,,,,
注:1.2020年起，铁路客货运量、周转量为济南局、北京局、郑州局在山东省内数据，口径为国家铁路。,,,,,,,
2.平均每天出生人口和死亡人口数按常住人口计算。,,,,,,,
"a) The railway passenger and freight volume and turnover refer to the data of Jinan Bureau, Beijing Bureau and Zhengzhou Bureau in Shandong",,,,,,,
"Province,the caliber is national railway.",,,,,,,
b) Data on average daily births and deaths refers to permanent resident population.,,,,,,,
