山东省1950-2006年地方财政支出-TotalLocalGovernmentBudgetaryExpenditurefrom1950to2006-单位:万元-年份Year-年份Year-年份Year-年份Year-年份Year-年份Year,山东省1950-2006年地方财政支出-TotalLocalGovernmentBudgetaryExpenditurefrom1950to2006-地方财政支出ExpenditureofLocalGovernment-地方财政支出ExpenditureofLocalGovernment-地方财政支出ExpenditureofLocalGovernment-地方财政支出ExpenditureofLocalGovernment-地方财政支出ExpenditureofLocalGovernment-地方财政支出ExpenditureofLocalGovernment,山东省1950-2006年地方财政支出-TotalLocalGovernmentBudgetaryExpenditurefrom1950to2006-#基本建设ExpenditureforCapitalConstruction-#基本建设ExpenditureforCapitalConstruction-#基本建设ExpenditureforCapitalConstruction-#基本建设ExpenditureforCapitalConstruction-#基本建设ExpenditureforCapitalConstruction,山东省1950-2006年地方财政支出-TotalLocalGovernmentBudgetaryExpenditurefrom1950to2006-#城市维护费ExpenditureonCityMaintenance-#城市维护费ExpenditureonCityMaintenance-#城市维护费ExpenditureonCityMaintenance-#城市维护费ExpenditureonCityMaintenance-#城市维护费ExpenditureonCityMaintenance,山东省1950-2006年地方财政支出-TotalLocalGovernmentBudgetaryExpenditurefrom1950to2006-#支援农业支出ExpenditureforAgriculture-#支援农业支出ExpenditureforAgriculture-#支援农业支出ExpenditureforAgriculture-#支援农业支出ExpenditureforAgriculture-#支援农业支出ExpenditureforAgriculture,"山东省1950-2006年地方财政支出-TotalLocalGovernmentBudgetaryExpenditurefrom1950to2006-#文教科学卫生事业费ExpenditureforCulture,Education,ScienceandHealth-#文教科学卫生事业费ExpenditureforCulture,Education,ScienceandHealth-#文教科学卫生事业费ExpenditureforCulture,Education,ScienceandHealth-#文教科学卫生事业费ExpenditureforCulture,Education,ScienceandHealth-#文教科学卫生事业费ExpenditureforCulture,Education,ScienceandHealth",山东省1950-2006年地方财政支出-TotalLocalGovernmentBudgetaryExpenditurefrom1950to2006-(10000yuan)-#行政管理费ExpenditureforGovernmentAdministration-#行政管理费ExpenditureforGovernmentAdministration-#行政管理费ExpenditureforGovernmentAdministration-#行政管理费ExpenditureforGovernmentAdministration-#行政管理费ExpenditureforGovernmentAdministration
"年  份

Year","地方财政
支    出



Expenditure
of Local
Government","#基本建设



Expenditure
for Capital
Construction","#城  市
 维护费


Expenditure
on City
Maintenance","#支援农业
 支    出


Expenditure
for
Agriculture","#文教科学
 卫生事业费
Expenditure
for Culture,
Education,
Science and Health","#行  政
 管理费
Expenditure
for
Government
Administration"
"年  份

Year","地方财政
支    出



Expenditure
of Local
Government","#基本建设



Expenditure
for Capital
Construction","#城  市
 维护费


Expenditure
on City
Maintenance","#支援农业
 支    出


Expenditure
for
Agriculture","#文教科学
 卫生事业费
Expenditure
for Culture,
Education,
Science and Health","#行  政
 管理费
Expenditure
for
Government
Administration"
,,,,,,
1950,10281,556,79,266,,4704
1951,15965,3221,490,364,,7357
1952,31886,8860,245,735,,8332
1953,32272,5719,263,433,,9548
1954,33657,6505,245,1447,,9381
1955,31143,4023,209,1954,,9868
1956,47155,13244,107,3484,,12695
1957,49164,10522,201,4770,,11790
1958,120740,75087,67,4468,,12461
1959,158857,78459,22,16116,,14162
1960,239314,98855,82,23717,,14571
1961,135988,19073,69,27392,,13612
1962,63594,6560,334,9526,,11753
1963,79714,10271,1018,12029,,13054
1964,89615,17557,1535,12620,,13212
1965,95407,18711,1807,10048,,13144
1966,104100,24115,1690,10425,,13691
1967,102007,33442,1669,9728,,12064
1968,88752,31016,1719,7476,,12264
1969,113952,49590,1756,7683,,12669
1970,142528,70447,1805,8389,,14245
1971,159105,67943,1743,11247,,17779
1972,188907,82551,1621,15603,,19336
1973,194872,66635,2419,21980,,18541
1974,191061,56996,2005,24284,,18435
1975,212560,52389,2194,26906,,21241
1976,214205,48383,2579,29119,,22899
1977,226136,48648,2610,32399,,24449
1978,319044,83503,3750,40221,,26553
1979,316239,69982,9535,41812,77298,31908
1980,300736,46680,9484,38422,90951,39017
1981,255341,32150,13144,28754,94093,39200
1982,294482,32395,17044,37525,110039,45512
1983,324119,39875,18184,38058,122536,52391
1984,389763,51801,22063,39512,144038,69508
1985,512953,55562,39340,42453,174126,70091
1986,679384,63375,47595,49892,208135,79655
1987,752168,48880,48156,57550,219751,83423
1988,940725,59630,63024,78301,278458,114421
1989,1136714,55472,75062,102293,324427,98493
1990,1238530,78060,76532,111848,354574,107220
1991,1320610,73926,80209,116383,390775,121071
1992,1456988,85542,89276,141474,457972,158948
1993,1883646,115922,104912,163489,536522,208572
1994,2187683,100904,121656,176277,721820,269520
1995,2758656,179597,163339,224793,832336,315337
1996,3589836,248334,226014,276556,1032168,402325
1997,4233342,239629,281070,367611,1182892,456970
1998,4878175,318452,367382,377198,1325393,501269
1999,5500034,325120,351390,402651,1453237,544497
2000,6130774,295068,388802,411914,1677928,622058
2001,7537781,409608,485770,478933,1936046,743144
2002,8606484,440415,547982,557939,2290732,900217
2003,10106395,636760,685165,618116,2553316,1123337
2004,11893716,600330,885953,731073,3091148,1312928
2005,14662271,704835,1179667,895847,3751654,1629489
2006,18334400,821963,1470287,1083756,4542846,1929519
