山东省各市离休、退休人员数(2023年底)-NumbersofRetiredandResignedPersonsatYear-endbyRegion(2023)-单位:人-地区,山东省各市离休、退休人员数(2023年底)-NumbersofRetiredandResignedPersonsatYear-endbyRegion(2023)-Region,山东省各市离休、退休人员数(2023年底)-NumbersofRetiredandResignedPersonsatYear-endbyRegion(2023)-离休、退休退职人员RetiredandResignedPersons,山东省各市离休、退休人员数(2023年底)-NumbersofRetiredandResignedPersonsatYear-endbyRegion(2023)-离休人员RetiredVeterans,山东省各市离休、退休人员数(2023年底)-NumbersofRetiredandResignedPersonsatYear-endbyRegion(2023)-(person)-退休人员RetiredPersons
地  区,Region,"离休、退休
退职人员
Retired and 
Resigned Persons","离休人员

Retired 
Veterans","退休人员

Retired 
Persons"
地  区,Region,"离休、退休
退职人员
Retired and 
Resigned Persons","离休人员

Retired 
Veterans","退休人员

Retired 
Persons"
,,,,
全省总计,Total,8643587,6483,8637104
济 南 市,Jinan,825730,849,824881
青 岛 市,Qingdao,1258849,691,1258158
淄 博 市,Zibo,546483,369,546114
枣 庄 市,Zaozhuang,230476,129,230347
东 营 市,Dongying,85340,43,85297
烟 台 市,Yantai,869171,610,868561
潍 坊 市,Weifang,692870,423,692447
济 宁 市,Jining,460903,277,460626
泰 安 市,Tai'an,391487,196,391291
威 海 市,Weihai,518908,163,518745
日 照 市,Rizhao,260934,73,260861
临 沂 市,Linyi,482500,279,482221
德 州 市,Dezhou,286617,161,286456
聊 城 市,Liaocheng,286051,131,285920
滨 州 市,Binzhou,248493,127,248366
菏 泽 市,Heze,325182,165,325017
,,,,
,,,,
注：各市数据不包括省直管企业参保离退休人数，退休人员含退职人员。,,,,
"a) Municipal data exclude the number of retired and resigned persons in provincial enterprises,
     Data of Retired Persons includes resigned persons.","a) Municipal data exclude the number of retired and resigned persons in provincial enterprises,
     Data of Retired Persons includes resigned persons.","a) Municipal data exclude the number of retired and resigned persons in provincial enterprises,
     Data of Retired Persons includes resigned persons.","a) Municipal data exclude the number of retired and resigned persons in provincial enterprises,
     Data of Retired Persons includes resigned persons.","a) Municipal data exclude the number of retired and resigned persons in provincial enterprises,
     Data of Retired Persons includes resigned persons."
