山东省各市金融机构本外币存贷款余额(2023年)-RMBandForeignCurrenciesDepositsandLoansofFinancialInstitutionsbyRegion(2023)-单位:亿元-地区-地区-地区-地区-地区,山东省各市金融机构本外币存贷款余额(2023年)-RMBandForeignCurrenciesDepositsandLoansofFinancialInstitutionsbyRegion(2023)-Region-Region-Region-Region-Region,山东省各市金融机构本外币存贷款余额(2023年)-RMBandForeignCurrenciesDepositsandLoansofFinancialInstitutionsbyRegion(2023)-各项存款TotalDeposits-各项存款TotalDeposits-各项存款TotalDeposits-余额Year-end-余额Year-end,山东省各市金融机构本外币存贷款余额(2023年)-RMBandForeignCurrenciesDepositsandLoansofFinancialInstitutionsbyRegion(2023)-各项存款TotalDeposits-各项存款TotalDeposits-各项存款TotalDeposits-比年初增减Increase/DecreasefromYearBeginning-比年初增减Increase/DecreasefromYearBeginning,山东省各市金融机构本外币存贷款余额(2023年)-RMBandForeignCurrenciesDepositsandLoansofFinancialInstitutionsbyRegion(2023)-#住户存款HouseholdDeposits-#住户存款HouseholdDeposits-#住户存款HouseholdDeposits-余额Year-end-余额Year-end,山东省各市金融机构本外币存贷款余额(2023年)-RMBandForeignCurrenciesDepositsandLoansofFinancialInstitutionsbyRegion(2023)-#住户存款HouseholdDeposits-#住户存款HouseholdDeposits-#住户存款HouseholdDeposits-比年初增减Increase/DecreasefromYearBeginning-比年初增减Increase/DecreasefromYearBeginning,山东省各市金融机构本外币存贷款余额(2023年)-RMBandForeignCurrenciesDepositsandLoansofFinancialInstitutionsbyRegion(2023)-各项贷款TotalLoans-各项贷款TotalLoans-各项贷款TotalLoans-余额Year-end-余额Year-end,山东省各市金融机构本外币存贷款余额(2023年)-RMBandForeignCurrenciesDepositsandLoansofFinancialInstitutionsbyRegion(2023)-(100millionyuan)-各项贷款TotalLoans-各项贷款TotalLoans-各项贷款TotalLoans-比年初增减Increase/DecreasefromYearBeginning-比年初增减Increase/DecreasefromYearBeginning
地  区,Region,"
余  额

Year-end
","比年初增减
Increase/
Decrease
from Year
Beginning","余  额

Year-end","比年初增减
Increase/
Decrease
from Year
Beginning","余  额

Year-end","比年初增减
Increase/
Decrease
from Year
Beginning"
地  区,Region,"
余  额

Year-end
","比年初增减
Increase/
Decrease
from Year
Beginning","余  额

Year-end","比年初增减
Increase/
Decrease
from Year
Beginning","余  额

Year-end","比年初增减
Increase/
Decrease
from Year
Beginning"
地  区,Region,"
余  额

Year-end
","比年初增减
Increase/
Decrease
from Year
Beginning","余  额

Year-end","比年初增减
Increase/
Decrease
from Year
Beginning","余  额

Year-end","比年初增减
Increase/
Decrease
from Year
Beginning"
地  区,Region,"
余  额

Year-end
","比年初增减
Increase/
Decrease
from Year
Beginning","余  额

Year-end","比年初增减
Increase/
Decrease
from Year
Beginning","余  额

Year-end","比年初增减
Increase/
Decrease
from Year
Beginning"
,,,,,,,
全省总计,Total,159927,13805,97230,12199,138667,14465
济 南 市,Jinan,27953,2012,11871,1580,28757,2644
青 岛 市,Qingdao,27114,2076,12894,1813,30147,3157
淄 博 市,Zibo,7542,674,5334,633,5271,554
枣 庄 市,Zaozhuang,3315,385,2445,318,2691,377
东 营 市,Dongying,6018,665,3339,439,4176,453
烟 台 市,Yantai,13345,1000,8585,1048,9121,1023
潍 坊 市,Weifang,13553,1201,9078,1091,10936,929
济 宁 市,Jining,8750,680,6391,793,7319,909
泰 安 市,Tai'an,6274,676,4596,560,4520,550
威 海 市,Weihai,6595,709,4370,557,5346,691
日 照 市,Rizhao,4114,394,2643,319,4156,370
临 沂 市,Linyi,10850,1053,7724,932,10028,1014
德 州 市,Dezhou,6057,647,4609,563,3780,476
聊 城 市,Liaocheng,6186,640,4541,526,3787,305
滨 州 市,Binzhou,4756,398,3020,368,3892,417
菏 泽 市,Heze,7109,695,5790,659,4553,610
