山西各地区原保险保费收入情况表-45689-地区,山西各地区原保险保费收入情况表-45689-合计,山西各地区原保险保费收入情况表-45689-财产保险,山西各地区原保险保费收入情况表-45689-寿险,山西各地区原保险保费收入情况表-45689-单位：万元-意外险,山西各地区原保险保费收入情况表-45689-单位：万元-健康险
山西合计,3224951,428250,2265365,38282,493054
太原市,956027,119036,659820,14947,162223
大同市,224764,33025,148283,1917,41538
阳泉市,96897,13285,77734,794,5084
长治市,259217,36332,184450,2611,35824
晋城市,201985,25681,152109,2151,22044
朔州市,85636,16632,54848,1810,12346
晋中市,278778,33788,213481,2418,29091
运城市,398149,55319,261210,4153,77467
忻州市,164544,22484,107602,1717,32741
临汾市,310067,40255,236683,2995,30134
吕梁市,248874,32399,169144,2769,44562
山西省本级,14,14,0,0,0
,,,,,
注：1.本表数据是保险业执行《关于印发<保险合同相关会计处理规定〉的通知》（财会[2009]15号）后，各保险公司按照相关口径要求报送的数据。,注：1.本表数据是保险业执行《关于印发<保险合同相关会计处理规定〉的通知》（财会[2009]15号）后，各保险公司按照相关口径要求报送的数据。,注：1.本表数据是保险业执行《关于印发<保险合同相关会计处理规定〉的通知》（财会[2009]15号）后，各保险公司按照相关口径要求报送的数据。,注：1.本表数据是保险业执行《关于印发<保险合同相关会计处理规定〉的通知》（财会[2009]15号）后，各保险公司按照相关口径要求报送的数据。,注：1.本表数据是保险业执行《关于印发<保险合同相关会计处理规定〉的通知》（财会[2009]15号）后，各保险公司按照相关口径要求报送的数据。,注：1.本表数据是保险业执行《关于印发<保险合同相关会计处理规定〉的通知》（财会[2009]15号）后，各保险公司按照相关口径要求报送的数据。
2.上述数据来源于各公司报送的保险数据，未经审计。,,,,,
3.由于计算的四舍五入及单位换算原因，各地区之和与合计略有差异。,    3.由于计算的四舍五入及单位换算原因，各地区之和与合计略有差异。,    3.由于计算的四舍五入及单位换算原因，各地区之和与合计略有差异。,    3.由于计算的四舍五入及单位换算原因，各地区之和与合计略有差异。,    3.由于计算的四舍五入及单位换算原因，各地区之和与合计略有差异。,    3.由于计算的四舍五入及单位换算原因，各地区之和与合计略有差异。
