表4-8规模以上工业企业主要经济效益指标(2020年)-MAININDICATORSOFECONOMICBENEFITOFINDUSTRIALENTERPRISESABOVEDESIGNATEDSIZE(2020)-单位：%-项目Item-项目Item,表4-8规模以上工业企业主要经济效益指标(2020年)-MAININDICATORSOFECONOMICBENEFITOFINDUSTRIALENTERPRISESABOVEDESIGNATEDSIZE(2020)-项目Item-项目Item,表4-8规模以上工业企业主要经济效益指标(2020年)-MAININDICATORSOFECONOMICBENEFITOFINDUSTRIALENTERPRISESABOVEDESIGNATEDSIZE(2020)-规模以上工业EnterprisesAboveDesignatedSize-总资产贡献率TotalAssetsContributionRatio,表4-8规模以上工业企业主要经济效益指标(2020年)-MAININDICATORSOFECONOMICBENEFITOFINDUSTRIALENTERPRISESABOVEDESIGNATEDSIZE(2020)-规模以上工业EnterprisesAboveDesignatedSize-成本费用利润率RateBetweenProfitandCost,表4-8规模以上工业企业主要经济效益指标(2020年)-MAININDICATORSOFECONOMICBENEFITOFINDUSTRIALENTERPRISESABOVEDESIGNATEDSIZE(2020)-规模以上工业EnterprisesAboveDesignatedSize-资产负债率AssetsLiabilityRatio,表4-8规模以上工业企业主要经济效益指标(2020年)-MAININDICATORSOFECONOMICBENEFITOFINDUSTRIALENTERPRISESABOVEDESIGNATEDSIZE(2020)-规模以上工业EnterprisesAboveDesignatedSize-产成品存货周转天数（天）TurnoverDaysoftheFinishedProductInventory(day),表4-8规模以上工业企业主要经济效益指标(2020年)-MAININDICATORSOFECONOMICBENEFITOFINDUSTRIALENTERPRISESABOVEDESIGNATEDSIZE(2020)-#民营工业PrivateandIndividual-总资产贡献率TotalAssetsContributionRatio,表4-8规模以上工业企业主要经济效益指标(2020年)-MAININDICATORSOFECONOMICBENEFITOFINDUSTRIALENTERPRISESABOVEDESIGNATEDSIZE(2020)-#民营工业PrivateandIndividual-成本费用利润率RateBetweenProfitandCost,表4-8规模以上工业企业主要经济效益指标(2020年)-MAININDICATORSOFECONOMICBENEFITOFINDUSTRIALENTERPRISESABOVEDESIGNATEDSIZE(2020)-#民营工业PrivateandIndividual-资产负债率AssetsLiabilityRatio,表4-8规模以上工业企业主要经济效益指标(2020年)-MAININDICATORSOFECONOMICBENEFITOFINDUSTRIALENTERPRISESABOVEDESIGNATEDSIZE(2020)-#民营工业PrivateandIndividual-产成品存货周转天数（天）TurnoverDaysoftheFinishedProductInventory(day),"表4-8规模以上工业企业主要经济效益指标(2020年)-MAININDICATORSOFECONOMICBENEFITOFINDUSTRIALENTERPRISESABOVEDESIGNATEDSIZE(2020)-#外商和港澳台商EnterpriseswithInvestmentfromForeign,HongKong,MacaoandTaiwan-总资产贡献率TotalAssetsContributionRatio","表4-8规模以上工业企业主要经济效益指标(2020年)-MAININDICATORSOFECONOMICBENEFITOFINDUSTRIALENTERPRISESABOVEDESIGNATEDSIZE(2020)-#外商和港澳台商EnterpriseswithInvestmentfromForeign,HongKong,MacaoandTaiwan-成本费用利润率RateBetweenProfitandCost","表4-8规模以上工业企业主要经济效益指标(2020年)-MAININDICATORSOFECONOMICBENEFITOFINDUSTRIALENTERPRISESABOVEDESIGNATEDSIZE(2020)-#外商和港澳台商EnterpriseswithInvestmentfromForeign,HongKong,MacaoandTaiwan-资产负债率AssetsLiabilityRatio","表4-8规模以上工业企业主要经济效益指标(2020年)-MAININDICATORSOFECONOMICBENEFITOFINDUSTRIALENTERPRISESABOVEDESIGNATEDSIZE(2020)-#外商和港澳台商EnterpriseswithInvestmentfromForeign,HongKong,MacaoandTaiwan-产成品存货周转天数（天）TurnoverDaysoftheFinishedProductInventory(day)"
总    计,Total,8.0,6,51.0,21.0,8,6,54,25,8,6,48,19
一、按轻重工业分,Grouped by Light and Heavy Industry,,,,,,,,,,,,
轻工业,Light Industry,8.0,7,53.0,29.0,8,5,59,29,9,9,46,29
重工业,Heavy Industry,8.0,6,51.0,19.0,8,7,53,24,8,6,49,17
二、按行业类别分,Grouped by Sector,,,,,,,,,,,,
非金属矿采选业,Nonmetal  Minerals Mining and Dressing,10.0,14,36.0,48.0,-,-,-,-,-,-,-,-
农副食品加工业,Agricultural and Sideline Food Processing,9.0,4,46.0,11.0,12,3,54,15,9,4,45,10
食品制造业,Food Production,12.0,7,49.0,24.0,9,4,44,14,14,8,50,29
酒、饮料和精制茶制造业,"Wine, Beverage and Refined tea manufacturing",17.0,14,34.0,15.0,24,49,24,47,16,9,43,11
烟草制品业,Manufacture of Tobacco,13.0,26,0.0,67.0,-,-,-,-,-,-,-,-
纺织业,Textile Industry,5.0,3,61.0,43.0,5,3,65,40,5,4,48,56
纺织服装、服饰业,Garments and Apparel Industry,9.0,6,56.0,44.0,8,4,64,31,10,10,49,68
皮革、毛皮、羽毛及其制品和制鞋业,"Leather, Fur, Wool Products",2.0,(0),50.0,32.0,3,0,52,30,1,(1),49,34
木材加工和木、竹、藤、棕、草制品业,"Wood Processing, Wood, Bamboo, Rattan and Coir Products Straw Products",2.0,1,65.0,65.0,1,(3),66,97,5,4,64,37
家具制造业,Furniture Manufacturing,5.0,4,45.0,38.0,4,3,53,55,6,4,37,27
造纸和纸制品业,Papermaking and Paper Products,10.0,11,50.0,16.0,8,4,53,12,10,13,50,16
印刷和记录媒介的复制业,Printing and Record Duplicating,11.0,9,51.0,18.0,10,8,53,16,11,12,48,20
文教、工美、体育和娱乐用品制造业,"Stationary,Educational, industrial arts, Sports and Entertainment products",4.0,2,52.0,37.0,5,3,60,32,2,2,43,47
石油、煤炭及其他燃料加工业,"Oil, Coal and Other Fuel Processing Industries",19.0,10,45.0,19.0,10,7,43,23,19,11,48,12
化学原料和化学制品制造业,Raw Chemical Materials and Chemical Products,13.0,12,40.0,23.0,14,13,43,21,13,12,38,24
医药制造业,Medical and Pharmaceutical Products,14.0,15,48.0,61.0,17,20,54,53,11,11,42,69
化学纤维制造业,Chemical Fiber Manufacturing,4.0,2,61.0,26.0,4,2,60,25,2,0,66,34
橡胶和塑料制品业,Rubber and Plastic Products,9.0,9,46.0,27.0,8,7,58,25,10,10,35,30
非金属矿物制品业,Nonmetal Mineral Products,9.0,8,56.0,22.0,9,6,67,20,9,10,42,24
黑色金属冶炼和压延加工业,Smelting and Pressing of Ferrous Metals,9.0,5,49.0,17.0,9,5,48,18,10,3,48,10
有色金属冶炼和压延加工业,Smelting and Pressing of Nonferrous Metals,5.0,2,51.0,12.0,4,1,56,12,7,5,43,20
金属制品业,Metal Products,9.0,8,48.0,23.0,9,7,52,21,10,9,40,29
通用设备制造业,General Equipment Manufacture,11.0,9,50.0,25.0,8,8,53,35,13,10,48,20
专用设备制造业,Special Purposes Equipment Manufacturing,9.0,11,51.0,39.0,9,11,58,41,8,10,45,38
汽车制造业,Automobile Manufacturing,6.0,5,55.0,24.0,7,8,57,33,6,4,53,21
铁路、船舶、航空航天和其他运输设备制造业,"Railway, Ship, Aerospace and Other Transportation Equipment Manufacturing",12.0,11,53.0,41.0,7,6,59,32,14,14,49,47
电气机械和器材制造业,Electric Equipment and Machinery Manufacturing,7.0,7,50.0,23.0,6,6,53,24,9,7,45,20
