规模以上工业企业主要经济效益指标（按行业分组一）-2021年5月-行业名称-行业名称,规模以上工业企业主要经济效益指标（按行业分组一）-2021年5月-营业收入-1-5月,规模以上工业企业主要经济效益指标（按行业分组一）-2021年5月-营业收入-比去年同期增长（%）,规模以上工业企业主要经济效益指标（按行业分组一）-2021年5月-利润总额-1-5月,规模以上工业企业主要经济效益指标（按行业分组一）-2021年5月-利润总额-比去年同期增长（%）,规模以上工业企业主要经济效益指标（按行业分组一）-2021年5月-税金总额-1-5月,规模以上工业企业主要经济效益指标（按行业分组一）-单位：亿元-税金总额-比去年同期增长（%）
规模以上工业合计,16847,25.0,1256,71.1,821,23.9
石油和天然气开采业,12,23.0,3,--,1,35.1
农副食品加工业,184,10.2,11,48.0,2,7.0
食品制造业,383,25.2,44,77.4,14,30.7
酒、饮料和精制茶制造业,57,13.9,5,58.5,2,-1.8
烟草制品业,531,5.2,118,10.9,380,5.4
纺织业,90,4.1,5,-54.4,1,-46.3
纺织服装、服饰业,103,8.2,1,--,1,1.1倍
皮革、毛皮、羽毛及其制品和制鞋业,38,1.9,1,-57.3,(1),--
木材加工和木、竹、藤、棕、草制品业,18,37.8,1,3.5倍,1,51.5
家具制造业,127,37.6,5,31.3,3,75.1
造纸和纸制品业,133,19.6,10,10.3,3,-1.7
印刷和记录媒介复制业,80,10.4,2,-35.9,2,-0.1
文教、工美、体育和娱乐用品制造业,356,32.8,18,20.3,3,48.0
石油、煤炭及其他燃料加工业,508,20.2,35,--,91,11.6
化学原料和化学制品制造业,1644,37.3,203,1.3倍,28,80.5
医药制造业,435,16.8,75,10.7,18,16.8
化学纤维制造业,9,16.8,0,-45.8,0,-2.9
,,,,,,
,,,,,,
工业统计范围、采集渠道及主要指标解释,工业统计范围、采集渠道及主要指标解释,工业统计范围、采集渠道及主要指标解释,工业统计范围、采集渠道及主要指标解释,工业统计范围、采集渠道及主要指标解释,工业统计范围、采集渠道及主要指标解释,工业统计范围、采集渠道及主要指标解释
一、统计范围,,,,,,
本表统计范围均为规模以上工业企业，即年主营业务收入2000万元及以上的法人工业企业。,    本表统计范围均为规模以上工业企业，即年主营业务收入2000万元及以上的法人工业企业。,    本表统计范围均为规模以上工业企业，即年主营业务收入2000万元及以上的法人工业企业。,    本表统计范围均为规模以上工业企业，即年主营业务收入2000万元及以上的法人工业企业。,    本表统计范围均为规模以上工业企业，即年主营业务收入2000万元及以上的法人工业企业。,    本表统计范围均为规模以上工业企业，即年主营业务收入2000万元及以上的法人工业企业。,    本表统计范围均为规模以上工业企业，即年主营业务收入2000万元及以上的法人工业企业。
二、采集渠道,,,,,,
规模以上法人工业企业按照《工业统计报表制度》要求，填报统计报表，通过各级统计部门逐级审核上报统计数据。上海市统计局汇总全市规模以上工业统计数据，经国家统计局统一审核评估后对外发布。,    规模以上法人工业企业按照《工业统计报表制度》要求，填报统计报表，通过各级统计部门逐级审核上报统计数据。上海市统计局汇总全市规模以上工业统计数据，经国家统计局统一审核评估后对外发布。,    规模以上法人工业企业按照《工业统计报表制度》要求，填报统计报表，通过各级统计部门逐级审核上报统计数据。上海市统计局汇总全市规模以上工业统计数据，经国家统计局统一审核评估后对外发布。,    规模以上法人工业企业按照《工业统计报表制度》要求，填报统计报表，通过各级统计部门逐级审核上报统计数据。上海市统计局汇总全市规模以上工业统计数据，经国家统计局统一审核评估后对外发布。,    规模以上法人工业企业按照《工业统计报表制度》要求，填报统计报表，通过各级统计部门逐级审核上报统计数据。上海市统计局汇总全市规模以上工业统计数据，经国家统计局统一审核评估后对外发布。,    规模以上法人工业企业按照《工业统计报表制度》要求，填报统计报表，通过各级统计部门逐级审核上报统计数据。上海市统计局汇总全市规模以上工业统计数据，经国家统计局统一审核评估后对外发布。,    规模以上法人工业企业按照《工业统计报表制度》要求，填报统计报表，通过各级统计部门逐级审核上报统计数据。上海市统计局汇总全市规模以上工业统计数据，经国家统计局统一审核评估后对外发布。
