12-15分地区工业企业主要经济指标(2023年)-MajorIndicatorsofIndustrialEnterprisesbyRegion(2023)-单位：万元-地区-地区-地区-地区-地区-地区,12-15分地区工业企业主要经济指标(2023年)-MajorIndicatorsofIndustrialEnterprisesbyRegion(2023)-Region-Region-Region-Region-Region-Region,12-15分地区工业企业主要经济指标(2023年)-MajorIndicatorsofIndustrialEnterprisesbyRegion(2023)-资产总计-Total-Assets,12-15分地区工业企业主要经济指标(2023年)-MajorIndicatorsofIndustrialEnterprisesbyRegion(2023)-流动资产-合计-Total-Current-Assets,12-15分地区工业企业主要经济指标(2023年)-MajorIndicatorsofIndustrialEnterprisesbyRegion(2023)-应收账款-Accounts-Receivable,12-15分地区工业企业主要经济指标(2023年)-MajorIndicatorsofIndustrialEnterprisesbyRegion(2023)-产成品-Finished-Goods,12-15分地区工业企业主要经济指标(2023年)-MajorIndicatorsofIndustrialEnterprisesbyRegion(2023)-固定资产-原价-Original-Valueof-Fixed-Assets,12-15分地区工业企业主要经济指标(2023年)-MajorIndicatorsofIndustrialEnterprisesbyRegion(2023)-固定资产-净额-Net-Fixed-Assets,12-15分地区工业企业主要经济指标(2023年)-MajorIndicatorsofIndustrialEnterprisesbyRegion(2023)-负债合计-Total-Liabilities,12-15分地区工业企业主要经济指标(2023年)-MajorIndicatorsofIndustrialEnterprisesbyRegion(2023)-营业收入-Business-Revenue,12-15分地区工业企业主要经济指标(2023年)-MajorIndicatorsofIndustrialEnterprisesbyRegion(2023)-营业成本-Business-Cost,12-15分地区工业企业主要经济指标(2023年)-MajorIndicatorsofIndustrialEnterprisesbyRegion(2023)-销售费用-Selling-Expenses,12-15分地区工业企业主要经济指标(2023年)-MajorIndicatorsofIndustrialEnterprisesbyRegion(2023)-管理费用-Management-Expenses,12-15分地区工业企业主要经济指标(2023年)-MajorIndicatorsofIndustrialEnterprisesbyRegion(2023)-财务费用-Financial-Expenses,12-15分地区工业企业主要经济指标(2023年)-MajorIndicatorsofIndustrialEnterprisesbyRegion(2023)-利息费用-Expenditure-forInterests,12-15分地区工业企业主要经济指标(2023年)-MajorIndicatorsofIndustrialEnterprisesbyRegion(2023)-利润总额-Total-Profits,12-15分地区工业企业主要经济指标(2023年)-MajorIndicatorsofIndustrialEnterprisesbyRegion(2023)-(10000yuan)-亏损企业-亏损总额-TotalLosses-Madeby-Enterprises---in-red
,,,,,,,,,,,,,,,,
哈 尔 滨,Harbin,58500018.0,35741604.0,7749165.0,1813726.0,25222891.0,12328436.0,37308389.0,34925133.0,29261539.0,1052568.0,1516579.0,340381.0,401595.0,1068485,707738.0
齐齐哈尔,Qiqihar,20316679.0,10801221.0,1982073.0,628940.0,9207812.0,5534471.0,13080072.0,11919762.0,10433242.0,444787.0,368092.0,142803.0,162737.0,334038,452392.0
鸡    西,Jixi,8534691.0,3997988.0,931056.0,289570.0,5228142.0,2801541.0,5826904.0,4395303.0,3862008.0,97390.0,266808.0,69814.0,60631.0,52472,187271.0
鹤    岗,Hegang,5616737.0,2349852.0,487227.0,484064.0,4675424.0,2352946.0,4061876.0,2931211.0,2492325.0,48652.0,203918.0,55385.0,51215.0,92666,115001.0
双 鸭 山,Shuangyashan,6871730.0,3025054.0,848454.0,190075.0,5974852.0,2799270.0,4893526.0,4974402.0,4377559.0,58096.0,224422.0,102111.0,93079.0,130775,93860.0
大    庆,Daqing,65161992.0,28786325.0,3397405.0,949796.0,70877212.0,19565580.0,33851361.0,37579026.0,29100129.0,256936.0,1519578.0,362786.0,608973.0,2360183,568566.0
伊    春,Yichun,2962282.0,1199363.0,132915.0,41616.0,2139546.0,1227997.0,1768419.0,2260862.0,1688746.0,20378.0,57489.0,38253.0,30481.0,376194,11797.0
佳 木 斯,Jiamusi,6459744.0,3486466.0,926444.0,397230.0,3961650.0,1818696.0,4333313.0,4746273.0,4299253.0,151772.0,152296.0,64485.0,46586.0,69128,129487.0
七 台 河,Qitaihe,7616450.0,2966919.0,613533.0,240349.0,4960326.0,2109310.0,5072715.0,3568626.0,3422546.0,70487.0,220678.0,62450.0,59793.0,(520825),571905.0
牡 丹 江,Mudanjiang,5511004.0,2635512.0,873553.0,433671.0,4403697.0,2029917.0,3456882.0,2579253.0,2221272.0,53652.0,136624.0,51025.0,61294.0,76687,108285.0
黑    河,Heihe,3959307.0,1494390.0,261462.0,109315.0,2086892.0,1053795.0,2653361.0,2287342.0,1641876.0,21084.0,104780.0,31848.0,29941.0,539875,74617.0
绥    化,Suihua,10368133.0,4875920.0,1055793.0,703472.0,6104585.0,4051797.0,7667020.0,8764317.0,8025097.0,236087.0,227226.0,144529.0,128961.0,3355,352546.0
大兴安岭,Daxing'anling,714676.0,445669.0,179761.0,48976.0,272646.0,117544.0,405224.0,267487.0,192124.0,16409.0,15115.0,1090.0,2233.0,35860,10007.0
