省市,套数,城市,成交套数,成交占比
北京,5,北京,5,0
福建,1,福建邵武,1,0
甘肃,3,甘肃省兰州市,2,0
甘肃,3,甘肃省嘉峪,1,0
广东,1,广东省东莞市,1,0
贵州,1,贵州省仁怀市,1,0
海南,2,海南省海口市,2,0
河南,1,河南省漯河市,1,0
黑龙江,2,黑龙江省勃利县,1,0
黑龙江,2,黑龙江省拜泉县,1,0
湖北,4,湖北省襄阳市,2,0
湖北,4,湖北省武汉市,2,0
湖南,1,湖南省益阳市,1,0
吉林,3,吉林省长春市,3,0
江苏,1,江苏省南通市,1,0
江西,1,江西省九江市,1,0
辽宁,3,辽宁省沈阳市,2,0
辽宁,3,辽宁省铁岭市,1,0
内蒙,6,内蒙古省鄂尔多斯市,1,0
内蒙,6,内蒙古省包头市,2,0
内蒙,6,内蒙古土默特左旗,2,0
内蒙,6,内蒙古呼伦贝尔市,1,0
山东,2,山东省济宁市,1,0
山东,2,山东省临沂市,1,0
陕西,7,陕西省渭南市,1,0
陕西,7,陕西省西安市,1,0
陕西,7,陕西省彬州市,1,0
陕西,7,陕西省宝鸡市,3,0
陕西,7,陕西省眉县首善镇,1,0
上海,2,上海市,2,0
四川,2,四川省成都市,1,0
四川,2,四川省乐山市,1,0
台湾,1,台湾省台中市,1,0
天津,2,天津市,2,0
新疆,1,新疆库尔勒,1,0
云南,1,云南省丽江市,1,0
浙江,9,浙江省杭州市,2,0
浙江,9,浙江省金华市,2,0
浙江,9,浙江省玉环县,1,0
浙江,9,浙江省舟山市,1,0
浙江,9,浙江省松阳县,1,0
浙江,9,浙江省平阳县,1,0
浙江,9,浙江省青田县,1,0
重庆,2,重庆市,2,0
