项目-项目,本月认购情况-认购指标,本月认购情况-已认购,本月认购情况-认筹转认购,本月认购情况-工抵,本月认购情况-预计额外新增,本月认购情况-预计认购完成,本月认购情况-预计缺口,本月认购情况-认购完成率,本月签约情况-签约指标,本月签约情况-本月已签约,本月签约情况-认未签,本月签约情况-可转签约,本月签约情况-预计额外新增,本月签约情况-预计签约完成,本月签约情况-预计缺口,本月签约情况-签约完成率
保利城,29800,3143,1597,459,21851,27050,(2750),1,29800.0,2672.0,2718.0,2718.0,21510.0,26900.0,(2900),1
锦上印,4000,2244,231,0,350,2825,(1175),1,4000.0,936.0,5740.0,2283.0,580.0,3799.0,(201),1
明玥晨光,1200,1029,70,0,101,1200,0,1,1200.0,90.0,1642.0,1009.0,101.0,1200.0,0,1
保利上城,1000,796,0,150,60,1006,6,1,1000.0,502.0,295.0,295.0,60.0,857.0,(143),1
悦公馆,0,0,0,0,0,0,0,-,0.0,0.0,584.0,150.0,0.0,150.0,150,-
保利江锦,0,19,0,0,0,19,19,-,0.0,19.0,0.0,0.0,0.0,19.0,19,-
合计,36000,7231,1898,609,22362,32100,(3900),1,36000.0,4219.0,10979.0,6455.0,22251.0,32925.0,(3075),1
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"本月预计认购签约情况如下：
1、总体情况：
①本月预计认购32100万，完成率89%，缺口3900万；
截止6.23日已认购7231万，认筹待转认购1898万，预计还可新增22971
②本月预计签约32925万，完成率91%，缺口3075万；
截止6.23日已签约4219万，未签可转签6455万，预计还可新增22251万

2、项目情况：
①保利城剔除包销，本月预计认购6150，签约6000
②锦上印本月预计认购2825，签约3799
③明玥晨光本月预计认购1200，签约1200
④保利上城本月预计认购1006，签约857","本月预计认购签约情况如下：
1、总体情况：
①本月预计认购32100万，完成率89%，缺口3900万；
截止6.23日已认购7231万，认筹待转认购1898万，预计还可新增22971
②本月预计签约32925万，完成率91%，缺口3075万；
截止6.23日已签约4219万，未签可转签6455万，预计还可新增22251万

2、项目情况：
①保利城剔除包销，本月预计认购6150，签约6000
②锦上印本月预计认购2825，签约3799
③明玥晨光本月预计认购1200，签约1200
④保利上城本月预计认购1006，签约857","本月预计认购签约情况如下：
1、总体情况：
①本月预计认购32100万，完成率89%，缺口3900万；
截止6.23日已认购7231万，认筹待转认购1898万，预计还可新增22971
②本月预计签约32925万，完成率91%，缺口3075万；
截止6.23日已签约4219万，未签可转签6455万，预计还可新增22251万

2、项目情况：
①保利城剔除包销，本月预计认购6150，签约6000
②锦上印本月预计认购2825，签约3799
③明玥晨光本月预计认购1200，签约1200
④保利上城本月预计认购1006，签约857","本月预计认购签约情况如下：
1、总体情况：
①本月预计认购32100万，完成率89%，缺口3900万；
截止6.23日已认购7231万，认筹待转认购1898万，预计还可新增22971
②本月预计签约32925万，完成率91%，缺口3075万；
截止6.23日已签约4219万，未签可转签6455万，预计还可新增22251万

2、项目情况：
①保利城剔除包销，本月预计认购6150，签约6000
②锦上印本月预计认购2825，签约3799
③明玥晨光本月预计认购1200，签约1200
④保利上城本月预计认购1006，签约857","本月预计认购签约情况如下：
1、总体情况：
①本月预计认购32100万，完成率89%，缺口3900万；
截止6.23日已认购7231万，认筹待转认购1898万，预计还可新增22971
②本月预计签约32925万，完成率91%，缺口3075万；
截止6.23日已签约4219万，未签可转签6455万，预计还可新增22251万

2、项目情况：
①保利城剔除包销，本月预计认购6150，签约6000
②锦上印本月预计认购2825，签约3799
③明玥晨光本月预计认购1200，签约1200
④保利上城本月预计认购1006，签约857","本月预计认购签约情况如下：
1、总体情况：
①本月预计认购32100万，完成率89%，缺口3900万；
截止6.23日已认购7231万，认筹待转认购1898万，预计还可新增22971
②本月预计签约32925万，完成率91%，缺口3075万；
截止6.23日已签约4219万，未签可转签6455万，预计还可新增22251万

2、项目情况：
①保利城剔除包销，本月预计认购6150，签约6000
②锦上印本月预计认购2825，签约3799
③明玥晨光本月预计认购1200，签约1200
④保利上城本月预计认购1006，签约857","本月预计认购签约情况如下：
1、总体情况：
①本月预计认购32100万，完成率89%，缺口3900万；
截止6.23日已认购7231万，认筹待转认购1898万，预计还可新增22971
②本月预计签约32925万，完成率91%，缺口3075万；
截止6.23日已签约4219万，未签可转签6455万，预计还可新增22251万

2、项目情况：
①保利城剔除包销，本月预计认购6150，签约6000
②锦上印本月预计认购2825，签约3799
③明玥晨光本月预计认购1200，签约1200
④保利上城本月预计认购1006，签约857","本月预计认购签约情况如下：
1、总体情况：
①本月预计认购32100万，完成率89%，缺口3900万；
截止6.23日已认购7231万，认筹待转认购1898万，预计还可新增22971
②本月预计签约32925万，完成率91%，缺口3075万；
截止6.23日已签约4219万，未签可转签6455万，预计还可新增22251万

2、项目情况：
①保利城剔除包销，本月预计认购6150，签约6000
②锦上印本月预计认购2825，签约3799
③明玥晨光本月预计认购1200，签约1200
④保利上城本月预计认购1006，签约857",,,,,,,,
