抖音专场达播目标：-是否主推,抖音专场达播目标：-产品,日常价,20000000-达播价,达人价优,规格,机制宣导,赠品,备货库存,佣金,预估支付件数,预估成交gmv,金额占比,爆款,Unnamed: 14
流量爆款,三色拉花,148.0,148.0,0.0,14g*2,历史最低破价机制,光点隔离小样6ml*2/三色隔离小样6ml*2/天鹅绒小样7g,130000.0,0.0,108108,16000000,1,新品,
套组,光点气垫+粉饼,407.0,299.0,0.0,"气垫：12.5g*2
粉饼：7g",新品套组破价机制,/,6000.0,0.0,6689,2000000,0,套组,
套组,光点气垫+粉饼,407.0,299.0,0.0,"气垫：12.5g*2
粉饼：7g",新品套组破价机制,光点隔离小样6ml*2*2+光点气垫粉扑（2个）*1,,,,,,,
热卖新品,光点气垫,208.0,208.0,0.0,12.5g*2,/,/,5000.0,0.0,4808,1000000,0,品类覆盖,三色隔离
热卖新品,月光气垫,158.0,138.0,0.0,12.5g*2,/,/,8000.0,0.0,7246,1000000,0,刚需,卸妆洁面
热卖新品,光点隔离,179.0,179.0,0.0,35ml,/,/,2000.0,0.0,1000,358000,/,折扣款,卸妆湿巾
热卖新品,光点粉饼,199.0,199.0,0.0,7g,/,/,2000.0,0.0,1000,398000,/,,
次推款,天鹅绒气垫,164.0,158.0,0.0,14g*2,/,/,2000.0,0.0,1000,316000,/,,
品类拓展,三色隔离,79.0,69.0,0.0,40ml,/,/,2000.0,0.0,1000,138000,/,,
刚需款,Point大豆卸妆乳,103.0,79.0,0.0,230ml,,,,,,,,,
刚需款,Point卸妆油眼唇卸妆液,103.0,79.0,0.0,230ml,,,,,,,,,
刚需款,Point氨基酸磨砂洁面,85.0,79.0,0.0,150g,,,,,,,,,
刚需款,FFLOW神经酰胺屏障修护精华液,143.0,99.0,0.0,150ml,,FFLOW焕颜精华三件套8ml*3*2,,,,,,,
折扣款,泊滢特卸妆湿巾,59.0,10.0,1.0,20片/包,引流福利品,/,8000.0,0.0,/,/,/,,
合计,,,,,,,,165000.0,,130851,21210000,,,
