统计报表-序号-序号,统计报表-区域-区域,统计报表-总数-总数,统计报表-初中-人数,统计报表-初中-比例,统计报表-高中-人数,统计报表-高中-比例,统计报表-大专-人数,统计报表-大专-比例,统计报表-本科-人数,统计报表-本科-比例,统计报表-硕士-人数,统计报表-硕士-比例,统计报表-博士-人数,统计报表-博士-比例
,,,,,,,,,,,,,,
2.0,元宝山区,15.0,3.0,20.0%,6.0,40.0%,5.0,33.33%,1.0,6.67%,0.0,0%,0.0,0%
,,,,,,,,,,,,,,
4.0,阿鲁科尔沁旗,3.0,0.0,0%,3.0,100.0%,0.0,0%,0.0,0%,0.0,0%,0.0,0%
5.0,巴林左旗,21.0,1.0,4.76%,8.0,38.1%,9.0,42.86%,3.0,14.29%,0.0,0%,0.0,0%
6.0,巴林右旗,3.0,0.0,0%,1.0,33.33%,0.0,0%,2.0,66.67%,0.0,0%,0.0,0%
7.0,林西县,3.0,0.0,0%,0.0,0%,2.0,66.67%,1.0,33.33%,0.0,0%,0.0,0%
8.0,克什克腾旗,5.0,2.0,40.0%,1.0,20.0%,1.0,20.0%,1.0,20.0%,0.0,0%,0.0,0%
9.0,翁牛特旗,17.0,1.0,5.88%,3.0,17.65%,8.0,47.06%,4.0,23.53%,1.0,5.88%,0.0,0%
10.0,喀喇沁旗,21.0,1.0,4.76%,14.0,66.67%,5.0,23.81%,1.0,4.76%,0.0,0%,0.0,0%
,,,,,,,,,,,,,,
12.0,敖汉旗,7.0,0.0,0%,2.0,28.57%,5.0,71.43%,0.0,0%,0.0,0%,0.0,0%
,合计：,95.0,8.0,,38.0,,35.0,,13.0,,1.0,,0.0,
