表4-2分年龄、性别的15岁及以上文盲人口-年龄别-年龄别-年龄别,表4-2分年龄、性别的15岁及以上文盲人口-15岁及以上人口-合计-合计,表4-2分年龄、性别的15岁及以上文盲人口-15岁及以上人口-男-男,表4-2分年龄、性别的15岁及以上文盲人口-15岁及以上人口-女-女,表4-2分年龄、性别的15岁及以上文盲人口-文盲人口-合计-合计,表4-2分年龄、性别的15岁及以上文盲人口-文盲人口-合计-男,表4-2分年龄、性别的15岁及以上文盲人口-文盲人口-合计-女,表4-2分年龄、性别的15岁及以上文盲人口-文盲人口-未上过学-小计,表4-2分年龄、性别的15岁及以上文盲人口-文盲人口-未上过学-男,表4-2分年龄、性别的15岁及以上文盲人口-文盲人口-未上过学-女,表4-2分年龄、性别的15岁及以上文盲人口-文盲人口-小学-小计,表4-2分年龄、性别的15岁及以上文盲人口-单位：人-文盲人口-小学-男,表4-2分年龄、性别的15岁及以上文盲人口-文盲人口-小学-女
总计,511341,257049,254292,43855,11419,32436,42932,11043,31889,923,376,547
15-19,57276,30236,27040,242,131,111,225,122,103,17,9,8
15,15242,7986,7256,45,24,21,41,24,17,4,0,4
16,13666,7171,6495,56,32,24,54,31,23,2,1,1
17,11062,5875,5187,47,31,16,40,27,13,7,4,3
18,10070,5349,4721,52,25,27,50,23,27,2,2,0
19,7236,3855,3381,42,19,23,40,17,23,2,2,0
20-24,35047,16848,18199,238,124,114,222,117,105,16,7,9
20,6507,3277,3230,32,17,15,28,16,12,4,1,3
21,6595,3221,3374,44,25,19,40,21,19,4,4,0
22,6844,3236,3608,51,25,26,49,24,25,2,1,1
23,8377,3923,4454,64,35,29,60,34,26,4,1,3
24,6724,3191,3533,47,22,25,45,22,23,2,0,2
25-29,34864,16827,18037,324,144,180,300,131,169,24,13,11
25,6579,3139,3440,56,19,37,52,18,34,4,1,3
26,7044,3358,3686,57,31,26,53,28,25,4,3,1
27,6748,3271,3477,68,32,36,63,29,34,5,3,2
28,6572,3209,3363,68,28,40,62,25,37,6,3,3
29,7921,3850,4071,75,34,41,70,31,39,5,3,2
30-34,50028,24663,25365,599,228,371,554,209,345,45,19,26
30,9052,4450,4602,109,44,65,101,39,62,8,5,3
31,10025,4874,5151,119,37,82,111,35,76,8,2,6
32,9937,4936,5001,105,48,57,100,45,55,5,3,2
33,10388,5060,5328,117,38,79,105,33,72,12,5,7
34,10626,5343,5283,149,61,88,137,57,80,12,4,8
35-39,63214,31235,31979,873,299,574,804,275,529,69,24,45
35,12579,6142,6437,166,63,103,148,56,92,18,7,11
36,12365,6039,6326,151,55,96,142,52,90,9,3,6
37,14868,7385,7483,196,61,135,183,60,123,13,1,12
38,10872,5394,5478,141,43,98,124,36,88,17,7,10
39,12530,6275,6255,219,77,142,207,71,136,12,6,6
40-44,56653,28327,28326,1041,282,759,969,262,707,72,20,52
40,13368,6631,6737,229,71,158,208,66,142,21,5,16
41,12667,6213,6454,233,69,164,218,64,154,15,5,10
42,15507,7869,7638,270,65,205,253,60,193,17,5,12
43,11082,5597,5485,211,60,151,198,55,143,13,5,8
44,4029,2017,2012,98,17,81,92,17,75,6,0,6
45-49,41056,20728,20328,1963,441,1522,1903,417,1486,60,24,36
45,6624,3317,3307,193,32,161,188,30,158,5,2,3
46,5870,2932,2938,242,54,188,238,52,186,4,2,2
47,8597,4329,4268,456,118,338,439,108,331,17,10,7
48,10515,5385,5130,546,134,412,525,128,397,21,6,15
49,9450,4765,4685,526,103,423,513,99,414,13,4,9
50-54,47584,24428,23156,3828,842,2986,3667,780,2887,161,62,99
50,9793,5007,4786,642,139,503,603,127,476,39,12,27
51,10043,5160,4883,777,178,599,747,168,579,30,10,20
52,9662,4885,4777,765,181,584,725,161,564,40,20,20
53,10022,5141,4881,884,174,710,854,167,687,30,7,23
54,8064,4235,3829,760,170,590,738,157,581,22,13,9
55-59,36482,19045,17437,3920,831,3089,3805,788,3017,115,43,72
55,8168,4240,3928,841,196,645,811,189,622,30,7,23
56,8420,4503,3917,804,184,620,779,172,607,25,12,13
57,7124,3733,3391,769,156,613,748,146,602,21,10,11
58,6906,3554,3352,728,143,585,709,134,575,19,9,10
59,5864,3015,2849,778,152,626,758,147,611,20,5,15
60-64,25435,13463,11972,4454,1039,3415,4367,1000,3367,87,39,48
60,5264,2729,2535,757,174,583,736,165,571,21,9,12
61,5399,2871,2528,857,190,667,846,186,660,11,4,7
62,5010,2624,2386,882,194,688,864,185,679,18,9,9
63,4743,2518,2225,882,226,656,867,218,649,15,8,7
64,5019,2721,2298,1076,255,821,1054,246,808,22,9,13
65岁及以上,63702,31249,32453,26373,7058,19315,26116,6942,19174,257,116,141
