1-7各地区分性别的15岁及以上文盲人口,1-7各地区分性别的15岁及以上文盲人口.1,1-7各地区分性别的15岁及以上文盲人口.2,1-7各地区分性别的15岁及以上文盲人口.3,1-7各地区分性别的15岁及以上文盲人口.4,1-7各地区分性别的15岁及以上文盲人口.5,1-7各地区分性别的15岁及以上文盲人口.6,1-7各地区分性别的15岁及以上文盲人口.7,1-7各地区分性别的15岁及以上文盲人口.8,1-7各地区分性别的15岁及以上文盲人口.9
,,,,,,,,,单位：人、%
地    区,15岁及以上人口,15岁及以上人口,15岁及以上人口,文盲人口,文盲人口,文盲人口,文盲人口占15岁及以上人口比重,文盲人口占15岁及以上人口比重,文盲人口占15岁及以上人口比重
地    区,合计,男,女,合计,男,女,合计,男,女
,,,,,,,,,
全    国,1156394786,586822815,569571971,37704017,9499681,28204336,3,2,5
,,,,,,,,,
北    京,19301588,9847962,9453626,172141,38227,133914,1,0,1
天    津,11997953,6162151,5835802,169807,41581,128226,1,1,2
河    北,59521267,29691311,29829956,1127792,260624,867168,2,1,3
山    西,29205721,14857263,14348458,422024,123585,298439,1,1,2
内 蒙 古,20671482,10519559,10151923,792204,216205,575999,4,2,6
,,,,,,,,,
辽    宁,37853468,18801024,19052444,381928,105570,276358,1,1,1
吉    林,21254730,10556023,10698707,320865,95838,225027,2,1,2
黑 龙 江,28563622,14253881,14309741,436127,131375,304752,2,1,2
,,,,,,,,,
上    海,22434599,11600663,10833936,401232,80974,320258,2,1,3
江    苏,71856068,36156582,35699486,2210138,460255,1749883,3,1,5
浙    江,55885807,29069882,26815925,1753644,437643,1316001,3,2,5
安    徽,49284489,24775087,24509402,2731931,665356,2066575,6,3,8
福    建,33514861,17115416,16399445,969613,174329,795284,3,1,5
江    西,35266271,17908471,17357800,875063,178545,696518,2,1,4
山    东,82464815,41142117,41322698,3306469,734437,2572032,4,2,6
,,,,,,,,,
河    南,76376565,37582340,38794225,2225359,542902,1682457,3,1,4
湖    北,48332080,24601435,23730645,1339445,293761,1045684,3,1,4
湖    南,53475342,27071624,26403718,1134692,286274,848418,2,1,3
广    东,102262628,54125030,48137598,1825257,393622,1431635,2,1,3
广    西,38284303,19595172,18689131,1186492,248225,938267,3,1,5
海    南,8067507,4244519,3822988,326988,77798,249190,4,2,7
,,,,,,,,,
重    庆,26955796,13541057,13414739,520698,138679,382019,2,1,3
四    川,70203754,35298112,34905642,3326403,952948,2373455,5,3,7
贵    州,29320110,14772958,14547152,2570789,602982,1967807,9,4,14
云    南,37971803,19601151,18370652,2191341,641120,1550221,6,3,8
西    藏,2753235,1457393,1295842,773184,297847,475337,28,20,37
,,,,,,,,,
陕    西,32676794,16632837,16043957,1087779,312607,775172,3,2,5
甘    肃,20166288,10168955,9997333,1677613,473738,1203875,8,5,12
青    海,4691001,2398640,2292361,469499,147262,322237,10,6,14
宁    夏,5734650,2906355,2828295,290889,76950,213939,5,3,8
新    疆,20046189,10367845,9678344,686611,268422,418189,3,3,4
