6-3各地区分性别、婚姻状况的15岁及以上死亡人口(2019.11.1-2020.10.31)-地区-地区,6-3各地区分性别、婚姻状况的15岁及以上死亡人口(2019.11.1-2020.10.31)-单位：人-15岁及以上死亡人口-合计,6-3各地区分性别、婚姻状况的15岁及以上死亡人口(2019.11.1-2020.10.31)-单位：人-15岁及以上死亡人口-男,6-3各地区分性别、婚姻状况的15岁及以上死亡人口(2019.11.1-2020.10.31)-单位：人-15岁及以上死亡人口-女,6-3各地区分性别、婚姻状况的15岁及以上死亡人口(2019.11.1-2020.10.31)-单位：人-未婚-小计,6-3各地区分性别、婚姻状况的15岁及以上死亡人口(2019.11.1-2020.10.31)-单位：人-未婚-男,6-3各地区分性别、婚姻状况的15岁及以上死亡人口(2019.11.1-2020.10.31)-单位：人-未婚-女,6-3各地区分性别、婚姻状况的15岁及以上死亡人口(2019.11.1-2020.10.31)-单位：人-有配偶-小计,6-3各地区分性别、婚姻状况的15岁及以上死亡人口(2019.11.1-2020.10.31)-单位：人-有配偶-男,6-3各地区分性别、婚姻状况的15岁及以上死亡人口(2019.11.1-2020.10.31)-单位：人-有配偶-女,6-3各地区分性别、婚姻状况的15岁及以上死亡人口(2019.11.1-2020.10.31)-单位：人-离婚-小计,6-3各地区分性别、婚姻状况的15岁及以上死亡人口(2019.11.1-2020.10.31)-单位：人-离婚-男,6-3各地区分性别、婚姻状况的15岁及以上死亡人口(2019.11.1-2020.10.31)-单位：人-离婚-女,6-3各地区分性别、婚姻状况的15岁及以上死亡人口(2019.11.1-2020.10.31)-单位：人-丧偶-小计,6-3各地区分性别、婚姻状况的15岁及以上死亡人口(2019.11.1-2020.10.31)-单位：人-丧偶-男,6-3各地区分性别、婚姻状况的15岁及以上死亡人口(2019.11.1-2020.10.31)-单位：人-丧偶-女
,,,,,,,,,,,,,,,
全    国,7899988.0,4578216.0,3321772.0,354377.0,314616.0,39761.0,4327168.0,2953836.0,1373332.0,157189.0,125604.0,31585.0,3061254.0,1184160.0,1877094.0
,,,,,,,,,,,,,,,
北    京,100073.0,56412.0,43661.0,2279.0,1825.0,454.0,57966.0,38996.0,18970.0,2236.0,1589.0,647.0,37592.0,14002.0,23590.0
天    津,63975.0,36662.0,27313.0,1775.0,1424.0,351.0,36435.0,24686.0,11749.0,1450.0,1075.0,375.0,24315.0,9477.0,14838.0
河    北,419230.0,241754.0,177476.0,19270.0,18004.0,1266.0,235345.0,156725.0,78620.0,6550.0,5601.0,949.0,158065.0,61424.0,96641.0
山    西,164737.0,95424.0,69313.0,7412.0,6763.0,649.0,91857.0,63149.0,28708.0,2982.0,2584.0,398.0,62486.0,22928.0,39558.0
内 蒙 古,142929.0,86919.0,56010.0,6516.0,5996.0,520.0,82058.0,57693.0,24365.0,3841.0,3213.0,628.0,50514.0,20017.0,30497.0
,,,,,,,,,,,,,,,
辽    宁,325389.0,190739.0,134650.0,11399.0,9881.0,1518.0,179603.0,121760.0,57843.0,11905.0,9210.0,2695.0,122482.0,49888.0,72594.0
吉    林,147622.0,87892.0,59730.0,5007.0,4432.0,575.0,84239.0,56834.0,27405.0,5836.0,4730.0,1106.0,52540.0,21896.0,30644.0
黑 龙 江,215670.0,129523.0,86147.0,7109.0,6068.0,1041.0,117520.0,80179.0,37341.0,10175.0,7856.0,2319.0,80866.0,35420.0,45446.0
,,,,,,,,,,,,,,,
上    海,128706.0,70255.0,58451.0,3269.0,2505.0,764.0,69924.0,48202.0,21722.0,2782.0,2034.0,748.0,52731.0,17514.0,35217.0
