2-2全国各民族分性别、职业的人口-民族-民族-民族,2-2全国各民族分性别、职业的人口-单位：人-人口数-人口数-合计,2-2全国各民族分性别、职业的人口-单位：人-人口数-人口数-男,2-2全国各民族分性别、职业的人口-单位：人-人口数-人口数-女,2-2全国各民族分性别、职业的人口-单位：人-党的机关、国家机关、群众团体-和社会组织、企事业单位负责人-小计,2-2全国各民族分性别、职业的人口-单位：人-党的机关、国家机关、群众团体-和社会组织、企事业单位负责人-男,2-2全国各民族分性别、职业的人口-单位：人-党的机关、国家机关、群众团体-和社会组织、企事业单位负责人-女,2-2全国各民族分性别、职业的人口-单位：人-专业技术人员-专业技术人员-小计,2-2全国各民族分性别、职业的人口-单位：人-专业技术人员-专业技术人员-男,2-2全国各民族分性别、职业的人口-单位：人-专业技术人员-专业技术人员-女,2-2全国各民族分性别、职业的人口-单位：人-办事人员和有关人员-办事人员和有关人员-小计,2-2全国各民族分性别、职业的人口-单位：人-办事人员和有关人员-办事人员和有关人员-男,2-2全国各民族分性别、职业的人口-单位：人-办事人员和有关人员-办事人员和有关人员-女,2-2全国各民族分性别、职业的人口-单位：人-社会生产服务和生活服务人员-社会生产服务和生活服务人员-小计,2-2全国各民族分性别、职业的人口-单位：人-社会生产服务和生活服务人员-社会生产服务和生活服务人员-男,2-2全国各民族分性别、职业的人口-单位：人-社会生产服务和生活服务人员-社会生产服务和生活服务人员-女,2-2全国各民族分性别、职业的人口-单位：人-农、林、牧、渔业-生产及辅助人员-小计,2-2全国各民族分性别、职业的人口-单位：人-农、林、牧、渔业-生产及辅助人员-男,2-2全国各民族分性别、职业的人口-单位：人-农、林、牧、渔业-生产及辅助人员-女,2-2全国各民族分性别、职业的人口-单位：人-生产制造及有关人员-生产制造及有关人员-小计,2-2全国各民族分性别、职业的人口-单位：人-生产制造及有关人员-生产制造及有关人员-男,2-2全国各民族分性别、职业的人口-单位：人-生产制造及有关人员-生产制造及有关人员-女,2-2全国各民族分性别、职业的人口-单位：人-不便分类的其他从业人员-不便分类的其他从业人员-小计,2-2全国各民族分性别、职业的人口-单位：人-不便分类的其他从业人员-不便分类的其他从业人员-男,2-2全国各民族分性别、职业的人口-单位：人-不便分类的其他从业人员-不便分类的其他从业人员-女
,,,,,,,,,,,,,,,,,,,,,,,,
总  计,65675009.0,38906261.0,26768748.0,1447971.0,1069122.0,378849.0,6844562.0,3064480.0,3780082.0,4559426.0,2787573.0,1771853.0,22244077.0,12604684.0,9639393.0,13480283.0,7219312.0,6260971.0,16933953.0,12060558.0,4873395.0,164737.0,100532.0,64205.0
汉  族,60290106.0,35846270.0,24443836.0,1373343.0,1015331.0,358012.0,6386599.0,2870220.0,3516379.0,4219587.0,2577767.0,1641820.0,20855952.0,11852142.0,9003810.0,11574995.0,6220861.0,5354134.0,15726997.0,11216609.0,4510388.0,152633.0,93340.0,59293.0
蒙古族,275716.0,155535.0,120181.0,5717.0,4013.0,1704.0,39021.0,15410.0,23611.0,28212.0,16514.0,11698.0,68802.0,37514.0,31288.0,104438.0,59325.0,45113.0,28735.0,22275.0,6460.0,791.0,484.0,307.0
回  族,446182.0,268162.0,178020.0,9367.0,6887.0,2480.0,46532.0,19408.0,27124.0,33595.0,20608.0,12987.0,185632.0,110930.0,74702.0,91869.0,50616.0,41253.0,78212.0,59104.0,19108.0,975.0,609.0,366.0
藏  族,237564.0,130593.0,106971.0,4174.0,3210.0,964.0,28129.0,13963.0,14166.0,22391.0,13686.0,8705.0,48604.0,25821.0,22783.0,108991.0,55326.0,53665.0,24657.0,18248.0,6409.0,618.0,339.0,279.0
维吾尔族,455735.0,240904.0,214831.0,3942.0,2893.0,1049.0,37911.0,12877.0,25034.0,43134.0,27468.0,15666.0,137845.0,74059.0,63786.0,175589.0,85051.0,90538.0,56931.0,38338.0,18593.0,383.0,218.0,165.0
苗  族,477379.0,275822.0,201557.0,4729.0,3501.0,1228.0,29022.0,13852.0,15170.0,20045.0,13005.0,7040.0,101077.0,53332.0,47745.0,145497.0,74263.0,71234.0,175860.0,117189.0,58671.0,1149.0,680.0,469.0
彝  族,485520.0,262728.0,222792.0,3018.0,2246.0,772.0,26799.0,11909.0,14890.0,17240.0,11299.0,5941.0,80892.0,40916.0,39976.0,257442.0,127230.0,130212.0,99500.0,68742.0,30758.0,629.0,386.0,243.0
壮  族,894470.0,499873.0,394597.0,10643.0,7318.0,3325.0,63680.0,26664.0,37016.0,41215.0,24281.0,16934.0,225048.0,119481.0,105567.0,313151.0,161379.0,151772.0,238438.0,159453.0,78985.0,2295.0,1297.0,998.0
布依族,148063.0,83311.0,64752.0,1780.0,1223.0,557.0,10407.0,4775.0,5632.0,7647.0,4875.0,2772.0,34044.0,17603.0,16441.0,38833.0,19172.0,19661.0,55062.0,35491.0,19571.0,290.0,172.0,118.0
