6-11民用车辆拥有量-指标名称-指标名称,6-11民用车辆拥有量-总计-总计,6-11民用车辆拥有量-营运,6-11民用车辆拥有量-（2019年）-非营运,6-11民用车辆拥有量-校车,6-11民用车辆拥有量-进口,6-11民用车辆拥有量-个人,6-11民用车辆拥有量-新注册,6-11民用车辆拥有量-单位：辆-报废-报废
合    计,1665020.0,88216.0,1575942.0,862.0,118415.0,1429303.0,170677.0,26741.0
一、汽车,1409903.0,73272.0,1335769.0,862.0,117725.0,1190323.0,141141.0,23724.0
载客汽车,1265624.0,32536.0,1232226.0,862.0,117230.0,1118594.0,124295.0,16374.0
# 大 型,9659.0,7852.0,1552.0,255.0,53.0,152.0,737.0,630.0
中 型,4539.0,1140.0,2792.0,607.0,112.0,845.0,278.0,542.0
小 型,1247490.0,23544.0,1223946.0,0.0,115490.0,1114040.0,123193.0,14878.0
微 型,3936.0,0.0,3936.0,0.0,1575.0,3557.0,87.0,324.0
# 轿 车,845313.0,22951.0,822362.0,0.0,51739.0,762434.0,72364.0,10620.0
载货汽车,137137.0,40642.0,96495.0,0.0,471.0,69808.0,15747.0,7046.0
# 重 型,28995.0,22877.0,6118.0,0.0,302.0,2446.0,4541.0,882.0
中 型,2260.0,1274.0,986.0,0.0,0.0,662.0,217.0,192.0
轻 型,105851.0,16490.0,89361.0,0.0,169.0,66672.0,10989.0,5962.0
微 型,31.0,1.0,30.0,0.0,0.0,28.0,0.0,10.0
# 普通载货,58961.0,3382.0,55579.0,0.0,167.0,40649.0,5947.0,2613.0
其它汽车,7142.0,94.0,7048.0,0.0,24.0,1921.0,1099.0,304.0
# 三轮汽车,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
低速货车,214.0,16.0,198.0,0.0,0.0,204.0,0.0,12.0
二、摩托车,239710.0,2.0,239708.0,0.0,676.0,238427.0,28040.0,2717.0
普 通,231092.0,2.0,231090.0,0.0,676.0,229849.0,21747.0,2527.0
轻 便,8618.0,0.0,8618.0,0.0,0.0,8578.0,6293.0,190.0
三、拖拉机(农机部门数据),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
四、挂车,15407.0,14942.0,465.0,0.0,14.0,553.0,1496.0,300.0
补充资料：机动车驾驶员2415300人，其中汽车驾驶员2245500人。,,,,,,,,
