表一：基本情况调查表（事业会计制度）-单位名称：西二镇小型水库联合灌区-项目-项目,表一：基本情况调查表（事业会计制度）-单位名称：西二镇小型水库联合灌区-行次及关系-行次及关系,表一：基本情况调查表（事业会计制度）-2019年-上报数,表一：基本情况调查表（事业会计制度）-2020年-上报数,表一：基本情况调查表（事业会计制度）-单位:万元-2021年-上报数,表一：基本情况调查表（事业会计制度）-单位:万元-三年平均数-三年平均数
一、资产负债,1,×,×,×,×
(一)资产(万元),2,87,58,24,
1、流动资产,3,87,34,1,
2、固定资产,4,,,,
其中：固定资产原值,5=6+7+8+9+10,,23,21,
其中：通用设备,6,,,,
水、电专用设备,7,,,,
其他专用设备,8,,23,21,
房屋、建筑物,9,,,,
经济林木,10,,,,
累计折旧,11,,,,
（二）负债(万元）,12,0,0,40,
（三）净资产（万元）,13,87,58,(16),
二、收入情况（万元）,14,×,×,×,×
（一）年初财政专户余额,15,0,0,0,
加：原水收入（本年财政专户收入）,16,,,,
其中：水资源费,17,,,,
财政统筹资金,18,,,,
（二）水库收入合计,19,,,,
1.事业收入（财政当年核拨数）,20,0,0,0,
2.其他收入,21,161,238,104,
3.拨入专项经费,22,0,0,0,
4.支出总额,23,51,126,128,
附：年末财政专户余额,24,/,/,/,
三、其他基本情况,25,×,×,×,×
（一）总库容量（千立方米）,26,1090,1090,1090,
其中：死库容（千立方米）,27,119,119,119,
兴利库容（千立方米）,28,800,790,780,
调洪库容（千立方米）,29,161,156,185,
防洪库容（千立方米）,30,123,118,120,
库容比例法生产经营分摊率（%）,31=（27+28）÷(27+28+30)×100,1,1,1,
库容比例法生产经营分摊率（%）,31=（27+28）÷(27+28+30)×100,1 ,1 ,1 ,
（二）年供水量（千立方米）,32,664,650,671,
其中：农业用水（千立方米）,33,515,450,500,
工业用水（千立方米）,34,0,0,0,
生活用水（千立方米）,35,75,65,71,
（三）供水保证率,36,,,,
其中：农业供水保证率（%）,37,1,1,1,
工业供水保证率（%）,38,0,0,0,
生活供水保证率（%）,39,0,0,0,
（七）企业职工总数（人）,40,10,16,19,
（八）在职职工工资总额（万元）,41,35,60,70,
