表二：供水成本费用审核表（事业会计制度）-单位名称：西二镇小型水库联合灌区-项目-项目,表二：供水成本费用审核表（事业会计制度）-单位名称：西二镇小型水库联合灌区-行次及关系-行次及关系,表二：供水成本费用审核表（事业会计制度）-2019年-上报数,表二：供水成本费用审核表（事业会计制度）-2020年-上报数,表二：供水成本费用审核表（事业会计制度）-单位:万元-2021年-上报数,表二：供水成本费用审核表（事业会计制度）-单位:万元-三年平均-上报数,表二：供水成本费用审核表（事业会计制度）-单位:万元
当年实际售水量（千立方米）,1,590.0,515.0,571.0,559.0,
当年泄洪水量（千立方米）,2,18.0,12.0,15.0,15.0,
一、运行成本合计,3,51.0,107.0,115.0,91.0,
1.基本工资,4,33.0,60.0,70.0,54.0,
2.补助工资,5,0.0,0.0,0.0,0.0,
3.其他工资,6,0.0,0.0,0.0,0.0,
4.职工福利费,7,0.0,0.0,0.0,0.0,
5.社会保障费,8,0.0,0.0,0.0,0.0,
6.公务费,9,0.0,0.0,0.0,0.0,
7.修缮费,10,16.0,30.0,35.0,27.0,
①清淤费,11,3.0,10.0,10.0,8.0,
②岁修费,12,13.0,20.0,25.0,19.0,
8、业务费,13,2.0,17.0,10.0,10.0,
9、业务接待费,14,0.0,0.0,0.0,0.0,
10、其他费用,15,0.0,0.0,0.0,0.0,
11、专项资金,16,0.0,0.0,0.0,0.0,
二、固定资产折旧,17,0.0,0.0,3.0,1.0,
三 、水库成本费用合计,18=3+17,51.0,107.0,118.0,92.0,
四、供水应承担的成本（按库容比例）,19,45.0,95.0,104.0,81.0,
五、应交水资源费,20,,,,,
六、售水完全成本,21=19+20,45.0,95.0,104.0,81.0,
"七、单位售水成本
（元/立方米）",22=21/1,1.0,2.0,2.0,1.0,
