附件3：-洪江区2019年度统筹整合财政涉农资金项目明细表-金额单位：万元-序号-序号,附件3：-洪江区2019年度统筹整合财政涉农资金项目明细表-金额单位：万元-项目名称-项目名称,洪江区2019年度统筹整合财政涉农资金项目明细表-金额单位：万元-建设任务-建设任务,洪江区2019年度统筹整合财政涉农资金项目明细表-金额单位：万元-实施地点-实施地点,洪江区2019年度统筹整合财政涉农资金项目明细表-金额单位：万元-补助标准-补助标准,洪江区2019年度统筹整合财政涉农资金项目明细表-金额单位：万元-资金规模-资金规模,洪江区2019年度统筹整合财政涉农资金项目明细表-金额单位：万元-筹资方式-（省级）,洪江区2019年度统筹整合财政涉农资金项目明细表-金额单位：万元-筹资方式-金额,洪江区2019年度统筹整合财政涉农资金项目明细表-金额单位：万元-绩效目标（进度计划）-绩效目标（进度计划）,洪江区2019年度统筹整合财政涉农资金项目明细表-金额单位：万元-时间进度(起止)-计划开工时间,洪江区2019年度统筹整合财政涉农资金项目明细表-金额单位：万元-时间进度(起止)-计划完工时间,洪江区2019年度统筹整合财政涉农资金项目明细表-金额单位：万元-责任单位-项目主管单位,洪江区2019年度统筹整合财政涉农资金项目明细表-金额单位：万元-责任单位-项目组织实施单位
,总计,,,,2249,,2249,,,,,
一,生产发展合计,,,,105,,105,,,,,
1,新型农业经济组织带动帮扶贫困人口产业奖补,2017年恒裕木业通过实施楠竹低改以直接帮扶方式带动帮扶贫困人口1500人，投入资金300万元，按照政策给予投入资金20%的产业奖补。,恒裕竹业,,60,省级,60,"完成楠竹低改3400亩，带动帮扶贫困人口1500人，年人均增收4000元以上,与贫困人口建立利益联结机制服务年限不少于5年。",43525.0,43709.0,农水局,农水局
2,扶贫车间,建设1个楠竹加工扶贫车。,桂花园乡  横岩乡,1、建设补贴最高10万元；2、创办补贴3-5万元；3、租赁补助最高80%,15,省级,15,带动帮扶50户贫困户，预计贫困户人均增收300元／年。,43525.0,43770.0,就业局,就业局
3,重点产业,30万元重点产业扶贫资金按照每人2000元的标准量化到贫困对象，采取委托帮扶的方式入股区内农业龙头企业恒裕竹木开发有公司参与2万吨楠竹综合利用开发项目。,"横岩乡
横岩村",2000元／人,30,省级,30,带动帮扶贫困人口112人，人均年收益160元以上。,43678.0,43800.0,农水局,农水局
二,基础设施建设合计,,,,2138,,2138,,,,,
（一）,农田水利建设小计,,,,133,,133,,,,,
4,农田排灌渠道建设（菖蒲村、优胜村、横岩村、洪高村）,"菖蒲村修建渠道2.6千米,整修灌排渠1077.86m,整修硬化机耕路1500m,挡土墙20。横岩村修建渠道3.8千米,整修灌排渠1303m,整修斗渠476.89m,整修硬化机耕路2000m。优胜村修建渠道1.2千米及硬化整修606米，会车道1座，取水码头2座,整修硬化机耕路1500m,挡土墙80m,整修斗渠600m。洪高村修建渠道2.4千米,整修硬化机耕路1603.59m,整修灌排渠822.89m。",菖蒲村           横岩村      优胜村,344元/米,133,省级,133,帮助170户553人贫困人口改善生产、生活条件等。,43525.0,43770.0,自然资源局,自然资源局
（二）,农村道路建设小计,,,,933,,933,,,,,
5,"农村公路建设
改造工程","滩头至密岩尖道路长6公里,宽6米，厚22cm。",滩头村,50万元/公里,300,省级,300,解决337户961人生产生活问题及完善乡村旅游基础设施。,43531.0,43776.0,交通局,交通局
6,"农村公路建设
改造工程",菖蒲村新店至菖蒲道路长5.7公里，宽6米，厚22cm。,菖蒲村,35.7万元/公里,203,省级,203,解决298户995人安全出行和生产生活问题。,43532.0,43777.0,交通局,交通局
7,农村道路建设,乡村旅游配套设施建设及农业生产生活道路3米宽、长3.5公里、厚20厘米。,川山村,114万元/公里,430,省级,430,改善206户520贫困人口生产、生活条件等。,43533.0,43778.0,农开办,农开办
（三）,农村人居环境整治,,,,737,,737,,,,,
8,人居环境整治,渔梁村巫水河段截污工程：沿线铺设污水主管、支管及压力管道共计5000米；新建提升泵1座；修建水源保护区隔离网及人行到2400米，生活垃圾收集配套设施建设等。,渔梁村,建筑工程费847.16万元；安装工程费352.5万元；设备工器具及生产用具购置费454.56万元；其他费用353.53万元,90,省级,90,帮助2266人提升生活环境质量。项目总预算1614.8842万元。,43537.0,43782.0,住建局,住建局
9,人居环境整治,茅头园村农村住房基础设施配套建设：1、修建挡土墙415立方米；2、给排水管道建设823米。,茅头园村,1、挡土墙1036元/立方米；2、给排水管道953元/米；,120,省级,120,改善143户417贫困人口生存宜居质量。,43527.0,43800.0,住建局,住建局
10,人居环境整治,"滩头村人居环境整治,1、生产生活用水项目50万元，修建水池16个，容积145立方米，管道15550米，其中$110管道350米，$50管道7000米，$32管道3200米，$25管道5000米；2、滩头村人居环境整治。",滩头村,生产生活用水管道：$110管道350米单价64元/米，$50管道7000米单价10元/米，$32管道3200米单价8元/米，$25管道5000米单价6元/米；,110,省级,110,改善村民生产、生活条件、优化、美化环境、减少污染，进一步完善村级基础设施建设，优化人居环境，受益113户297贫困人口。,43525.0,43739.0,桂花园乡,桂花园乡
11,人居环境整治,"川山村修建长50米，高30米,宽3米的护坡。",川山村,500元/立方米,240,省级,240,防止在雨水天气冲刷造成滑坡等地质灾害，保障村民出行安全，方便当地群众日常生活生产。受益人口1200人，其中贫困对象64户152人。,43709.0,43800.0,桂花园乡,桂花园乡
12,人居环境整治,农村卫生厕所改造400户。,横岩乡    桂花园乡,改厕2000元/户,80,省级,80,改善400户家庭生活条件，提升宜居环境，推动农村厕所革命示范，进一步巩固提升脱贫成果。,43525.0,43739.0,农水局,横岩乡   桂花园乡
13,人居环境整治,"川山村江西湾组、川岩组、青山界组村民生活用水改造,建设给水管道1615米。",川山村,607元/米,97,省级,97,改善三个组68户283村民（其中17户贫困户）安全饮水困难。,43525.0,43800.0,住建局,住建局
（四）,国土治理小计,,,,335,,335,,,,,
14,农村土地治理,桂花园乡洪高村乔冲组地质灾害治理，格钩锚杆护坡工程面积1100平方米，路面修复200平方米，截排水工程150米。,洪高村,格构锚杆护坡：600元／平方米；路面修复：200元／平方米；截排水工程：150元／米,95,省级,95,消除地质灾害隐患，改善居住安全环境，保障该组8户18人村民财产和生命安全。,43678.0,43800.0,自然资源局,自然资源局
15,农村土地整理,土地治理44.7亩其中旱地38.5亩，水田6.2亩。,桂花园乡  横岩乡,3.35万元／亩,60,省级,60,提升农村闲置土地集约利用，179户542人受益。,43539.0,43784.0,自然资源局,自然资源局
16,农村土地整理（渔梁村）,桂花园乡渔梁村土地整理，建设规模面积为18.29公顷，新增耕地面积为10.36公顷155.4亩。,渔梁村,7000元／亩,180,省级,180,增加贫困户土地流动转收益，产业基地流转每年可为村集体创收8万元。,43466.0,43770.0,自然资源局,自然资源局
三,其它合计,,,,6,,6,,,,,
17,致富带头人培训,培育致富带头人15人，22天。,15个行政村,4000元/人,6,省级,6,提升农村致富带头人生产技能。,43466.0,43770.0,扶贫办,扶贫办
