10-1居民消费支出-HouseholdConsumptionExpenditure-资料来源：世界银行WDI数据库。-Source:WorldBankWDIDatabase.-国家和地区,Source:WorldBankWDIDatabase.-CountryorArea,住户最终消费支出-(现价，亿美元)-HouseholdFinal-ConsumptionExpenditure,Unnamed: 3,Unnamed: 4,人均住户最终消费支出-(2000年价格，美元)-HouseholdFinalConsumption-ExpenditureperCapita,Unnamed: 6,Unnamed: 7
,,(current USD),,,(constant 2000 USD),,
,,2000,2007,2008.0,2000,2007,2008.0
,,,,,,,
世界,World,196062,291015①,,3227,,
低收入国家,Low Income,1769,3326,,216,252①,
中等收入国家,Middle Income,34781,74581,88014.0,819,1094,1141.0
高收入国家,High Income,159580,227119①,,15805,,
中    国,China,5539,12267,15933.0,439,690,734.0
中国香港,"Hong Kong, China",997,1246,1302.0,14966,18173,18303.0
中国澳门,"Macao, China",25,41,,5569,7433,7794.0
孟加拉国,Bangladesh,365,507,588.0,259,312,324.0
文    莱,Brunei Darussalam,15,23①,,4469,5496,
柬 埔 寨,Cambodia,33,67,,260,398,
印    度,India,2945,6468,6706.0,290,393,388.0
印度尼西亚,Indonesia,1017,2746,3135.0,493,595,620.0
伊    朗,Iran,483,1288,1734.0,755,1118,1219.0
以 色 列,Israel,666,924,1150.0,10590,11722,
日    本,Japan,26240,24997①,,20682,22258①,
哈萨克斯坦,Kazakhstan,113,497,467.0,761,1456,1567.0
韩    国,"Korea, Rep.",2921,5706,5060.0,6215,7977,8025.0
老    挝,Laos,14,30,,254,271,285.0
马来西亚,Malaysia,410,852,,1763,2528,
巴基斯坦,Pakistan,557,1073,1340.0,404,462,491.0
菲 律 宾,Philippines,529,999,1187.0,680,838,861.0
新 加 坡,Singapore,392,644,746.0,9725,,
斯里兰卡,Sri Lanka,,217,284.0,,,
泰    国,Thailand,689,1315,,1105,1396,
越    南,Viet Nam,207,445,,267,403,
埃    及,Egypt,757,945,1176.0,1079,1253,1208.0
南    非,South Africa,837,1752,1736.0,1902,2551,2568.0
加 拿 大,Canada,4013,7083①,,13043,15002①,
墨 西 哥,Mexico,3895,6691,7116.0,3975,4749,4762.0
美    国,United States,67394,92245①,,23884,,
阿 根 廷,Argentina,2008,1537,,5443,6217,
巴    西,Brazil,4148,8013,9877.0,2382,2721,2904.0
委内瑞拉,Venezuela,606,1228,1616.0,2494,3888,4306.0
捷    克,Czech Rep.,298,841,,2898,3755,
法    国,France,7401,14672,,12566,14150,
德    国,Germany,11186,18811,,13607,13851,
意 大 利,Italy,6575,12405,,11546,11777,
荷    兰,Netherlands,1942,3602,,12197,12529,
波    兰,Poland,1080,2534,3328.0,2808,3617,3831.0
俄罗斯联邦,Russian Fed.,1200,6254,7274.0,820,1670,1949.0
西 班 牙,Spain,3464,8172,,8604,9818,
土 耳 其,Turkey,1884,4646,5623.0,2835,3626,3726.0
乌 克 兰,Ukraine,170,849,808.0,345,887,986.0
英    国,United Kingdom,9442,17514,,16032,18729,
澳大利亚,Australia,2380,4592,5624.0,12426,14691,14978.0
新 西 兰,New Zealand,302,646①,,7819,9358①,
,,,,,,,
,,,,,,,
注：①2006年数据。,,,,,,,
Note:①Date refer to 2006.,,,,,,,
