附件2-清远市新建商品住房销售价格备案表-房地产开发企业名称或中介服务机构名称：清远市清新区盈丰房地产开发有限公司-序号-序号,附件2-清远市新建商品住房销售价格备案表-幢（栋）号-幢（栋）号,清远市新建商品住房销售价格备案表-房号-房号,清远市新建商品住房销售价格备案表-楼层(F)-楼层(F),清远市新建商品住房销售价格备案表-户型-户型,清远市新建商品住房销售价格备案表-层高（m)-层高（m),清远市新建商品住房销售价格备案表-建筑面积（㎡）-建筑面积（㎡）,清远市新建商品住房销售价格备案表-分摊的共有建筑面积（㎡）-分摊的共有建筑面积（㎡）,清远市新建商品住房销售价格备案表-项目(楼盘)名称：-套内建筑面积（㎡）-套内建筑面积（㎡）,清远市新建商品住房销售价格备案表-建筑面积单价（元/㎡）-建筑面积单价（元/㎡）,清远市新建商品住房销售价格备案表-清新凯旋门8号楼-套内建筑面积销售单价（元/㎡）-套内建筑面积销售单价（元/㎡）,清远市新建商品住房销售价格备案表-总售价(元)-总售价(元),清远市新建商品住房销售价格备案表-销售状态-销售状态,清远市新建商品住房销售价格备案表-备注-备注
1,8号楼,2601,26,四房两厅两卫,3,136,24,112,8488,10273,1153859,可售,带装修
2,8号楼,1802,18,两房两厅一卫,3,75,13,62,8488,10274,639231,可售,带装修
3,8号楼,303,3,三房两厅两卫,3,116,20,96,8488,10273,988512,可售,带装修
4,8号楼,403,4,三房两厅两卫,3,116,20,96,8488,10273,988512,可售,带装修
5,8号楼,503,5,三房两厅两卫,3,116,20,96,8488,10273,988512,可售,带装修
6,8号楼,603,6,三房两厅两卫,3,116,20,96,8488,10273,988512,可售,带装修
7,8号楼,703,7,三房两厅两卫,3,116,20,96,8488,10273,988512,可售,带装修
8,8号楼,803,8,三房两厅两卫,3,116,20,96,8488,10273,988512,可售,带装修
9,8号楼,903,9,三房两厅两卫,3,116,20,96,8488,10273,988512,可售,带装修
10,8号楼,1303,13,三房两厅两卫,3,116,20,96,8488,10273,988512,可售,带装修
11,8号楼,1403,14,三房两厅两卫,3,116,20,96,8488,10273,988512,可售,带装修
12,8号楼,1503,15,三房两厅两卫,3,116,20,96,8488,10273,988512,可售,带装修
13,8号楼,1603,16,三房两厅两卫,3,116,20,96,8488,10273,988512,可售,带装修
14,8号楼,1703,17,三房两厅两卫,3,116,20,96,8488,10273,988512,可售,带装修
15,8号楼,1803,18,三房两厅两卫,3,116,20,96,8488,10273,988512,可售,带装修
16,8号楼,1903,19,三房两厅两卫,3,116,20,96,8488,10273,988512,可售,带装修
17,8号楼,2003,20,三房两厅两卫,3,116,20,96,8488,10273,988512,可售,带装修
