2-5按受教育程度分的港澳台居民和外籍人员,2-5按受教育程度分的港澳台居民和外籍人员.1,2-5按受教育程度分的港澳台居民和外籍人员.2,2-5按受教育程度分的港澳台居民和外籍人员.3,2-5按受教育程度分的港澳台居民和外籍人员.4,2-5按受教育程度分的港澳台居民和外籍人员-单位：人
受教育程度,合计,香港特别行政区居民,澳门特别行政区居民,台湾地区居民,外籍人员
,,,,,
总  计,1402108,363521,54006,155169,829412
未上过学,124262,3313,628,916,119405
学前教育,45293,10556,1910,4948,27879
小  学,370446,94087,7828,13136,255395
初  中,193343,69544,10695,10411,102693
高  中,163177,76522,13870,22382,50403
大学专科,105681,37593,6023,24626,37439
大学本科,291134,59828,11601,55515,164190
硕士研究生,86250,10303,1257,20048,54642
博士研究生,22522,1775,194,3187,17366
