2-2按年龄、性别分的港澳台居民和外籍人员-年龄-年龄,2-2按年龄、性别分的港澳台居民和外籍人员-合计-合计,2-2按年龄、性别分的港澳台居民和外籍人员-合计-男,2-2按年龄、性别分的港澳台居民和外籍人员-合计-女,2-2按年龄、性别分的港澳台居民和外籍人员-香港特别行政区居民-小计,2-2按年龄、性别分的港澳台居民和外籍人员-香港特别行政区居民-男,2-2按年龄、性别分的港澳台居民和外籍人员-香港特别行政区居民-女,澳门特别行政区居民-小计,澳门特别行政区居民-男,澳门特别行政区居民-女,台湾地区居民-小计,台湾地区居民-男,台湾地区居民-女,外籍人员-小计,外籍人员-男,单位：人-外籍人员-女
,,,,,,,,,,,,,,,
总  计,1430695.0,736286.0,694409.0,371380.0,202296.0,169084.0,55732.0,29067.0,26665.0,157886.0,102897.0,54989.0,845697.0,402026.0,443671.0
0-4岁,56852.0,29984.0,26868.0,14643.0,7899.0,6744.0,3012.0,1613.0,1399.0,5882.0,3111.0,2771.0,33315.0,17361.0,15954.0
5-9岁,104179.0,55159.0,49020.0,48326.0,26894.0,21432.0,3237.0,1691.0,1546.0,9645.0,5012.0,4633.0,42971.0,21562.0,21409.0
10-14岁,103275.0,54641.0,48634.0,58924.0,32689.0,26235.0,2895.0,1504.0,1391.0,8733.0,4495.0,4238.0,32723.0,15953.0,16770.0
15-19岁,87785.0,42624.0,45161.0,23813.0,12274.0,11539.0,4635.0,2347.0,2288.0,9914.0,4850.0,5064.0,49423.0,23153.0,26270.0
20-24岁,158095.0,73421.0,84674.0,19825.0,10242.0,9583.0,5457.0,2792.0,2665.0,8494.0,4228.0,4266.0,124319.0,56159.0,68160.0
25-29岁,157171.0,71426.0,85745.0,14068.0,7521.0,6547.0,3345.0,1781.0,1564.0,9156.0,5125.0,4031.0,130602.0,56999.0,73603.0
30-34岁,149536.0,69002.0,80534.0,16340.0,7820.0,8520.0,4023.0,2048.0,1975.0,10275.0,6505.0,3770.0,118898.0,52629.0,66269.0
35-39岁,124800.0,60178.0,64622.0,19001.0,8417.0,10584.0,3895.0,1870.0,2025.0,13216.0,8913.0,4303.0,88688.0,40978.0,47710.0
40-44岁,112414.0,57843.0,54571.0,21917.0,9595.0,12322.0,3972.0,1803.0,2169.0,17790.0,12750.0,5040.0,68735.0,33695.0,35040.0
45-49岁,103252.0,55016.0,48236.0,26945.0,12624.0,14321.0,4692.0,2172.0,2520.0,17884.0,12955.0,4929.0,53731.0,27265.0,26466.0
50-54岁,87632.0,50639.0,36993.0,25488.0,14002.0,11486.0,3898.0,1897.0,2001.0,16360.0,12062.0,4298.0,41886.0,22678.0,19208.0
55-59岁,68444.0,43506.0,24938.0,22807.0,14863.0,7944.0,3596.0,2122.0,1474.0,13144.0,9977.0,3167.0,28897.0,16544.0,12353.0
60-64岁,46294.0,30545.0,15749.0,18877.0,13195.0,5682.0,2983.0,1969.0,1014.0,8639.0,6655.0,1984.0,15795.0,8726.0,7069.0
65-69岁,30196.0,19128.0,11068.0,15346.0,9907.0,5439.0,2583.0,1568.0,1015.0,4820.0,3604.0,1216.0,7447.0,4049.0,3398.0
70-74岁,18771.0,11485.0,7286.0,10972.0,6800.0,4172.0,1705.0,1000.0,705.0,2027.0,1411.0,616.0,4067.0,2274.0,1793.0
75-79岁,9238.0,5327.0,3911.0,5713.0,3365.0,2348.0,767.0,435.0,332.0,754.0,502.0,252.0,2004.0,1025.0,979.0
80岁及以上,12761.0,6362.0,6399.0,8375.0,4189.0,4186.0,1037.0,455.0,582.0,1153.0,742.0,411.0,2196.0,976.0,1220.0
