表8-4湖南省各地区按活产子女数分的15-64岁妇女人数-地区别,表8-4湖南省各地区按活产子女数分的15-64岁妇女人数-15-64岁妇女人数,表8-4湖南省各地区按活产子女数分的15-64岁妇女人数-活产0个,表8-4湖南省各地区按活产子女数分的15-64岁妇女人数-活产1个,表8-4湖南省各地区按活产子女数分的15-64岁妇女人数-活产2个,表8-4湖南省各地区按活产子女数分的15-64岁妇女人数-活产3个,表8-4湖南省各地区按活产子女数分的15-64岁妇女人数-活产4个,表8-4湖南省各地区按活产子女数分的15-64岁妇女人数-单位：人-活产5个及以上,表8-4湖南省各地区按活产子女数分的15-64岁妇女人数-单位：人-平均每个妇女活产子女数
湖南省,221839,47162,59910,68973,29926,11142,4726,2
长沙市,23807,5997,8604,5931,2194,751,330,1
株洲市,13307,2840,4120,4020,1561,553,213,2
湘潭市,11453,2291,3987,3403,1273,367,132,1
衡阳市,23288,4931,5061,8622,3362,999,313,2
邵阳市,23527,5451,4649,7604,3676,1507,640,2
岳阳市,17779,3704,5077,5549,2208,840,401,2
常德市,18578,2800,7666,5283,1796,709,324,2
张家界市,5052,896,1237,1949,646,223,101,2
益阳市,14170,2771,3619,4961,1844,668,307,2
郴州市,17643,4130,4062,5112,2771,1066,502,2
永州市,15935,3589,3298,5096,2625,974,353,2
怀化市,16280,3480,4166,5028,2223,958,425,2
娄底市,12784,2772,3045,3871,2046,754,296,2
湘西土家族苗族自治州,8236,1510,1319,2544,1701,773,389,2
