表5-10湖南省按性别、单位或经营活动类型和调查前一周工作时间分的正在工作人口-单位或经营活动类型-单位或经营活动类型-单位或经营活动类型,表5-10湖南省按性别、单位或经营活动类型和调查前一周工作时间分的正在工作人口-正在工作人口-正在工作人口-（1）,表5-10湖南省按性别、单位或经营活动类型和调查前一周工作时间分的正在工作人口-一周内工作时间-1—9-（2）,表5-10湖南省按性别、单位或经营活动类型和调查前一周工作时间分的正在工作人口-一周内工作时间-10—19-（3）,表5-10湖南省按性别、单位或经营活动类型和调查前一周工作时间分的正在工作人口-一周内工作时间-20-39-（4）,表5-10湖南省按性别、单位或经营活动类型和调查前一周工作时间分的正在工作人口-一周内工作时间-40-（5）,表5-10湖南省按性别、单位或经营活动类型和调查前一周工作时间分的正在工作人口-一周内工作时间-41-47-（6）,表5-10湖南省按性别、单位或经营活动类型和调查前一周工作时间分的正在工作人口-一周内工作时间-48-（7）,表5-10湖南省按性别、单位或经营活动类型和调查前一周工作时间分的正在工作人口-单位：人-一周内工作时间-48+-（8）,表5-10湖南省按性别、单位或经营活动类型和调查前一周工作时间分的正在工作人口-周平均工作时间(小时)-周平均工作时间(小时)-（9）
总计,337019,1669,10986,81383,105608,16225,17146,104002,42
土地承包者,211338,1440,9914,68856,54990,11321,8460,56357,39
机关团体事业单位,19497,16,35,1204,14919,417,712,2194,42
国有及国有控股企业,11927,8,28,615,7713,257,1067,2239,44
集体企业,4585,6,23,363,2087,142,499,1465,45
个体工商户,41601,83,337,4085,10802,1764,2201,22329,49
私营企业,27295,31,125,2032,8847,1349,3072,11839,48
其他类型单位,3942,5,31,422,1563,206,428,1287,45
其他,16834,80,493,3806,4687,769,707,6292,43
男合计,187771,796,4582,36274,61578,9429,10283,64829,43
土地承包者,112004,672,4097,29733,30986,6501,5099,34916,41
机关团体事业单位,11910,10,22,700,9127,217,439,1395,42
国有及国有控股企业,7684,6,14,365,4801,158,693,1647,44
集体企业,3044,1,15,233,1310,102,321,1062,46
个体工商户,23910,46,166,2116,6189,1076,1267,13050,50
私营企业,15716,15,62,1029,5065,726,1670,7149,48
其他类型单位,2600,2,12,257,959,127,295,948,46
其他,10903,44,194,1841,3141,522,499,4662,45
女合计,149248,873,6404,45109,44030,6796,6863,39173,40
土地承包者,99334,768,5817,39123,24004,4820,3361,21441,37
机关团体事业单位,7587,6,13,504,5792,200,273,799,42
国有及国有控股企业,4243,2,14,250,2912,99,374,592,43
集体企业,1541,5,8,130,777,40,178,403,44
个体工商户,17691,37,171,1969,4613,688,934,9279,49
私营企业,11579,16,63,1003,3782,623,1402,4690,47
其他类型单位,1342,3,19,165,604,79,133,339,43
其他,5931,36,299,1965,1546,247,208,1630,39
