表7-5湖南省家庭户户主年龄、性别构成-年龄别,表7-5湖南省家庭户户主年龄、性别构成-家庭户人数,表7-5湖南省家庭户户主年龄、性别构成-家庭户人数.1,表7-5湖南省家庭户户主年龄、性别构成-家庭户人数.2,表7-5湖南省家庭户户主年龄、性别构成-户主,表7-5湖南省家庭户户主年龄、性别构成-户主.1,表7-5湖南省家庭户户主年龄、性别构成-户主.2,表7-5湖南省家庭户户主年龄、性别构成-单位：人，%-户主率,表7-5湖南省家庭户户主年龄、性别构成-单位：人，%-户主率.1,表7-5湖南省家庭户户主年龄、性别构成-单位：人，%-户主率.2
年龄别,合计,男,女,合计,男,女,合计,男,女
总计,579829,299765,280064,178316,154195,24121,31,51,9
14岁及以下,100783,55378,45405,159,92,67,0,0,0
15-19,49189,26075,23114,365,230,135,1,1,1
15,12782,6721,6061,63,40,23,0,1,0
16,11360,6038,5322,51,36,15,0,1,0
17,9474,5022,4452,66,43,23,1,1,1
18,8968,4773,4195,86,56,30,1,1,1
19,6605,3521,3084,99,55,44,2,2,1
20-24,32550,15621,16929,1305,899,406,4,6,2
20,5995,3016,2979,117,69,48,2,2,2
21,6104,2971,3133,163,106,57,3,4,2
22,6361,3014,3347,233,154,79,4,5,2
23,7796,3644,4152,381,254,127,5,7,3
24,6294,2976,3318,411,316,95,7,11,3
25-29,32711,15882,16829,5186,4207,979,16,26,6
25,6135,2906,3229,557,408,149,9,14,5
26,6601,3149,3452,820,652,168,12,21,5
27,6341,3085,3256,1020,823,197,16,27,6
28,6165,3039,3126,1149,941,208,19,31,7
29,7469,3703,3766,1640,1383,257,22,37,7
30-34,47243,23878,23365,15685,13781,1904,33,58,8
30,8564,4263,4301,2203,1876,327,26,44,8
31,9479,4717,4762,2758,2389,369,29,51,8
32,9383,4790,4593,3145,2763,382,34,58,8
33,9806,4918,4888,3562,3149,413,36,64,8
34,10011,5190,4821,4017,3604,413,40,69,9
35-39,59990,30496,29494,27358,24656,2702,46,81,9
35,11854,5967,5887,4955,4411,544,42,74,9
36,11689,5884,5805,5129,4606,523,44,78,9
37,14098,7223,6875,6484,5889,595,46,82,9
38,10392,5279,5113,4967,4473,494,48,85,10
39,11957,6143,5814,5823,5277,546,49,86,9
40-44,54564,27751,26813,27436,24456,2980,50,88,11
40,12815,6501,6314,6261,5598,663,49,86,11
41,12179,6077,6102,5960,5331,629,49,88,10
42,14939,7698,7241,7650,6813,837,51,89,12
43,10734,5502,5232,5582,4964,618,52,90,12
44,3897,1973,1924,1983,1750,233,51,89,12
45-49,39946,20375,19571,20974,18466,2508,53,91,13
45,6406,3256,3150,3324,2896,428,52,89,14
46,5717,2892,2825,2974,2628,346,52,91,12
47,8340,4226,4114,4340,3820,520,52,90,13
48,10255,5300,4955,5465,4816,649,53,91,13
49,9228,4701,4527,4871,4306,565,53,92,12
50-54,46443,24090,22353,25032,21969,3063,54,91,14
50,9580,4933,4647,5099,4502,597,53,91,13
51,9818,5096,4722,5259,4627,632,54,91,13
52,9418,4816,4602,5025,4385,640,53,91,14
53,9760,5070,4690,5274,4626,648,54,91,14
54,7867,4175,3692,4375,3829,546,56,92,15
55-59,35124,18646,16478,19119,16601,2518,54,89,15
55,7928,4163,3765,4280,3725,555,54,89,15
56,8129,4412,3717,4546,3989,557,56,90,15
57,6854,3659,3195,3759,3252,507,55,89,16
58,6613,3469,3144,3571,3065,506,54,88,16
59,5600,2943,2657,2963,2570,393,53,87,15
60-64,23813,12857,10956,12411,10654,1757,52,83,16
60,4988,2639,2349,2613,2257,356,52,86,15
61,5076,2753,2323,2701,2326,375,53,84,16
61,4707,2522,2185,2461,2104,357,52,83,16
63,4407,2383,2024,2287,1964,323,52,82,16
64,4635,2560,2075,2349,2003,346,51,78,17
65岁及以上,57473,28716,28757,23286,18184,5102,41,63,18
