表1-3湖南省分性别的农业户口、非农业户口人数-地区别-地区别,表1-3湖南省分性别的农业户口、非农业户口人数-合计-小计,表1-3湖南省分性别的农业户口、非农业户口人数-合计-男,表1-3湖南省分性别的农业户口、非农业户口人数-合计-女,表1-3湖南省分性别的农业户口、非农业户口人数-农业户口人数-小计,表1-3湖南省分性别的农业户口、非农业户口人数-农业户口人数-男,表1-3湖南省分性别的农业户口、非农业户口人数-农业户口人数-女,表1-3湖南省分性别的农业户口、非农业户口人数-非农业户口人数-小计,表1-3湖南省分性别的农业户口、非农业户口人数-非农业户口人数-男,表1-3湖南省分性别的农业户口、非农业户口人数-非农业户口人数-女,表1-3湖南省分性别的农业户口、非农业户口人数-非农业户口人数占总人口的比重-合计,表1-3湖南省分性别的农业户口、非农业户口人数-单位：人，%-非农业户口人数占总人口的比重-男,表1-3湖南省分性别的农业户口、非农业户口人数-非农业户口人数占总人口的比重-女
湖南省,627348,320821,306527,498910,253602,245308,128438,67219,61219,20.47,20.95,19.97
长沙市,62712,31662,31050,43540,21936,21604,19172,9726,9446,30.57,30.72,30.42
株洲市,36210,18355,17855,29118,14557,14561,7092,3798,3294,19.59,20.69,18.45
湘潭市,31218,15831,15387,22126,11044,11082,9092,4787,4305,29.12,30.24,27.98
衡阳市,67231,34676,32555,53137,27455,25682,14094,7221,6873,20.96,20.82,21.11
邵阳市,68736,35274,33462,57597,29328,28269,11139,5946,5193,16.21,16.86,15.52
岳阳市,48953,25359,23594,36584,18948,17636,12369,6411,5958,25.27,25.28,25.25
常德市,51433,25847,25586,37434,18716,18718,13999,7131,6868,27.22,27.59,26.84
张家界市,14828,7482,7346,12751,6369,6382,2077,1113,964,14.01,14.88,13.12
益阳市,40237,20544,19693,35327,17877,17450,4910,2667,2243,12.2,12.98,11.39
郴州市,49639,25777,23862,40511,20996,19515,9128,4781,4347,18.39,18.55,18.22
永州市,46417,23985,22432,39992,20493,19499,6425,3492,2933,13.84,14.56,13.08
怀化市,46713,24020,22693,39793,20387,19406,6920,3633,3287,14.81,15.12,14.48
娄底市,36540,18589,17951,27847,13895,13952,8693,4694,3999,23.79,25.25,22.28
湘西土家族苗族自治州,26481,13420,13061,23153,11601,11552,3328,1819,1509,12.57,13.55,11.55
