表10-3湖南省分年龄、性别的死亡人口状况-年龄别-年龄别,表10-3湖南省分年龄、性别的死亡人口状况-平均人口-合计,表10-3湖南省分年龄、性别的死亡人口状况-平均人口-男,表10-3湖南省分年龄、性别的死亡人口状况-平均人口-女,表10-3湖南省分年龄、性别的死亡人口状况-死亡人口-合计,表10-3湖南省分年龄、性别的死亡人口状况-死亡人口-男,表10-3湖南省分年龄、性别的死亡人口状况-单位：人，‰-死亡人口-女,表10-3湖南省分年龄、性别的死亡人口状况-单位：人，‰-死亡率-男,表10-3湖南省分年龄、性别的死亡人口状况-单位：人，‰-死亡率-女
总计,627670,320971,306699,3899,2256,1643,7,5
0-4,37781,21468,16313,102,56,46,3,3
0,7128,3932,3196,77,41,36,10,11
1,7216,4152,3064,7,3,4,1,1
2,7392,4307,3085,9,6,3,1,1
3,7846,4475,3371,5,2,3,0,1
4,8199,4602,3597,4,4,0,1,0
5-9,37933,20723,17210,16,11,5,1,0
5,7797,4333,3464,4,3,1,1,0
6,7740,4279,3461,1,0,1,0,0
7,7436,4092,3344,3,2,1,0,0
8,7177,3860,3317,3,2,1,1,0
9,7783,4159,3624,5,4,1,1,0
10-14,46528,24735,21793,15,10,5,0,0
10,6952,3766,3186,5,3,2,1,1
11,7141,3794,3347,3,1,2,0,1
12,8347,4428,3919,3,3,0,1,0
13,10326,5494,4832,1,1,0,0,0
14,13762,7253,6509,3,2,1,0,0
15-19,53063,27991,25072,33,17,16,1,1
15,14992,7859,7133,7,1,6,0,1
16,12310,6518,5792,7,5,2,1,0
17,10738,5688,5050,5,3,2,1,0
18,8138,4313,3825,6,3,3,1,1
19,6885,3613,3272,8,5,3,1,1
20-24,35002,16731,18271,33,26,7,2,0
20,6381,3172,3209,8,6,2,2,1
21,6707,3169,3538,6,3,3,1,1
22,7807,3661,4146,7,5,2,1,0
23,7672,3617,4055,6,6,0,2,0
24,6435,3112,3323,6,6,0,2,0
25-29,36192,17505,18687,41,31,10,2,1
25,7088,3365,3723,6,3,3,1,1
26,6689,3204,3485,9,7,2,2,1
27,6594,3231,3363,6,5,1,2,0
28,7351,3533,3818,7,7,0,2,0
29,8470,4172,4298,13,9,4,2,1
30-34,51637,25435,26202,68,50,18,2,1
30,9391,4535,4856,10,8,2,2,0
31,10099,5033,5066,16,9,7,2,1
32,10589,5269,5320,18,13,5,2,1
33,10143,4995,5148,15,13,2,3,0
34,11415,5603,5812,9,7,2,1,0
35-39,63476,31453,32023,118,80,38,3,1
35,12333,6061,6272,25,14,11,2,2
36,14732,7310,7422,18,14,4,2,1
37,12049,5953,6096,24,18,6,3,1
38,11300,5580,5720,17,10,7,2,1
39,13062,6549,6513,34,24,10,4,2
40-44,53113,26592,26521,107,76,31,3,1
40,13305,6552,6753,16,14,2,2,0
41,13828,6924,6904,38,24,14,3,2
42,14755,7487,7268,26,22,4,3,1
43,6345,3188,3157,12,8,4,3,1
44,4880,2441,2439,15,8,7,3,3
45-49,42974,21725,21249,160,113,47,5,2
45,6544,3275,3269,20,11,9,3,3
46,7179,3590,3589,24,16,8,4,2
47,10054,5104,4950,33,25,8,5,2
48,10057,5118,4939,40,29,11,6,2
49,9140,4638,4502,43,32,11,7,2
50-54,47187,24259,22928,216,129,87,5,4
50,10217,5255,4962,37,26,11,5,2
51,9991,5121,4870,37,23,14,4,3
52,10199,5209,4990,59,33,26,6,5
53,8745,4514,4231,42,20,22,4,5
54,8035,4160,3875,41,27,14,6,4
55-59,35042,18307,16735,233,152,81,8,5
55,8554,4518,4036,43,33,10,7,2
56,7445,3988,3457,50,30,20,8,6
57,7122,3726,3396,52,34,18,9,5
58,6381,3283,3098,46,27,19,8,6
59,5540,2792,2748,42,28,14,10,5
60-64,25580,13568,12012,296,180,116,13,10
60,5211,2782,2429,55,34,21,12,9
61,5397,2840,2557,62,41,21,14,8
62,4934,2614,2320,43,23,20,9,9
63,4845,2580,2265,68,41,27,16,12
64,5193,2752,2441,68,41,27,15,11
65-69,23802,12392,11410,444,279,165,23,14
65,4619,2362,2257,69,43,26,18,12
66,4969,2599,2370,71,44,27,17,11
67,5088,2677,2411,83,53,30,20,12
68,4637,2426,2211,105,73,32,30,14
69,4489,2328,2161,116,66,50,28,23
70-74,18329,9226,9103,559,335,224,36,25
70,4013,2038,1975,114,67,47,33,24
71,3994,2062,1932,106,60,46,29,24
72,3694,1880,1814,110,73,37,39,20
73,3303,1612,1691,119,77,42,48,25
74,3325,1634,1691,110,58,52,36,31
75-79,11422,5354,6068,578,329,249,61,41
75,2728,1323,1405,118,75,43,57,31
76,2492,1145,1347,132,68,64,59,48
77,2529,1191,1338,107,73,34,61,25
78,1955,911,1044,117,60,57,66,55
79,1718,784,934,104,53,51,68,55
80-84,5966,2574,3392,501,234,267,91,79
80,1605,732,873,122,67,55,92,63
81,1431,648,783,102,55,47,85,60
82,1128,474,654,98,45,53,95,81
83,967,391,576,105,45,60,115,104
84,835,329,506,74,22,52,67,103
85-89,1962,712,1250,237,99,138,139,110
85,567,206,361,66,27,39,131,108
86,459,179,280,51,22,29,123,104
87,381,131,250,48,14,34,107,136
88,306,120,186,40,23,17,192,91
89,249,76,173,32,13,19,171,110
90-94,592,200,392,119,41,78,205,199
90,206,69,137,30,14,16,203,117
91,155,52,103,35,11,24,212,233
92,94,33,61,22,7,15,212,246
93,87,33,54,19,7,12,212,222
94,50,13,37,13,2,11,154,297
95-99,75,18,57,18,6,12,333,211
95,31,6,25,7,3,4,500,160
96,16,4,12,4,1,3,250,250
97,16,5,11,1,1,0,200,0
98,6,0,6,5,1,4,0,667
99,6,3,3,1,0,1,0,333
100岁及以上,14,3,11,5,2,3,667,273
