表2-2湖南省各地区分性别的民族人口-地区别-地区别,总计-小计,总计-男,总计-女,汉族-小计,汉族-男,单位：人-汉族-女,土家族-小计,土家族-男,土家族-女,苗族-小计,苗族-男,苗族-女,侗族-小计,侗族-男,侗族-女,瑶族-小计,瑶族-男,瑶族-女,回族-小计,回族-男,回族-女,白族-小计,白族-男,白族-女,东乡族-小计,东乡族-男,东乡族-女,蒙古族-小计,蒙古族-男,蒙古族-女,壮族-小计,壮族-男,壮族-女,其他民族-小计,其他民族-男,其他民族-女
湖南省,629054,321705,307349,561500,287237,274263,27832,14155,13677,18341,9259,9082,9453,4838,4615,9404.0,5014.0,4390.0,886,454,432,470.0,221.0,249.0,315.0,165.0,150.0,131,45,86,129.0,47.0,82.0,593,270,323
长沙市,62811,31707,31104,62357,31502,30855,147,62,85,95,37,58,37,20,17,14.0,6.0,8.0,25,14,11,9.0,6.0,3.0,1.0,0.0,1.0,16,9,7,16.0,5.0,11.0,94,46,48
株洲市,36269,18386,17883,35799,18128,17671,4,2,2,27,8,19,4,2,2,369.0,214.0,155.0,10,4,6,1.0,0.0,1.0,1.0,0.0,1.0,1,1,0,6.0,0.0,6.0,47,27,20
湘潭市,31277,15861,15416,31192,15822,15370,7,0,7,7,4,3,4,3,1,3.0,1.0,2.0,8,6,2,,,,1.0,1.0,0.0,8,1,7,5.0,3.0,2.0,42,20,22
衡阳市,67362,34747,32615,67232,34691,32541,7,3,4,16,8,8,13,8,5,1.0,0.0,1.0,12,7,5,,,,,,,19,6,13,18.0,8.0,10.0,44,16,28
邵阳市,68969,35393,33576,64319,33024,31295,5,0,5,3834,1965,1869,174,86,88,189.0,110.0,79.0,373,180,193,1.0,0.0,1.0,,,,13,3,10,9.0,4.0,5.0,52,21,31
岳阳市,49053,25417,23636,48980,25382,23598,5,1,4,6,2,4,3,0,3,,,,12,4,8,4.0,1.0,3.0,,,,5,0,5,5.0,1.0,4.0,33,26,7
常德市,51515,25884,25631,48507,24368,24139,2562,1292,1270,25,8,17,4,0,4,,,,344,186,158,3.0,0.0,3.0,,,,13,6,7,3.0,1.0,2.0,54,23,31
张家界市,14894,7519,7375,3331,1717,1614,10828,5441,5387,274,141,133,3,3,0,2.0,2.0,0.0,5,4,1,418.0,199.0,219.0,,,,12,4,8,1.0,0.0,1.0,20,8,12
益阳市,40327,20587,19740,40140,20485,19655,14,8,6,23,12,11,86,51,35,,,,10,8,2,1.0,0.0,1.0,1.0,0.0,1.0,11,5,6,5.0,1.0,4.0,36,17,19
郴州市,49845,25902,23943,47988,24915,23073,10,6,4,20,9,11,11,6,5,1763.0,947.0,816.0,6,4,2,,,,,,,14,3,11,5.0,2.0,3.0,28,10,18
永州市,46512,24029,22483,40209,20719,19490,1,0,1,10,4,6,12,6,6,6192.0,3267.0,2925.0,14,6,8,,,,,,,4,2,2,44.0,20.0,24.0,26,5,21
怀化市,46774,24050,22724,28404,14543,13861,1935,1128,807,6049,3047,3002,9082,4647,4435,859.0,459.0,400.0,43,20,23,27.0,13.0,14.0,310.0,163.0,147.0,6,4,2,11.0,2.0,9.0,48,24,24
娄底市,36699,18682,18017,36606,18654,17952,8,1,7,21,3,18,10,4,6,3.0,2.0,1.0,3,2,1,,,,,,,7,1,6,,,,41,15,26
湘西土家族苗族自治州,26747,13541,13206,6436,3287,3149,12299,6211,6088,7934,4011,3923,10,2,8,9.0,6.0,3.0,21,9,12,6.0,2.0,4.0,1.0,1.0,0.0,2,0,2,1.0,0.0,1.0,28,12,16
